"timeframe","city","city_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2014-18","Washington, D.C.",1,"01JAN2014","31DEC2018",7.4,65,0.4,0.6,1
"2010-14","Washington, D.C.",1,"01JAN2010","31DEC2014",11,61,0.4,0.5,1
2000,"Washington, D.C.",1,"01JAN2000","31DEC2000",11,57,".",".",1
1990,"Washington, D.C.",1,"01JAN1990","31DEC1990",7.2,62,".",".",1

