"timeframe","cluster2017","Cluster2017_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
1990,"Cluster 23",23,"01JAN1990","31DEC1990",10,53,".",".",1
1990,"Cluster 24",24,"01JAN1990","31DEC1990",9.0,51,".",".",1
1990,"Cluster 25",25,"01JAN1990","31DEC1990",9.0,63,".",".",1
1990,"Cluster 26",26,"01JAN1990","31DEC1990",5.1,64,".",".",1
1990,"Cluster 27",27,"01JAN1990","31DEC1990",21,47,".",".",1
1990,"Cluster 28",28,"01JAN1990","31DEC1990",14,51,".",".",1
1990,"Cluster 29",29,"01JAN1990","31DEC1990",8.8,57,".",".",1
1990,"Cluster 30",30,"01JAN1990","31DEC1990",9.4,54,".",".",1
1990,"Cluster 31",31,"01JAN1990","31DEC1990",11,51,".",".",1
1990,"Cluster 32",32,"01JAN1990","31DEC1990",7.5,59,".",".",1
1990,"Cluster 33",33,"01JAN1990","31DEC1990",11,54,".",".",1
1990,"Cluster 34",34,"01JAN1990","31DEC1990",6.3,65,".",".",1
1990,"Cluster 35",35,"01JAN1990","31DEC1990",3.0,68,".",".",1
1990,"Cluster 36",36,"01JAN1990","31DEC1990",15,44,".",".",1
1990,"Cluster 37",37,"01JAN1990","31DEC1990",14,53,".",".",1
1990,"Cluster 38",38,"01JAN1990","31DEC1990",16,52,".",".",1
1990,"Cluster 39",39,"01JAN1990","31DEC1990",12,59,".",".",1
1990,"Cluster 40",40,"01JAN1990","31DEC1990",0.0,100,".",".",1
1990,"Cluster 41",41,"01JAN1990","31DEC1990",3.5,68,".",".",1
1990,"Cluster 43",43,"01JAN1990","31DEC1990",26,8.3,".",".",1
1990,"Cluster 44",44,"01JAN1990","31DEC1990",9.9,74,".",".",1
1990,"Cluster 46",46,"01JAN1990","31DEC1990","i","i",".",".",1

