"timeframe","Psa2012","psa2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
2000,"PSA 302",302,"01JAN2000","31DEC2000",13,54,".",".",1
2000,"PSA 303",303,"01JAN2000","31DEC2000",2.9,79,".",".",1
2000,"PSA 304",304,"01JAN2000","31DEC2000",8.4,55,".",".",1
2000,"PSA 305",305,"01JAN2000","31DEC2000",5.9,59,".",".",1
2000,"PSA 306",306,"01JAN2000","31DEC2000",16,40,".",".",1
2000,"PSA 307",307,"01JAN2000","31DEC2000",7.5,65,".",".",1
2000,"PSA 308",308,"01JAN2000","31DEC2000",12,52,".",".",1
2000,"PSA 401",401,"01JAN2000","31DEC2000",5.5,65,".",".",1
2000,"PSA 402",402,"01JAN2000","31DEC2000",6.9,58,".",".",1
2000,"PSA 403",403,"01JAN2000","31DEC2000",7.7,53,".",".",1
2000,"PSA 404",404,"01JAN2000","31DEC2000",7.0,55,".",".",1
2000,"PSA 405",405,"01JAN2000","31DEC2000",17,50,".",".",1
2000,"PSA 406",406,"01JAN2000","31DEC2000",7.7,50,".",".",1
2000,"PSA 407",407,"01JAN2000","31DEC2000",8.8,52,".",".",1
2000,"PSA 408",408,"01JAN2000","31DEC2000",5.8,69,".",".",1
2000,"PSA 409",409,"01JAN2000","31DEC2000",13,53,".",".",1
2000,"PSA 501",501,"01JAN2000","31DEC2000",17,50,".",".",1
2000,"PSA 502",502,"01JAN2000","31DEC2000",13,49,".",".",1
2000,"PSA 503",503,"01JAN2000","31DEC2000",12,44,".",".",1
2000,"PSA 504",504,"01JAN2000","31DEC2000",12,52,".",".",1
2000,"PSA 505",505,"01JAN2000","31DEC2000",16,43,".",".",1
2000,"PSA 506",506,"01JAN2000","31DEC2000",20,42,".",".",1
2000,"PSA 507",507,"01JAN2000","31DEC2000",15,45,".",".",1
2000,"PSA 601",601,"01JAN2000","31DEC2000",15,46,".",".",1
2000,"PSA 602",602,"01JAN2000","31DEC2000",16,39,".",".",1
