"timeframe","zip","zip_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2014-18","ZIP 20001",20001,"01JAN2014","31DEC2018",5.3,69,1.1,1.9,1
"2014-18","ZIP 20002",20002,"01JAN2014","31DEC2018",5.6,70,1.0,1.7,1
"2014-18","ZIP 20003",20003,"01JAN2014","31DEC2018",5.1,70,1.6,2.5,1
"2014-18","ZIP 20004",20004,"01JAN2014","31DEC2018",7.8,78,6.0,8.1,1
"2014-18","ZIP 20005",20005,"01JAN2014","31DEC2018",3.2,80,1.7,4.8,1
"2014-18","ZIP 20006",20006,"01JAN2014","31DEC2018",7.8,37,6.8,5.2,1
"2014-18","ZIP 20007",20007,"01JAN2014","31DEC2018",3.9,71,1.6,2.7,1
"2014-18","ZIP 20008",20008,"01JAN2014","31DEC2018",3.0,77,1.3,3.4,1
"2014-18","ZIP 20009",20009,"01JAN2014","31DEC2018",3.7,81,0.9,2.3,1
"2014-18","ZIP 20010",20010,"01JAN2014","31DEC2018",5.7,76,1.4,2.9,1
"2014-18","ZIP 20011",20011,"01JAN2014","31DEC2018",7.3,64,1.2,1.7,1
"2014-18","ZIP 20012",20012,"01JAN2014","31DEC2018",6.2,66,2.1,3.0,1
"2014-18","ZIP 20015",20015,"01JAN2014","31DEC2018",4.3,64,2.1,3.6,1
"2014-18","ZIP 20016",20016,"01JAN2014","31DEC2018",4.8,61,1.7,2.5,1
"2014-18","ZIP 20017",20017,"01JAN2014","31DEC2018",7.7,58,2.6,3.1,1
"2014-18","ZIP 20018",20018,"01JAN2014","31DEC2018",9.6,56,2.4,3.2,1
"2014-18","ZIP 20019",20019,"01JAN2014","31DEC2018",17,50,1.9,2.0,1
"2014-18","ZIP 20020",20020,"01JAN2014","31DEC2018",14,50,1.9,2.2,1
"2014-18","ZIP 20024",20024,"01JAN2014","31DEC2018",6.9,69,2.7,4.9,1
