"timeframe","Geo2010","geo2010_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2012-16","DC Tract 31",11001003100,"01JAN2011","31DEC2015",4.8011,77.427,3.695,8.101,1
"2012-16","DC Tract 32",11001003200,"01JAN2011","31DEC2015",7.3760,67.038,3.996,4.471,1
"2012-16","DC Tract 33.01",11001003301,"01JAN2011","31DEC2015",4.1213,79.342,2.798,7.035,1
"2012-16","DC Tract 33.02",11001003302,"01JAN2011","31DEC2015",7.6781,77.068,4.657,6.898,1
"2012-16","DC Tract 34",11001003400,"01JAN2011","31DEC2015",10.4552,46.101,4.717,6.062,1
"2012-16","DC Tract 35",11001003500,"01JAN2011","31DEC2015",8.8759,52.086,3.711,4.966,1
"2012-16","DC Tract 36",11001003600,"01JAN2011","31DEC2015",9.1255,77.369,4.674,6.715,1
"2012-16","DC Tract 37",11001003700,"01JAN2011","31DEC2015",8.2628,74.195,4.633,7.734,1
"2012-16","DC Tract 38",11001003800,"01JAN2011","31DEC2015",5.8540,75.531,4.124,7.254,1
"2012-16","DC Tract 39",11001003900,"01JAN2011","31DEC2015",5.2547,82.167,3.478,5.941,1
"2012-16","DC Tract 40.01",11001004001,"01JAN2011","31DEC2015",3.0491,83.553,3.051,9.749,1
"2012-16","DC Tract 40.02",11001004002,"01JAN2011","31DEC2015",2.6149,83.992,2.612,7.353,1
"2012-16","DC Tract 41",11001004100,"01JAN2011","31DEC2015",2.9001,73.455,3.965,5.611,1
"2012-16","DC Tract 42.01",11001004201,"01JAN2011","31DEC2015",2.3344,86.698,2.782,8.344,1
"2012-16","DC Tract 42.02",11001004202,"01JAN2011","31DEC2015",3.7538,80.458,3.202,7.417,1
"2012-16","DC Tract 43",11001004300,"01JAN2011","31DEC2015",3.0693,82.222,3.476,6.310,1
"2012-16","DC Tract 44",11001004400,"01JAN2011","31DEC2015",4.0328,84.343,2.790,6.299,1
"2012-16","DC Tract 46",11001004600,"01JAN2011","31DEC2015",8.1263,72.344,5.451,9.639,1
"2012-16","DC Tract 47.01",11001004701,"01JAN2011","31DEC2015",9.2964,56.689,5.597,8.941,1
"2012-16","DC Tract 47.02",11001004702,"01JAN2011","31DEC2015",4.6977,72.549,3.380,4.473,1
"2012-16","DC Tract 48.01",11001004801,"01JAN2011","31DEC2015",4.9189,75.429,4.066,6.088,1
"2012-16","DC Tract 48.02",11001004802,"01JAN2011","31DEC2015",2.7648,73.293,3.886,6.348,1
"2012-16","DC Tract 49.01",11001004901,"01JAN2011","31DEC2015",7.2389,74.671,3.804,5.270,1
"2012-16","DC Tract 49.02",11001004902,"01JAN2011","31DEC2015",4.5572,81.543,3.700,7.882,1
"2012-16","DC Tract 50.01",11001005001,"01JAN2011","31DEC2015",1.6383,85.571,3.642,6.422,1
"2012-16","DC Tract 50.02",11001005002,"01JAN2011","31DEC2015",3.0599,79.433,2.598,6.578,1
"2012-16","DC Tract 52.01",11001005201,"01JAN2011","31DEC2015",2.4889,87.888,2.325,9.941,1
"2012-16","DC Tract 53.01",11001005301,"01JAN2011","31DEC2015",2.2262,83.044,2.043,7.019,1
"2012-16","DC Tract 55",11001005500,"01JAN2011","31DEC2015",2.3850,71.541,2.625,7.173,1
"2012-16","DC Tract 56",11001005600,"01JAN2011","31DEC2015",3.1739,64.363,2.963,7.049,1
