"timeframe","Cluster_tr2000","cluster_tr2000_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2012-16","Cluster 1",01,"01JAN2012","31DEC2016",4.1877,79.8919,1.62365,3.45557,1
"2012-16","Cluster 2",02,"01JAN2012","31DEC2016",6.8801,72.0243,1.22218,1.99433,1
"2012-16","Cluster 3",03,"01JAN2012","31DEC2016",5.1936,70.9631,2.00506,3.70048,1
"2012-16","Cluster 4",04,"01JAN2012","31DEC2016",3.8646,64.7153,1.67458,3.62758,1
"2012-16","Cluster 5",05,"01JAN2012","31DEC2016",4.7273,55.7820,2.10552,3.94040,1
"2012-16","Cluster 6",06,"01JAN2012","31DEC2016",2.7426,79.6926,1.32370,3.69911,1
"2012-16","Cluster 7",07,"01JAN2012","31DEC2016",3.5025,80.6234,1.22113,3.33868,1
"2012-16","Cluster 8",08,"01JAN2012","31DEC2016",6.8045,69.7242,2.11976,3.09744,1
"2012-16","Cluster 9",09,"01JAN2012","31DEC2016",6.9560,67.6243,2.35776,4.44971,1
"2012-16","Cluster 10",10,"01JAN2012","31DEC2016",4.0788,64.9556,2.32101,3.63964,1
"2012-16","Cluster 11",11,"01JAN2012","31DEC2016",1.7878,65.7351,1.89179,4.05651,1
"2012-16","Cluster 12",12,"01JAN2012","31DEC2016",2.5384,77.6263,1.58422,4.34129,1
"2012-16","Cluster 13",13,"01JAN2012","31DEC2016",6.5878,54.9552,2.65185,2.71760,1
"2012-16","Cluster 14",14,"01JAN2012","31DEC2016",4.3721,69.5184,2.55966,4.99258,1
"2012-16","Cluster 15",15,"01JAN2012","31DEC2016",1.8180,76.0124,1.60010,4.59193,1
"2012-16","Cluster 16",16,"01JAN2012","31DEC2016",6.9134,63.4254,3.48554,5.56558,1
"2012-16","Cluster 17",17,"01JAN2012","31DEC2016",7.9086,63.4463,1.94698,2.91199,1
"2012-16","Cluster 18",18,"01JAN2012","31DEC2016",7.6165,66.2673,1.40260,2.09854,1
"2012-16","Cluster 19",19,"01JAN2012","31DEC2016",12.1431,54.1393,2.80722,3.61246,1
"2012-16","Cluster 20",20,"01JAN2012","31DEC2016",11.0739,53.6623,3.61106,4.82649,1
"2012-16","Cluster 21",21,"01JAN2012","31DEC2016",8.5938,68.2783,1.85443,2.22195,1
"2012-16","Cluster 22",22,"01JAN2012","31DEC2016",14.3254,55.1421,4.63314,4.27023,1
"2012-16","Cluster 23",23,"01JAN2012","31DEC2016",14.1793,52.8380,2.90540,3.24150,1
"2012-16","Cluster 24",24,"01JAN2012","31DEC2016",14.4510,49.8093,3.69258,3.16978,1
"2012-16","Cluster 25",25,"01JAN2012","31DEC2016",5.6947,74.1233,1.25259,2.06643,1
"2012-16","Cluster 26",26,"01JAN2012","31DEC2016",4.6264,66.2065,1.79854,2.83480,1
"2012-16","Cluster 27",27,"01JAN2012","31DEC2016",8.3862,70.4571,3.42551,4.46694,1
"2012-16","Cluster 28",28,"01JAN2012","31DEC2016",19.5025,42.4560,6.19407,5.57205,1
"2012-16","Cluster 29",29,"01JAN2012","31DEC2016",30.3181,37.8714,9.32106,7.59117,1
"2012-16","Cluster 30",30,"01JAN2012","31DEC2016",19.1001,50.2072,5.29198,5.89398,1
"2012-16","Cluster 31",31,"01JAN2012","31DEC2016",18.6415,50.1284,3.49082,3.78406,1
"2012-16","Cluster 32",32,"01JAN2012","31DEC2016",22.7931,45.0237,4.68227,4.26910,1
"2012-16","Cluster 33",33,"01JAN2012","31DEC2016",18.3938,48.8332,3.39730,3.20183,1
"2012-16","Cluster 34",34,"01JAN2012","31DEC2016",15.5166,52.5396,3.06881,3.40120,1
"2012-16","Cluster 35",35,"01JAN2012","31DEC2016",12.2024,55.4368,4.68079,5.80569,1
"2012-16","Cluster 36",36,"01JAN2012","31DEC2016",27.0251,32.4239,6.60744,4.47395,1
"2012-16","Cluster 37",37,"01JAN2012","31DEC2016",13.3412,46.8392,4.45518,4.91907,1
"2012-16","Cluster 38",38,"01JAN2012","31DEC2016",17.1591,48.4559,4.86620,5.03106,1
"2012-16","Cluster 39",39,"01JAN2012","31DEC2016",27.1626,42.9904,2.92859,2.11359,1
"2012-16","Non-cluster area",99,"01JAN2012","31DEC2016",10.2084,60.9753,5.46932,4.43808,1
2000,"Cluster 1",01,"01JAN2000","31DEC2000",2.7055,78.9458,".",".",1
2000,"Cluster 2",02,"01JAN2000","31DEC2000",9.6666,58.1245,".",".",1
2000,"Cluster 3",03,"01JAN2000","31DEC2000",8.4949,54.7773,".",".",1
2000,"Cluster 4",04,"01JAN2000","31DEC2000",2.0635,66.4234,".",".",1
2000,"Cluster 5",05,"01JAN2000","31DEC2000",27.7886,49.2624,".",".",1
2000,"Cluster 6",06,"01JAN2000","31DEC2000",2.4576,82.3940,".",".",1
2000,"Cluster 7",07,"01JAN2000","31DEC2000",8.2310,63.5124,".",".",1
2000,"Cluster 8",08,"01JAN2000","31DEC2000",19.8369,43.9316,".",".",1
2000,"Cluster 9",09,"01JAN2000","31DEC2000",9.2604,58.2569,".",".",1
2000,"Cluster 10",10,"01JAN2000","31DEC2000",2.4745,58.8135,".",".",1
2000,"Cluster 11",11,"01JAN2000","31DEC2000",2.1579,72.1609,".",".",1
2000,"Cluster 12",12,"01JAN2000","31DEC2000",1.6567,75.7119,".",".",1
2000,"Cluster 13",13,"01JAN2000","31DEC2000",31.5665,50.8896,".",".",1
2000,"Cluster 14",14,"01JAN2000","31DEC2000",3.1462,69.0228,".",".",1
2000,"Cluster 15",15,"01JAN2000","31DEC2000",1.6637,70.7611,".",".",1
2000,"Cluster 16",16,"01JAN2000","31DEC2000",3.8985,62.5184,".",".",1
2000,"Cluster 17",17,"01JAN2000","31DEC2000",6.7241,59.1076,".",".",1
2000,"Cluster 18",18,"01JAN2000","31DEC2000",7.9644,53.4143,".",".",1
2000,"Cluster 19",19,"01JAN2000","31DEC2000",19.8534,48.9245,".",".",1
2000,"Cluster 20",20,"01JAN2000","31DEC2000",9.1335,51.2533,".",".",1
2000,"Cluster 21",21,"01JAN2000","31DEC2000",14.9263,49.3162,".",".",1
2000,"Cluster 22",22,"01JAN2000","31DEC2000",12.2306,48.9359,".",".",1
2000,"Cluster 23",23,"01JAN2000","31DEC2000",18.4276,42.8959,".",".",1
2000,"Cluster 24",24,"01JAN2000","31DEC2000",12.1649,44.7902,".",".",1
2000,"Cluster 25",25,"01JAN2000","31DEC2000",9.3504,61.1005,".",".",1
2000,"Cluster 26",26,"01JAN2000","31DEC2000",4.7703,63.1777,".",".",1
2000,"Cluster 27",27,"01JAN2000","31DEC2000",21.5606,35.9101,".",".",1
2000,"Cluster 28",28,"01JAN2000","31DEC2000",21.7625,44.8967,".",".",1
2000,"Cluster 29",29,"01JAN2000","31DEC2000",20.7852,44.0591,".",".",1
2000,"Cluster 30",30,"01JAN2000","31DEC2000",13.5967,46.8778,".",".",1
2000,"Cluster 31",31,"01JAN2000","31DEC2000",16.5151,37.7458,".",".",1
2000,"Cluster 32",32,"01JAN2000","31DEC2000",13.2175,47.5420,".",".",1
2000,"Cluster 33",33,"01JAN2000","31DEC2000",17.6387,43.5213,".",".",1
2000,"Cluster 34",34,"01JAN2000","31DEC2000",12.8697,51.0134,".",".",1
2000,"Cluster 35",35,"01JAN2000","31DEC2000",7.8298,57.7963,".",".",1
2000,"Cluster 36",36,"01JAN2000","31DEC2000",21.7790,40.5783,".",".",1
2000,"Cluster 37",37,"01JAN2000","31DEC2000",25.5437,38.8624,".",".",1
2000,"Cluster 38",38,"01JAN2000","31DEC2000",27.5957,37.5291,".",".",1
2000,"Cluster 39",39,"01JAN2000","31DEC2000",19.7480,44.6766,".",".",1
2000,"Non-cluster area",99,"01JAN2000","31DEC2000",21.0774,62.7541,".",".",1
1990,"Cluster 1",01,"01JAN1990","31DEC1990",3.5714,78.1657,".",".",1
1990,"Cluster 2",02,"01JAN1990","31DEC1990",8.6461,60.5653,".",".",1
1990,"Cluster 3",03,"01JAN1990","31DEC1990",8.1257,50.8579,".",".",1
1990,"Cluster 4",04,"01JAN1990","31DEC1990",2.3872,68.3649,".",".",1
1990,"Cluster 5",05,"01JAN1990","31DEC1990",4.3112,59.3140,".",".",1
1990,"Cluster 6",06,"01JAN1990","31DEC1990",2.6407,83.1696,".",".",1
1990,"Cluster 7",07,"01JAN1990","31DEC1990",9.7014,63.7476,".",".",1
1990,"Cluster 8",08,"01JAN1990","31DEC1990",15.3228,42.8140,".",".",1
1990,"Cluster 9",09,"01JAN1990","31DEC1990",8.5678,68.5045,".",".",1
1990,"Cluster 10",10,"01JAN1990","31DEC1990",2.6001,65.0994,".",".",1
1990,"Cluster 11",11,"01JAN1990","31DEC1990",2.7591,67.8552,".",".",1
1990,"Cluster 12",12,"01JAN1990","31DEC1990",1.5773,72.8596,".",".",1
1990,"Cluster 13",13,"01JAN1990","31DEC1990",2.2667,64.6406,".",".",1
1990,"Cluster 14",14,"01JAN1990","31DEC1990",2.5771,68.8794,".",".",1
1990,"Cluster 15",15,"01JAN1990","31DEC1990",2.6025,71.9989,".",".",1
1990,"Cluster 16",16,"01JAN1990","31DEC1990",3.7773,66.3161,".",".",1
1990,"Cluster 17",17,"01JAN1990","31DEC1990",5.9606,64.4168,".",".",1
1990,"Cluster 18",18,"01JAN1990","31DEC1990",7.4636,61.2755,".",".",1
1990,"Cluster 19",19,"01JAN1990","31DEC1990",7.1526,56.8745,".",".",1
1990,"Cluster 20",20,"01JAN1990","31DEC1990",4.8466,63.4542,".",".",1
1990,"Cluster 21",21,"01JAN1990","31DEC1990",10.8065,56.5302,".",".",1
1990,"Cluster 22",22,"01JAN1990","31DEC1990",10.2296,54.0846,".",".",1
1990,"Cluster 23",23,"01JAN1990","31DEC1990",10.5552,52.6292,".",".",1
1990,"Cluster 24",24,"01JAN1990","31DEC1990",8.7125,52.0289,".",".",1
1990,"Cluster 25",25,"01JAN1990","31DEC1990",8.0555,64.9599,".",".",1
1990,"Cluster 26",26,"01JAN1990","31DEC1990",4.5166,62.5957,".",".",1
1990,"Cluster 27",27,"01JAN1990","31DEC1990",15.1104,50.9489,".",".",1
1990,"Cluster 28",28,"01JAN1990","31DEC1990",13.7155,50.7685,".",".",1
1990,"Cluster 29",29,"01JAN1990","31DEC1990",8.8278,57.1170,".",".",1
1990,"Cluster 30",30,"01JAN1990","31DEC1990",8.9210,55.6176,".",".",1
1990,"Cluster 31",31,"01JAN1990","31DEC1990",11.0545,50.2125,".",".",1
1990,"Cluster 32",32,"01JAN1990","31DEC1990",7.6538,58.7310,".",".",1
1990,"Cluster 33",33,"01JAN1990","31DEC1990",11.4259,54.3470,".",".",1
1990,"Cluster 34",34,"01JAN1990","31DEC1990",6.4343,64.7522,".",".",1
1990,"Cluster 35",35,"01JAN1990","31DEC1990",3.3584,68.8707,".",".",1
1990,"Cluster 36",36,"01JAN1990","31DEC1990",14.9341,44.3776,".",".",1
1990,"Cluster 37",37,"01JAN1990","31DEC1990",13.9899,52.8675,".",".",1
1990,"Cluster 38",38,"01JAN1990","31DEC1990",16.3715,50.7680,".",".",1
1990,"Cluster 39",39,"01JAN1990","31DEC1990",12.6242,58.8609,".",".",1
1990,"Non-cluster area",99,"01JAN1990","31DEC1990",10.6019,46.5936,".",".",1

