"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD"
"WORK","EMPLOYMENT_ANC12",,,"Anc2012",2,2,2,"Advisory Neighborhood Commission (2012)","$ANC12A",0,0,,0,0,0,71,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"Pct16andOverEmployed",1,8,7,"% pop. 16+ yrs. employed",,0,0,,0,0,1,24,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"Pct16andOverEmployed_m",1,8,9,"% pop. 16+ yrs. employed MOE",,0,0,,0,0,1,40,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"PctUnemployed",1,8,6,"Unemployment rate (%)",,0,0,,0,0,1,16,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"PctUnemployed_m",1,8,8,"Unemployment rate (%) MOE",,0,0,,0,0,1,32,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"anc2012_nf",2,2,3,,,0,0,,0,0,0,73,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"indc",1,8,10,,,0,0,,0,0,1,48,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EMPLOYMENT_ANC12",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,120,"V9","09JAN18:11:31:32","09JAN18:11:31:32",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"

