"timeframe","city","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","city_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
2002,"Washington, D.C.","X",".",1,"01JAN2002","31DEC2002","X","X","X","X","X",242000,4345,80903.54,38,14,1651,3.2,389,".",".",".",".",".",1
2003,"Washington, D.C.","X",".",1,"01JAN2003","31DEC2003","X","X","X","X","X",309000,4305,84154.08,40,12,1522,0.6,70,".",".",".",".",".",1
2004,"Washington, D.C.","X",".",1,"01JAN2004","31DEC2004","X","X","X","X","X",339000,4859,93602.35,49,9.4,1188,0.8,106,".",".",".",".",".",1
2005,"Washington, D.C.","X",".",1,"01JAN2005","31DEC2005","X","X","X","X","X",425000,4567,105123.34,57,6.9,895,0.8,106,".",".",".",".",".",1
2006,"Washington, D.C.","X",".",1,"01JAN2006","31DEC2006","X","X","X","X","X",440163,3714,114437.96,51,8.0,1070,0.8,114,".",".",".",".",".",1
2007,"Washington, D.C.","X",".",1,"01JAN2007","31DEC2007","X","X","X","X","X",475000,3179,113899.87,40,12,1678,2.9,391,".",".",".",".",".",1
2008,"Washington, D.C.","X",".",1,"01JAN2008","31DEC2008","X","X","X","X","X",499700,2266,110687.15,24,20,2772,6.6,926,".",".",".",".",".",1
2009,"Washington, D.C.","X",".",1,"01JAN2009","31DEC2009","X","X","X","X","X",510000,2189,105416.79,92,29,4042,7.2,1016,27970,".",".",".",".",1
2010,"Washington, D.C.","X",".",1,"01JAN2010","31DEC2010","X","X","X","X","X",526950,2516,112670.20,82,25,3507,9.8,1397,32842,".",".",".",".",1
2011,"Washington, D.C.","X",".",1,"01JAN2011","31DEC2011","X","X","X","X","X",519900,2793,115387.20,75,1.7,239,1.8,255,36376,".",".",".",".",1
2012,"Washington, D.C.","X",".",1,"01JAN2012","31DEC2012","X","X","X","X","X",550000,3203,122731.32,82,0.2,35,0.4,52,38639,".",".",".",".",1
2013,"Washington, D.C.","X",".",1,"01JAN2013","31DEC2013","X","X","X","X","X",595000,3670,129878.03,89,0.3,43,0.3,37,41369,".",".",".",".",1
2014,"Washington, D.C.","X",".",1,"01JAN2014","31DEC2014","X","X","X","X","X",617000,3092,132871.46,89,".",".",".",".",43593,".",".",".",".",1
2015,"Washington, D.C.","X",".",1,"01JAN2015","31DEC2015","X","X","X","X","X",665000,3257,137664.69,93,".",".",".",".",45425,".",".",".",".",1
2016,"Washington, D.C.","X",".",1,"01JAN2016","31DEC2016","X","X","X","X","X",670000,3600,145453.88,97,".",".",".",".",45927,".",".",".",".",1
2017,"Washington, D.C.","X",".",1,"01JAN2017","31DEC2017","X","X","X","X","X",694000,3831,148556.46,103,".",".",".",".",48317,".",".",".",".",1
2018,"Washington, D.C.","X",".",1,"01JAN2018","31DEC2018","X","X","X","X","X",720000,3766,151545.68,51,".",".",".",".",49438,".",".",".",".",1
2019,"Washington, D.C.","X",".",1,"01JAN2019","31DEC2019","X","X","X","X","X",745000,3687,".",".",".",".",".",".",".",".",".",".",".",1
2016,"Washington, D.C.","X",".",1,"01JAN2015","31DEC2016","X","X","X","X","X",".",".",".",".",".",".",".",".",".",-0.5,".",".",".",1
2016,"Washington, D.C.","X",".",1,"01JAN2011","31DEC2016","X","X","X","X","X",".",".",".",".",".",".",".",".",".",".",3.8,".",".",1
2016,"Washington, D.C.","X",".",1,"01JAN2006","31DEC2016","X","X","X","X","X",".",".",".",".",".",".",".",".",".",".",".",2.5,".",1

