"timeframe","county","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","county_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","CITY_nf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj"
"2014-18","District of Columbia, DC",281322,1459,11001,"01JAN2014","31DEC2018",".",6.0,42,0.5,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Calvert County, MD",31726,434,24009,"01JAN2014","31DEC2018",".",7.5,83,3.0,1.3,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Charles County, MD",55903,474,24017,"01JAN2014","31DEC2018",".",5.9,76,1.8,1.1,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Frederick County, MD",91405,596,24021,"01JAN2014","31DEC2018",".",3.3,75,0.9,0.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Montgomery County, MD",370227,1452,24031,"01JAN2014","31DEC2018",".",4.3,65,0.5,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Prince George's County, MD",308849,1219,24033,"01JAN2014","31DEC2018",".",6.0,62,0.5,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Arlington County, VA",104716,828,51013,"01JAN2014","31DEC2018",".",4.8,43,0.9,0.6,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Clarke County, VA",5639,184,51043,"01JAN2014","31DEC2018",".",7.4,75,6.2,3.0,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Culpeper County, VA",16903,303,51047,"01JAN2014","31DEC2018",".",2.6,74,2.3,1.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Fairfax County, VA",394447,1221,51059,"01JAN2014","31DEC2018",".",3.8,68,0.5,0.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Fauquier County, VA",24333,361,51061,"01JAN2014","31DEC2018",".",3.2,78,2.2,1.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Loudoun County, VA",125309,536,51107,"01JAN2014","31DEC2018",".",3.5,78,0.9,0.7,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Prince William County, VA",140473,767,51153,"01JAN2014","31DEC2018",".",5.9,73,1.0,0.7,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Rappahannock County, VA",2976,214,51157,"01JAN2014","31DEC2018",".",6.9,74,6.4,2.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Spotsylvania County, VA",43677,434,51177,"01JAN2014","31DEC2018",".",8.9,78,2.5,1.2,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Stafford County, VA",46328,398,51179,"01JAN2014","31DEC2018",".",4.1,76,1.6,1.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Warren County, VA",14379,314,51187,"01JAN2014","31DEC2018",".",14,77,5.2,1.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Alexandria city, VA",69979,585,51510,"01JAN2014","31DEC2018",".",4.1,43,0.9,0.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Fairfax city, VA",8553,170,51600,"01JAN2014","31DEC2018",".",3.9,71,3.2,2.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Falls Church city, VA",5262,193,51610,"01JAN2014","31DEC2018",".",14,62,5.5,2.2,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Fredericksburg city, VA",10582,314,51630,"01JAN2014","31DEC2018",".",5.5,36,2.7,2.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Manassas city, VA",12749,210,51683,"01JAN2014","31DEC2018",".",4.2,65,2.6,2.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Manassas Park city, VA",4706,118,51685,"01JAN2014","31DEC2018",".",1.7,66,2.4,4.0,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2014-18","Jefferson County, WV",20895,293,54037,"01JAN2014","31DEC2018",".",5.6,75,2.0,1.3,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","District of Columbia, DC",267415,1579,11001,"01JAN2010","31DEC2014",".",6.4,42,0.5,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Calvert County, MD",31041,421,24009,"01JAN2010","31DEC2014",".",4.6,81,2.4,1.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Charles County, MD",52269,551,24017,"01JAN2010","31DEC2014",".",5.9,78,1.7,0.7,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Frederick County, MD",87259,599,24021,"01JAN2010","31DEC2014",".",3.0,74,1.1,0.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Montgomery County, MD",362608,1264,24031,"01JAN2010","31DEC2014",".",4.0,67,0.5,0.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Prince George's County, MD",305115,1317,24033,"01JAN2010","31DEC2014",".",6.9,62,0.6,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Arlington County, VA",96264,1133,51013,"01JAN2010","31DEC2014",".",5.8,45,1.0,0.7,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Clarke County, VA",5619,167,51043,"01JAN2010","31DEC2014",".",8.1,76,6.5,3.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Culpeper County, VA",16436,352,51047,"01JAN2010","31DEC2014",".",3.0,73,2.4,1.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Fairfax County, VA",391794,1231,51059,"01JAN2010","31DEC2014",".",3.4,68,0.5,0.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Fauquier County, VA",23162,443,51061,"01JAN2010","31DEC2014",".",6.8,80,3.3,1.0,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Loudoun County, VA",110047,624,51107,"01JAN2010","31DEC2014",".",3.2,77,1.2,0.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Prince William County, VA",134737,810,51153,"01JAN2010","31DEC2014",".",4.1,72,0.9,0.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Rappahannock County, VA",3281,144,51157,"01JAN2010","31DEC2014",".",0.0,79,2.5,3.2,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Spotsylvania County, VA",42280,531,51177,"01JAN2010","31DEC2014",".",5.2,76,1.9,1.6,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Stafford County, VA",42763,544,51179,"01JAN2010","31DEC2014",".",6.2,77,1.7,0.9,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Warren County, VA",14324,341,51187,"01JAN2010","31DEC2014",".",7.7,75,3.4,2.4,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Alexandria city, VA",65916,754,51510,"01JAN2010","31DEC2014",".",4.2,43,0.9,1.2,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Fairfax city, VA",8480,141,51600,"01JAN2010","31DEC2014",".",4.6,70,3.6,2.5,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Falls Church city, VA",4966,180,51610,"01JAN2010","31DEC2014",".",13,59,6.2,3.6,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Fredericksburg city, VA",9849,380,51630,"01JAN2010","31DEC2014",".",8.4,36,3.0,2.6,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Manassas city, VA",12274,286,51683,"01JAN2010","31DEC2014",".",5.9,65,3.1,2.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Manassas Park city, VA",4526,176,51685,"01JAN2010","31DEC2014",".",3.3,64,3.6,4.8,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
"2010-14","Jefferson County, WV",20126,342,54037,"01JAN2010","31DEC2014",".",6.5,76,2.8,1.6,"X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"District of Columbia, DC",".",".",11001,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Calvert County, MD",".",".",24009,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Charles County, MD",".",".",24017,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Frederick County, MD",".",".",24021,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Montgomery County, MD",".",".",24031,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Prince George's County, MD",".",".",24033,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Arlington County, VA",".",".",51013,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Clarke County, VA",".",".",51043,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Culpeper County, VA",".",".",51047,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Fairfax County, VA",".",".",51059,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Fauquier County, VA",".",".",51061,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Loudoun County, VA",".",".",51107,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Prince William County, VA",".",".",51153,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Rappahannock County, VA",".",".",51157,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Spotsylvania County, VA",".",".",51177,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Stafford County, VA",".",".",51179,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Warren County, VA",".",".",51187,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Alexandria city, VA",".",".",51510,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Fairfax city, VA",".",".",51600,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Falls Church city, VA",".",".",51610,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Fredericksburg city, VA",".",".",51630,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Manassas city, VA",".",".",51683,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Manassas Park city, VA",".",".",51685,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2010,"Jefferson County, WV",".",".",54037,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2000,"District of Columbia, DC",248338,".",11001,"01JAN2000","31DEC2000",50,6.2,41,".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
2000,"Calvert County, MD",25413,".",24009,"01JAN2000","31DEC2000",59,7.0,85,".",".","X","X",,".","X","X","X","X","X",".","X","X","X","X"
