"timeframe","Geo2010","NumOccupiedHsgUnits","geo2010_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","DC Tract 22.01",1121.00,11001002201,"01JAN2011","31DEC2015",".",0.0000,76.896,4.633,3.739,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 22.02",1286.00,11001002202,"01JAN2011","31DEC2015",".",8.3744,42.146,8.367,6.056,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 23.01",1153.00,11001002301,"01JAN2011","31DEC2015",".",7.5988,73.634,11.610,5.375,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 23.02",779.00,11001002302,"01JAN2011","31DEC2015",".",18.8875,19.512,8.625,3.469,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 24",1378.00,11001002400,"01JAN2011","31DEC2015",".",9.6948,63.498,8.913,6.298,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 25.01",1095.00,11001002501,"01JAN2011","31DEC2015",".",0.0000,45.936,2.027,6.671,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 25.02",2467.00,11001002502,"01JAN2011","31DEC2015",".",0.0000,36.887,1.092,5.994,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 26",983.00,11001002600,"01JAN2011","31DEC2015",".",0.0000,73.550,4.615,5.376,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 27.01",2780.00,11001002701,"01JAN2011","31DEC2015",".",0.0000,21.727,0.781,6.411,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 27.02",2394.00,11001002702,"01JAN2011","31DEC2015",".",0.0000,41.061,1.205,5.404,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 28.01",1653.00,11001002801,"01JAN2011","31DEC2015",".",7.7931,19.117,5.182,4.550,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 28.02",1997.00,11001002802,"01JAN2011","31DEC2015",".",3.3043,16.475,3.059,5.083,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 29",1551.00,11001002900,"01JAN2011","31DEC2015",".",1.3529,43.585,2.137,5.931,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 30",1440.00,11001003000,"01JAN2011","31DEC2015",".",4.8780,32.292,4.363,5.366,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 31",1188.00,11001003100,"01JAN2011","31DEC2015",".",0.0000,55.303,2.260,7.148,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 32",1658.00,11001003200,"01JAN2011","31DEC2015",".",12.9550,50.965,8.800,5.660,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 33.01",1566.00,11001003301,"01JAN2011","31DEC2015",".",6.6563,61.494,6.675,7.280,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 33.02",869.00,11001003302,"01JAN2011","31DEC2015",".",6.0052,58.573,6.960,7.650,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 34",1163.00,11001003400,"01JAN2011","31DEC2015",".",5.5108,39.553,5.963,9.208,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 35",1194.00,11001003500,"01JAN2011","31DEC2015",".",0.0000,42.546,2.478,6.396,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 36",2124.00,11001003600,"01JAN2011","31DEC2015",".",3.7899,31.874,5.361,7.747,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 37",2549.00,11001003700,"01JAN2011","31DEC2015",".",7.2227,21.891,4.975,5.903,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 38",2727.00,11001003800,"01JAN2011","31DEC2015",".",0.0000,30.766,0.900,6.465,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 39",2652.00,11001003900,"01JAN2011","31DEC2015",".",2.4304,27.338,3.786,5.400,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 40.01",2219.00,11001004001,"01JAN2011","31DEC2015",".",7.1791,42.316,6.464,6.733,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 40.02",1825.00,11001004002,"01JAN2011","31DEC2015",".",7.4916,39.781,6.162,5.508,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 41",1460.00,11001004100,"01JAN2011","31DEC2015",".",11.8644,50.137,8.966,5.156,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 42.01",2157.00,11001004201,"01JAN2011","31DEC2015",".",0.0000,35.698,0.865,5.504,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 42.02",1637.00,11001004202,"01JAN2011","31DEC2015",".",4.8110,32.315,5.123,5.853,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 43",2049.00,11001004300,"01JAN2011","31DEC2015",".",4.5085,36.945,5.073,5.456,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 44",2764.00,11001004400,"01JAN2011","31DEC2015",".",0.9016,52.279,1.650,5.191,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 46",1270.00,11001004600,"01JAN2011","31DEC2015",".",0.0000,42.598,1.646,7.444,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 47.01",2430.00,11001004701,"01JAN2011","31DEC2015",".",1.6386,13.539,2.618,4.064,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 47.02",1540.00,11001004702,"01JAN2011","31DEC2015",".",3.6595,21.364,3.173,3.198,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 48.01",1123.00,11001004801,"01JAN2011","31DEC2015",".",6.0027,38.646,6.349,7.681,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 48.02",1757.00,11001004802,"01JAN2011","31DEC2015",".",3.4736,17.758,3.929,5.281,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 49.01",1215.00,11001004901,"01JAN2011","31DEC2015",".",0.0000,22.469,1.274,4.193,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 49.02",1436.00,11001004902,"01JAN2011","31DEC2015",".",6.9484,30.989,5.653,6.141,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 50.01",945.00,11001005001,"01JAN2011","31DEC2015",".",2.6052,48.571,4.186,9.031,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 50.02",3546.00,11001005002,"01JAN2011","31DEC2015",".",6.8331,20.023,4.234,4.528,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 52.01",3954.00,11001005201,"01JAN2011","31DEC2015",".",10.6076,34.143,7.623,5.805,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 53.01",3363.00,11001005301,"01JAN2011","31DEC2015",".",6.8284,38.329,5.385,4.730,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 55",4265.00,11001005500,"01JAN2011","31DEC2015",".",0.0000,34.537,0.609,7.063,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 56",3342.00,11001005600,"01JAN2011","31DEC2015",".",12.5614,36.056,7.018,5.291,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 58",1769.00,11001005800,"01JAN2011","31DEC2015",".",11.1026,34.370,7.213,4.901,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 59",1336.00,11001005900,"01JAN2011","31DEC2015",".",8.7127,12.949,5.020,4.096,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 62.02",39.00,11001006202,"01JAN2011","31DEC2015",".",0.0000,0.000,30.769,30.769,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 64",1126.00,11001006400,"01JAN2011","31DEC2015",".",10.2968,14.121,7.689,4.000,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 65",1131.00,11001006500,"01JAN2011","31DEC2015",".",9.2567,42.794,8.949,5.688,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 66",935.00,11001006600,"01JAN2011","31DEC2015",".",6.0538,55.187,9.338,6.395,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 67",1802.00,11001006700,"01JAN2011","31DEC2015",".",10.8000,62.875,7.166,4.011,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 68.01",930.00,11001006801,"01JAN2011","31DEC2015",".",2.6906,53.333,4.461,5.892,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 68.02",1013.00,11001006802,"01JAN2011","31DEC2015",".",0.0000,71.076,4.096,5.284,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 68.04",16.00,11001006804,"01JAN2011","31DEC2015",".","I",100.000,".",0.000,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 69",1168.00,11001006900,"01JAN2011","31DEC2015",".",7.6923,59.932,8.355,7.654,".",".",".",".",".",".",".",".",".",".",".",".",1
