"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","HOUSING_ZIP",,,"mprice_sf",1,8,13,"Single-Family Homes, Median sales price","PROFNUM",0,0,,0,0,0,72,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",9
"WORK","HOUSING_ZIP",,,"permits",1,8,21,"Total building permits","PROFNUM",0,0,,0,0,0,136,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_ZIP",,,"sales_sf",1,8,14,"Single-Family Homes, Number of sales","PROFNUM",0,0,,0,0,0,80,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","HOUSING_ZIP",,,"start_date",1,8,6,"Start Date","DATE",9,0,,0,0,1,16,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_ZIP",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,192,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_ZIP",,,"trustee_ssl_1Kpcl_sf_condo",1,8,19,"Trustee deed sale rate per 1,000","PROFNUM",0,0,,0,0,0,120,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",19
"WORK","HOUSING_ZIP",,,"trustee_ssl_sf_condo",1,8,20,"SF homes/condos receiving trustee deed sale notice","PROFNUM",0,0,,0,0,0,128,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",18
"WORK","HOUSING_ZIP",,,"zip",2,5,2,"ZIP code (5-digit)","$ZIPA",0,0,,0,0,0,207,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_ZIP",,,"zip_nf",2,5,5,"Unformatted geography",,0,0,,0,0,0,212,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

