"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2016","31DEC2016","ZIP 20020",2016,20020,39,16,1
"01JAN2000","31DEC2000","ZIP 20024",2000,20024,67,17,1
"01JAN2001","31DEC2001","ZIP 20024",2001,20024,69,15,1
"01JAN2002","31DEC2002","ZIP 20024",2002,20024,56,14,1
"01JAN2003","31DEC2003","ZIP 20024",2003,20024,48,15,1
"01JAN2004","31DEC2004","ZIP 20024",2004,20024,43,13,1
"01JAN2005","31DEC2005","ZIP 20024",2005,20024,46,13,1
"01JAN2006","31DEC2006","ZIP 20024",2006,20024,51,16,1
"01JAN2007","31DEC2007","ZIP 20024",2007,20024,44,17,1
"01JAN2008","31DEC2008","ZIP 20024",2008,20024,39,13,1
"01JAN2009","31DEC2009","ZIP 20024",2009,20024,35,10,1
"01JAN2010","31DEC2010","ZIP 20024",2010,20024,34,9.6,1
"01JAN2011","31DEC2011","ZIP 20024",2011,20024,37,11,1
"01JAN2012","31DEC2012","ZIP 20024",2012,20024,42,8.1,1
"01JAN2013","31DEC2013","ZIP 20024",2013,20024,43,8.6,1
"01JAN2014","31DEC2014","ZIP 20024",2014,20024,41,6.7,1
"01JAN2015","31DEC2015","ZIP 20024",2015,20024,42,8.1,1
"01JAN2016","31DEC2016","ZIP 20024",2016,20024,46,8.4,1
"01JAN2000","31DEC2000","ZIP 20032",2000,20032,36,26,1
"01JAN2001","31DEC2001","ZIP 20032",2001,20032,43,25,1
"01JAN2002","31DEC2002","ZIP 20032",2002,20032,44,25,1
"01JAN2003","31DEC2003","ZIP 20032",2003,20032,42,25,1
"01JAN2004","31DEC2004","ZIP 20032",2004,20032,38,20,1
"01JAN2005","31DEC2005","ZIP 20032",2005,20032,37,20,1
"01JAN2006","31DEC2006","ZIP 20032",2006,20032,40,19,1
"01JAN2007","31DEC2007","ZIP 20032",2007,20032,48,24,1
"01JAN2008","31DEC2008","ZIP 20032",2008,20032,49,23,1
"01JAN2009","31DEC2009","ZIP 20032",2009,20032,46,23,1
"01JAN2010","31DEC2010","ZIP 20032",2010,20032,46,21,1
"01JAN2011","31DEC2011","ZIP 20032",2011,20032,42,22,1
"01JAN2012","31DEC2012","ZIP 20032",2012,20032,37,20,1
"01JAN2013","31DEC2013","ZIP 20032",2013,20032,40,21,1
"01JAN2014","31DEC2014","ZIP 20032",2014,20032,36,17,1
"01JAN2015","31DEC2015","ZIP 20032",2015,20032,34,17,1
"01JAN2016","31DEC2016","ZIP 20032",2016,20032,32,16,1
"01JAN2000","31DEC2000","ZIP 20036",2000,20036,412,28,1
"01JAN2001","31DEC2001","ZIP 20036",2001,20036,346,32,1
"01JAN2002","31DEC2002","ZIP 20036",2002,20036,300,29,1
"01JAN2003","31DEC2003","ZIP 20036",2003,20036,260,33,1
"01JAN2004","31DEC2004","ZIP 20036",2004,20036,209,29,1
"01JAN2005","31DEC2005","ZIP 20036",2005,20036,223,25,1
"01JAN2006","31DEC2006","ZIP 20036",2006,20036,172,26,1
"01JAN2007","31DEC2007","ZIP 20036",2007,20036,188,23,1
"01JAN2008","31DEC2008","ZIP 20036",2008,20036,222,23,1
"01JAN2009","31DEC2009","ZIP 20036",2009,20036,198,18,1
"01JAN2010","31DEC2010","ZIP 20036",2010,20036,180,23,1
"01JAN2011","31DEC2011","ZIP 20036",2011,20036,188,28,1
"01JAN2012","31DEC2012","ZIP 20036",2012,20036,215,21,1
"01JAN2013","31DEC2013","ZIP 20036",2013,20036,187,16,1
"01JAN2014","31DEC2014","ZIP 20036",2014,20036,196,14,1
"01JAN2015","31DEC2015","ZIP 20036",2015,20036,217,15,1
"01JAN2016","31DEC2016","ZIP 20036",2016,20036,200,16,1
"01JAN2000","31DEC2000","ZIP 20037",2000,20037,65,5.8,1
"01JAN2001","31DEC2001","ZIP 20037",2001,20037,48,7.0,1
"01JAN2002","31DEC2002","ZIP 20037",2002,20037,49,6.0,1
"01JAN2003","31DEC2003","ZIP 20037",2003,20037,43,5.9,1
"01JAN2004","31DEC2004","ZIP 20037",2004,20037,37,3.9,1
"01JAN2005","31DEC2005","ZIP 20037",2005,20037,32,3.4,1
"01JAN2006","31DEC2006","ZIP 20037",2006,20037,32,2.5,1
"01JAN2007","31DEC2007","ZIP 20037",2007,20037,30,3.2,1
"01JAN2008","31DEC2008","ZIP 20037",2008,20037,33,3.5,1
"01JAN2009","31DEC2009","ZIP 20037",2009,20037,28,4.4,1
"01JAN2010","31DEC2010","ZIP 20037",2010,20037,23,3.3,1
"01JAN2011","31DEC2011","ZIP 20037",2011,20037,30,3.8,1
"01JAN2012","31DEC2012","ZIP 20037",2012,20037,28,3.8,1
"01JAN2013","31DEC2013","ZIP 20037",2013,20037,27,1.9,1
"01JAN2014","31DEC2014","ZIP 20037",2014,20037,32,2.7,1
"01JAN2015","31DEC2015","ZIP 20037",2015,20037,36,2.7,1
"01JAN2016","31DEC2016","ZIP 20037",2016,20037,33,3.7,1
"01JAN2000","31DEC2000","ZIP 20052",2000,20052,26,0.8,1
"01JAN2001","31DEC2001","ZIP 20052",2001,20052,21,1.6,1
"01JAN2002","31DEC2002","ZIP 20052",2002,20052,30,1.6,1
"01JAN2003","31DEC2003","ZIP 20052",2003,20052,31,0.8,1
