"start_date","end_date","Ward2012","timeframe","WARD2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2010","31DEC2010","Ward 6",2010,6,44,12,1
"01JAN2011","31DEC2011","Ward 6",2011,6,49,12,1
"01JAN2012","31DEC2012","Ward 6",2012,6,60,11,1
"01JAN2013","31DEC2013","Ward 6",2013,6,63,10,1
"01JAN2014","31DEC2014","Ward 6",2014,6,68,9.4,1
"01JAN2015","31DEC2015","Ward 6",2015,6,66,11,1
"01JAN2016","31DEC2016","Ward 6",2016,6,67,10,1
"01JAN2000","31DEC2000","Ward 7",2000,7,44,18,1
"01JAN2001","31DEC2001","Ward 7",2001,7,48,20,1
"01JAN2002","31DEC2002","Ward 7",2002,7,52,18,1
"01JAN2003","31DEC2003","Ward 7",2003,7,65,18,1
"01JAN2004","31DEC2004","Ward 7",2004,7,46,16,1
"01JAN2005","31DEC2005","Ward 7",2005,7,37,17,1
"01JAN2006","31DEC2006","Ward 7",2006,7,35,15,1
"01JAN2007","31DEC2007","Ward 7",2007,7,45,16,1
"01JAN2008","31DEC2008","Ward 7",2008,7,50,17,1
"01JAN2009","31DEC2009","Ward 7",2009,7,43,18,1
"01JAN2010","31DEC2010","Ward 7",2010,7,42,18,1
"01JAN2011","31DEC2011","Ward 7",2011,7,42,17,1
"01JAN2012","31DEC2012","Ward 7",2012,7,43,16,1
"01JAN2013","31DEC2013","Ward 7",2013,7,43,20,1
"01JAN2014","31DEC2014","Ward 7",2014,7,50,20,1
"01JAN2015","31DEC2015","Ward 7",2015,7,44,17,1
"01JAN2016","31DEC2016","Ward 7",2016,7,41,15,1
"01JAN2000","31DEC2000","Ward 8",2000,8,34,22,1
"01JAN2001","31DEC2001","Ward 8",2001,8,38,22,1
"01JAN2002","31DEC2002","Ward 8",2002,8,39,23,1
"01JAN2003","31DEC2003","Ward 8",2003,8,39,22,1
"01JAN2004","31DEC2004","Ward 8",2004,8,35,19,1
"01JAN2005","31DEC2005","Ward 8",2005,8,33,19,1
"01JAN2006","31DEC2006","Ward 8",2006,8,34,19,1
"01JAN2007","31DEC2007","Ward 8",2007,8,42,22,1
"01JAN2008","31DEC2008","Ward 8",2008,8,41,20,1
"01JAN2009","31DEC2009","Ward 8",2009,8,41,20,1
"01JAN2010","31DEC2010","Ward 8",2010,8,39,19,1
"01JAN2011","31DEC2011","Ward 8",2011,8,38,19,1
"01JAN2012","31DEC2012","Ward 8",2012,8,39,21,1
"01JAN2013","31DEC2013","Ward 8",2013,8,40,20,1
"01JAN2014","31DEC2014","Ward 8",2014,8,38,17,1
"01JAN2015","31DEC2015","Ward 8",2015,8,37,17,1
"01JAN2016","31DEC2016","Ward 8",2016,8,34,16,1

