"start_date","end_date","anc2012","timeframe","anc2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2011","31DEC2011","ANC 1D",2011,"1D",26,5.8,1
"01JAN2012","31DEC2012","ANC 1D",2012,"1D",23,5.0,1
"01JAN2013","31DEC2013","ANC 1D",2013,"1D",33,5.7,1
"01JAN2014","31DEC2014","ANC 1D",2014,"1D",39,3.9,1
"01JAN2015","31DEC2015","ANC 1D",2015,"1D",31,4.0,1
"01JAN2016","31DEC2016","ANC 1D",2016,"1D",23,4.8,1
"01JAN2017","31DEC2017","ANC 1D",2017,"1D",28,1.7,1
"01JAN2018","31DEC2018","ANC 1D",2018,"1D",23,3.4,1
"01JAN2019","31DEC2019","ANC 1D",2019,"1D",25,5.0,1
"01JAN2000","31DEC2000","ANC 2A",2000,"2A",87,6.0,1
"01JAN2001","31DEC2001","ANC 2A",2001,"2A",67,6.5,1
"01JAN2002","31DEC2002","ANC 2A",2002,"2A",60,5.9,1
"01JAN2003","31DEC2003","ANC 2A",2003,"2A",56,5.4,1
"01JAN2004","31DEC2004","ANC 2A",2004,"2A",46,4.1,1
"01JAN2005","31DEC2005","ANC 2A",2005,"2A",44,3.2,1
"01JAN2006","31DEC2006","ANC 2A",2006,"2A",37,2.9,1
"01JAN2007","31DEC2007","ANC 2A",2007,"2A",32,2.4,1
"01JAN2008","31DEC2008","ANC 2A",2008,"2A",36,3.6,1
"01JAN2009","31DEC2009","ANC 2A",2009,"2A",31,4.4,1
"01JAN2010","31DEC2010","ANC 2A",2010,"2A",29,3.2,1
"01JAN2011","31DEC2011","ANC 2A",2011,"2A",33,3.3,1
"01JAN2012","31DEC2012","ANC 2A",2012,"2A",33,3.2,1
"01JAN2013","31DEC2013","ANC 2A",2013,"2A",31,2.3,1
"01JAN2014","31DEC2014","ANC 2A",2014,"2A",38,2.2,1
"01JAN2015","31DEC2015","ANC 2A",2015,"2A",41,2.9,1
"01JAN2016","31DEC2016","ANC 2A",2016,"2A",34,3.4,1
"01JAN2017","31DEC2017","ANC 2A",2017,"2A",27,2.3,1
"01JAN2018","31DEC2018","ANC 2A",2018,"2A",32,2.3,1
"01JAN2019","31DEC2019","ANC 2A",2019,"2A",36,2.1,1
"01JAN2000","31DEC2000","ANC 2B",2000,"2B",152,17,1
"01JAN2001","31DEC2001","ANC 2B",2001,"2B",128,16,1
"01JAN2002","31DEC2002","ANC 2B",2002,"2B",125,16,1
"01JAN2003","31DEC2003","ANC 2B",2003,"2B",111,17,1
"01JAN2004","31DEC2004","ANC 2B",2004,"2B",90,15,1
"01JAN2005","31DEC2005","ANC 2B",2005,"2B",91,13,1
"01JAN2006","31DEC2006","ANC 2B",2006,"2B",85,13,1
"01JAN2007","31DEC2007","ANC 2B",2007,"2B",91,14,1
"01JAN2008","31DEC2008","ANC 2B",2008,"2B",99,14,1
"01JAN2009","31DEC2009","ANC 2B",2009,"2B",100,12,1
"01JAN2010","31DEC2010","ANC 2B",2010,"2B",85,13,1
"01JAN2011","31DEC2011","ANC 2B",2011,"2B",96,15,1
"01JAN2012","31DEC2012","ANC 2B",2012,"2B",103,12,1
"01JAN2013","31DEC2013","ANC 2B",2013,"2B",91,9.0,1
"01JAN2014","31DEC2014","ANC 2B",2014,"2B",101,7.3,1
"01JAN2015","31DEC2015","ANC 2B",2015,"2B",101,7.9,1
"01JAN2016","31DEC2016","ANC 2B",2016,"2B",105,7.7,1
"01JAN2017","31DEC2017","ANC 2B",2017,"2B",79,7.2,1
"01JAN2018","31DEC2018","ANC 2B",2018,"2B",92,7.0,1
"01JAN2019","31DEC2019","ANC 2B",2019,"2B",107,7.5,1
