"start_date","end_date","cluster2017","timeframe","cluster2017_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","Cluster 01",2000,"Cluster 1",52,8.7,1
"01JAN2001","31DEC2001","Cluster 01",2001,"Cluster 1",59,12,1
"01JAN2002","31DEC2002","Cluster 01",2002,"Cluster 1",57,14,1
"01JAN2003","31DEC2003","Cluster 01",2003,"Cluster 1",61,12,1
"01JAN2004","31DEC2004","Cluster 01",2004,"Cluster 1",42,13,1
"01JAN2005","31DEC2005","Cluster 01",2005,"Cluster 1",43,12,1
"01JAN2006","31DEC2006","Cluster 01",2006,"Cluster 1",49,11,1
"01JAN2007","31DEC2007","Cluster 01",2007,"Cluster 1",47,12,1
"01JAN2008","31DEC2008","Cluster 01",2008,"Cluster 1",41,11,1
"01JAN2009","31DEC2009","Cluster 01",2009,"Cluster 1",39,9.7,1
"01JAN2010","31DEC2010","Cluster 01",2010,"Cluster 1",36,8.9,1
"01JAN2011","31DEC2011","Cluster 01",2011,"Cluster 1",41,9.3,1
"01JAN2012","31DEC2012","Cluster 01",2012,"Cluster 1",45,9.2,1
"01JAN2013","31DEC2013","Cluster 01",2013,"Cluster 1",44,8.0,1
"01JAN2014","31DEC2014","Cluster 01",2014,"Cluster 1",48,4.6,1
"01JAN2015","31DEC2015","Cluster 01",2015,"Cluster 1",42,6.3,1
"01JAN2016","31DEC2016","Cluster 01",2016,"Cluster 1",41,4.8,1
"01JAN2017","31DEC2017","Cluster 01",2017,"Cluster 1",32,3.4,1
"01JAN2018","31DEC2018","Cluster 01",2018,"Cluster 1",32,3.5,1
"01JAN2019","31DEC2019","Cluster 01",2019,"Cluster 1",36,3.1,1
"01JAN2000","31DEC2000","Cluster 02",2000,"Cluster 2",41,16,1
"01JAN2001","31DEC2001","Cluster 02",2001,"Cluster 2",44,15,1
"01JAN2002","31DEC2002","Cluster 02",2002,"Cluster 2",49,18,1
"01JAN2003","31DEC2003","Cluster 02",2003,"Cluster 2",46,21,1
"01JAN2004","31DEC2004","Cluster 02",2004,"Cluster 2",40,16,1
"01JAN2005","31DEC2005","Cluster 02",2005,"Cluster 2",35,17,1
"01JAN2006","31DEC2006","Cluster 02",2006,"Cluster 2",44,17,1
"01JAN2007","31DEC2007","Cluster 02",2007,"Cluster 2",43,17,1
"01JAN2008","31DEC2008","Cluster 02",2008,"Cluster 2",44,17,1
"01JAN2009","31DEC2009","Cluster 02",2009,"Cluster 2",45,15,1
"01JAN2010","31DEC2010","Cluster 02",2010,"Cluster 2",42,13,1
"01JAN2011","31DEC2011","Cluster 02",2011,"Cluster 2",47,13,1
"01JAN2012","31DEC2012","Cluster 02",2012,"Cluster 2",49,11,1
"01JAN2013","31DEC2013","Cluster 02",2013,"Cluster 2",57,12,1
"01JAN2014","31DEC2014","Cluster 02",2014,"Cluster 2",60,8.9,1
"01JAN2015","31DEC2015","Cluster 02",2015,"Cluster 2",58,9.9,1
"01JAN2016","31DEC2016","Cluster 02",2016,"Cluster 2",52,8.2,1
"01JAN2017","31DEC2017","Cluster 02",2017,"Cluster 2",50,5.5,1
"01JAN2018","31DEC2018","Cluster 02",2018,"Cluster 2",48,6.2,1
"01JAN2019","31DEC2019","Cluster 02",2019,"Cluster 2",46,7.2,1
"01JAN2000","31DEC2000","Cluster 03",2000,"Cluster 3",126,29,1
"01JAN2001","31DEC2001","Cluster 03",2001,"Cluster 3",110,31,1
"01JAN2002","31DEC2002","Cluster 03",2002,"Cluster 3",111,27,1
"01JAN2003","31DEC2003","Cluster 03",2003,"Cluster 3",117,24,1
"01JAN2004","31DEC2004","Cluster 03",2004,"Cluster 3",103,23,1
"01JAN2005","31DEC2005","Cluster 03",2005,"Cluster 3",95,25,1
"01JAN2006","31DEC2006","Cluster 03",2006,"Cluster 3",95,27,1
"01JAN2007","31DEC2007","Cluster 03",2007,"Cluster 3",94,26,1
"01JAN2008","31DEC2008","Cluster 03",2008,"Cluster 3",98,24,1
"01JAN2009","31DEC2009","Cluster 03",2009,"Cluster 3",92,21,1
"01JAN2010","31DEC2010","Cluster 03",2010,"Cluster 3",74,20,1
"01JAN2011","31DEC2011","Cluster 03",2011,"Cluster 3",80,25,1
"01JAN2012","31DEC2012","Cluster 03",2012,"Cluster 3",107,22,1
"01JAN2013","31DEC2013","Cluster 03",2013,"Cluster 3",105,22,1
"01JAN2014","31DEC2014","Cluster 03",2014,"Cluster 3",116,16,1
"01JAN2015","31DEC2015","Cluster 03",2015,"Cluster 3",112,14,1
"01JAN2016","31DEC2016","Cluster 03",2016,"Cluster 3",136,14,1
"01JAN2017","31DEC2017","Cluster 03",2017,"Cluster 3",106,11,1
"01JAN2018","31DEC2018","Cluster 03",2018,"Cluster 3",143,13,1
"01JAN2019","31DEC2019","Cluster 03",2019,"Cluster 3",144,20,1
"01JAN2000","31DEC2000","Cluster 04",2000,"Cluster 4",63,7.6,1
"01JAN2001","31DEC2001","Cluster 04",2001,"Cluster 4",63,7.3,1
"01JAN2002","31DEC2002","Cluster 04",2002,"Cluster 4",51,6.8,1
"01JAN2003","31DEC2003","Cluster 04",2003,"Cluster 4",51,6.6,1
"01JAN2004","31DEC2004","Cluster 04",2004,"Cluster 4",52,6.2,1
"01JAN2005","31DEC2005","Cluster 04",2005,"Cluster 4",54,5.3,1
"01JAN2006","31DEC2006","Cluster 04",2006,"Cluster 4",48,6.4,1
"01JAN2007","31DEC2007","Cluster 04",2007,"Cluster 4",53,7.0,1
"01JAN2008","31DEC2008","Cluster 04",2008,"Cluster 4",56,4.5,1
"01JAN2009","31DEC2009","Cluster 04",2009,"Cluster 4",53,4.3,1
"01JAN2010","31DEC2010","Cluster 04",2010,"Cluster 4",49,6.1,1
"01JAN2011","31DEC2011","Cluster 04",2011,"Cluster 4",53,4.5,1
"01JAN2012","31DEC2012","Cluster 04",2012,"Cluster 4",55,3.0,1
"01JAN2013","31DEC2013","Cluster 04",2013,"Cluster 4",56,3.2,1
"01JAN2014","31DEC2014","Cluster 04",2014,"Cluster 4",63,3.2,1
"01JAN2015","31DEC2015","Cluster 04",2015,"Cluster 4",62,2.9,1
"01JAN2016","31DEC2016","Cluster 04",2016,"Cluster 4",56,3.3,1
"01JAN2017","31DEC2017","Cluster 04",2017,"Cluster 4",58,2.1,1
"01JAN2018","31DEC2018","Cluster 04",2018,"Cluster 4",71,2.5,1
"01JAN2019","31DEC2019","Cluster 04",2019,"Cluster 4",69,1.8,1
"01JAN2000","31DEC2000","Cluster 05",2000,"Cluster 5",65,5.6,1
"01JAN2001","31DEC2001","Cluster 05",2001,"Cluster 5",48,5.5,1
"01JAN2002","31DEC2002","Cluster 05",2002,"Cluster 5",45,5.1,1
"01JAN2003","31DEC2003","Cluster 05",2003,"Cluster 5",41,4.7,1
"01JAN2004","31DEC2004","Cluster 05",2004,"Cluster 5",35,3.4,1
"01JAN2005","31DEC2005","Cluster 05",2005,"Cluster 5",33,2.8,1
"01JAN2006","31DEC2006","Cluster 05",2006,"Cluster 5",29,1.9,1
"01JAN2007","31DEC2007","Cluster 05",2007,"Cluster 5",28,2.1,1
"01JAN2008","31DEC2008","Cluster 05",2008,"Cluster 5",31,3.3,1
"01JAN2009","31DEC2009","Cluster 05",2009,"Cluster 5",25,3.9,1
"01JAN2010","31DEC2010","Cluster 05",2010,"Cluster 5",23,3.0,1
"01JAN2011","31DEC2011","Cluster 05",2011,"Cluster 5",29,3.2,1
"01JAN2012","31DEC2012","Cluster 05",2012,"Cluster 5",27,2.9,1
"01JAN2013","31DEC2013","Cluster 05",2013,"Cluster 5",27,1.7,1
"01JAN2014","31DEC2014","Cluster 05",2014,"Cluster 5",32,2.1,1
"01JAN2015","31DEC2015","Cluster 05",2015,"Cluster 5",35,2.6,1
"01JAN2016","31DEC2016","Cluster 05",2016,"Cluster 5",30,3.0,1
"01JAN2017","31DEC2017","Cluster 05",2017,"Cluster 5",26,2.0,1
"01JAN2018","31DEC2018","Cluster 05",2018,"Cluster 5",28,2.2,1
"01JAN2019","31DEC2019","Cluster 05",2019,"Cluster 5",31,1.8,1
"01JAN2000","31DEC2000","Cluster 06",2000,"Cluster 6",154,16,1
"01JAN2001","31DEC2001","Cluster 06",2001,"Cluster 6",131,15,1
"01JAN2002","31DEC2002","Cluster 06",2002,"Cluster 6",127,16,1
"01JAN2003","31DEC2003","Cluster 06",2003,"Cluster 6",114,16,1
"01JAN2004","31DEC2004","Cluster 06",2004,"Cluster 6",91,15,1
"01JAN2005","31DEC2005","Cluster 06",2005,"Cluster 6",92,12,1
"01JAN2006","31DEC2006","Cluster 06",2006,"Cluster 6",85,13,1
"01JAN2007","31DEC2007","Cluster 06",2007,"Cluster 6",86,13,1
"01JAN2008","31DEC2008","Cluster 06",2008,"Cluster 6",96,13,1
"01JAN2009","31DEC2009","Cluster 06",2009,"Cluster 6",96,11,1
"01JAN2010","31DEC2010","Cluster 06",2010,"Cluster 6",82,12,1
"01JAN2011","31DEC2011","Cluster 06",2011,"Cluster 6",91,14,1
"01JAN2012","31DEC2012","Cluster 06",2012,"Cluster 6",98,11,1
"01JAN2013","31DEC2013","Cluster 06",2013,"Cluster 6",85,8.9,1
"01JAN2014","31DEC2014","Cluster 06",2014,"Cluster 6",92,6.8,1
"01JAN2015","31DEC2015","Cluster 06",2015,"Cluster 6",95,7.4,1
"01JAN2016","31DEC2016","Cluster 06",2016,"Cluster 6",97,7.2,1
"01JAN2017","31DEC2017","Cluster 06",2017,"Cluster 6",72,6.6,1
"01JAN2018","31DEC2018","Cluster 06",2018,"Cluster 6",83,6.6,1
"01JAN2019","31DEC2019","Cluster 06",2019,"Cluster 6",97,6.6,1
"01JAN2000","31DEC2000","Cluster 07",2000,"Cluster 7",51,16,1
"01JAN2001","31DEC2001","Cluster 07",2001,"Cluster 7",55,22,1
"01JAN2002","31DEC2002","Cluster 07",2002,"Cluster 7",65,16,1
"01JAN2003","31DEC2003","Cluster 07",2003,"Cluster 7",54,15,1
"01JAN2004","31DEC2004","Cluster 07",2004,"Cluster 7",58,14,1
"01JAN2005","31DEC2005","Cluster 07",2005,"Cluster 7",47,15,1
"01JAN2006","31DEC2006","Cluster 07",2006,"Cluster 7",54,15,1
"01JAN2007","31DEC2007","Cluster 07",2007,"Cluster 7",49,15,1
"01JAN2008","31DEC2008","Cluster 07",2008,"Cluster 7",52,11,1
"01JAN2009","31DEC2009","Cluster 07",2009,"Cluster 7",49,12,1
"01JAN2010","31DEC2010","Cluster 07",2010,"Cluster 7",39,11,1
"01JAN2011","31DEC2011","Cluster 07",2011,"Cluster 7",45,11,1
"01JAN2012","31DEC2012","Cluster 07",2012,"Cluster 7",56,8.4,1
"01JAN2013","31DEC2013","Cluster 07",2013,"Cluster 7",50,8.5,1
"01JAN2014","31DEC2014","Cluster 07",2014,"Cluster 7",59,7.2,1
