"start_date","end_date","timeframe","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","county","county_nf","indc"
"01JAN2000","31DEC2000",2000,55,15,11001,11001,1
"01JAN2001","31DEC2001",2001,56,16,11001,11001,1
"01JAN2002","31DEC2002",2002,55,16,11001,11001,1
"01JAN2003","31DEC2003",2003,55,16,11001,11001,1
"01JAN2004","31DEC2004",2004,48,14,11001,11001,1
"01JAN2005","31DEC2005",2005,44,14,11001,11001,1
"01JAN2006","31DEC2006",2006,42,13,11001,11001,1
"01JAN2007","31DEC2007",2007,45,14,11001,11001,1
"01JAN2008","31DEC2008",2008,46,13,11001,11001,1
"01JAN2009","31DEC2009",2009,44,13,11001,11001,1
"01JAN2010","31DEC2010",2010,40,12,11001,11001,1
"01JAN2011","31DEC2011",2011,43,12,11001,11001,1
"01JAN2012","31DEC2012",2012,47,12,11001,11001,1
"01JAN2013","31DEC2013",2013,48,11,11001,11001,1
"01JAN2014","31DEC2014",2014,54,10,11001,11001,1
"01JAN2015","31DEC2015",2015,50,10,11001,11001,1
"01JAN2016","31DEC2016",2016,49,9.5,11001,11001,1

