"start_date","end_date","psa2012","timeframe","psa2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","PSA 101",2000,101,28569,3826,1
"01JAN2001","31DEC2001","PSA 101",2001,101,7984,1096,1
"01JAN2002","31DEC2002","PSA 101",2002,101,3701,303,1
"01JAN2003","31DEC2003","PSA 101",2003,101,2192,310,1
"01JAN2004","31DEC2004","PSA 101",2004,101,1403,202,1
"01JAN2005","31DEC2005","PSA 101",2005,101,1000,103,1
"01JAN2006","31DEC2006","PSA 101",2006,101,857,130,1
"01JAN2007","31DEC2007","PSA 101",2007,101,873,92,1
"01JAN2008","31DEC2008","PSA 101",2008,101,876,97,1
"01JAN2009","31DEC2009","PSA 101",2009,101,815,80,1
"01JAN2010","31DEC2010","PSA 101",2010,101,608,75,1
"01JAN2011","31DEC2011","PSA 101",2011,101,610,70,1
"01JAN2012","31DEC2012","PSA 101",2012,101,681,59,1
"01JAN2013","31DEC2013","PSA 101",2013,101,667,55,1
"01JAN2014","31DEC2014","PSA 101",2014,101,848,42,1
"01JAN2015","31DEC2015","PSA 101",2015,101,788,68,1
"01JAN2016","31DEC2016","PSA 101",2016,101,844,55,1
"01JAN2017","31DEC2017","PSA 101",2017,101,674,32,1
"01JAN2018","31DEC2018","PSA 101",2018,101,828,26,1
"01JAN2000","31DEC2000","PSA 102",2000,102,432,64,1
"01JAN2001","31DEC2001","PSA 102",2001,102,346,62,1
"01JAN2002","31DEC2002","PSA 102",2002,102,236,45,1
"01JAN2003","31DEC2003","PSA 102",2003,102,163,37,1
"01JAN2004","31DEC2004","PSA 102",2004,102,114,23,1
"01JAN2005","31DEC2005","PSA 102",2005,102,108,21,1
"01JAN2006","31DEC2006","PSA 102",2006,102,128,23,1
"01JAN2007","31DEC2007","PSA 102",2007,102,121,27,1
"01JAN2008","31DEC2008","PSA 102",2008,102,106,22,1
"01JAN2009","31DEC2009","PSA 102",2009,102,89,18,1
"01JAN2010","31DEC2010","PSA 102",2010,102,86,17,1
"01JAN2011","31DEC2011","PSA 102",2011,102,103,21,1
"01JAN2012","31DEC2012","PSA 102",2012,102,127,21,1
"01JAN2013","31DEC2013","PSA 102",2013,102,124,16,1
"01JAN2014","31DEC2014","PSA 102",2014,102,135,14,1
"01JAN2015","31DEC2015","PSA 102",2015,102,124,16,1
"01JAN2016","31DEC2016","PSA 102",2016,102,167,15,1
"01JAN2017","31DEC2017","PSA 102",2017,102,133,9.6,1
"01JAN2018","31DEC2018","PSA 102",2018,102,124,10,1
"01JAN2000","31DEC2000","PSA 103",2000,103,151,45,1
"01JAN2001","31DEC2001","PSA 103",2001,103,148,42,1
"01JAN2002","31DEC2002","PSA 103",2002,103,132,43,1
"01JAN2003","31DEC2003","PSA 103",2003,103,110,50,1
"01JAN2004","31DEC2004","PSA 103",2004,103,94,35,1
"01JAN2005","31DEC2005","PSA 103",2005,103,90,32,1
"01JAN2006","31DEC2006","PSA 103",2006,103,101,33,1
"01JAN2007","31DEC2007","PSA 103",2007,103,94,30,1
"01JAN2008","31DEC2008","PSA 103",2008,103,73,23,1
"01JAN2009","31DEC2009","PSA 103",2009,103,66,24,1
"01JAN2010","31DEC2010","PSA 103",2010,103,48,22,1
"01JAN2011","31DEC2011","PSA 103",2011,103,64,23,1
"01JAN2012","31DEC2012","PSA 103",2012,103,61,19,1
"01JAN2013","31DEC2013","PSA 103",2013,103,56,17,1
"01JAN2014","31DEC2014","PSA 103",2014,103,91,16,1
"01JAN2015","31DEC2015","PSA 103",2015,103,80,16,1
"01JAN2016","31DEC2016","PSA 103",2016,103,93,18,1
"01JAN2017","31DEC2017","PSA 103",2017,103,82,7.6,1
"01JAN2018","31DEC2018","PSA 103",2018,103,97,11,1
"01JAN2000","31DEC2000","PSA 104",2000,104,68,23,1
"01JAN2001","31DEC2001","PSA 104",2001,104,81,24,1
"01JAN2002","31DEC2002","PSA 104",2002,104,73,24,1
"01JAN2003","31DEC2003","PSA 104",2003,104,73,24,1
"01JAN2004","31DEC2004","PSA 104",2004,104,96,22,1
"01JAN2005","31DEC2005","PSA 104",2005,104,68,17,1
"01JAN2006","31DEC2006","PSA 104",2006,104,78,16,1
"01JAN2007","31DEC2007","PSA 104",2007,104,63,16,1
"01JAN2008","31DEC2008","PSA 104",2008,104,66,18,1
"01JAN2009","31DEC2009","PSA 104",2009,104,65,16,1
"01JAN2010","31DEC2010","PSA 104",2010,104,55,13,1
"01JAN2011","31DEC2011","PSA 104",2011,104,59,14,1
"01JAN2012","31DEC2012","PSA 104",2012,104,74,14,1
"01JAN2013","31DEC2013","PSA 104",2013,104,82,10,1
"01JAN2014","31DEC2014","PSA 104",2014,104,85,11,1
"01JAN2015","31DEC2015","PSA 104",2015,104,81,15,1
"01JAN2016","31DEC2016","PSA 104",2016,104,79,11,1
