"start_date","end_date","anc2012","timeframe","anc2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2003","31DEC2003","ANC 1A",2003,"1A",7.3,13,1
"01JAN2004","31DEC2004","ANC 1A",2004,"1A",10,12,1
"01JAN2005","31DEC2005","ANC 1A",2005,"1A",10,15,1
"01JAN2006","31DEC2006","ANC 1A",2006,"1A",10,13,1
"01JAN2007","31DEC2007","ANC 1A",2007,"1A",8.5,16,1
"01JAN2008","31DEC2008","ANC 1A",2008,"1A",7.7,13,1
"01JAN2009","31DEC2009","ANC 1A",2009,"1A",7.3,9.3,1
"01JAN2010","31DEC2010","ANC 1A",2010,"1A",9.0,9.6,1
"01JAN2011","31DEC2011","ANC 1A",2011,"1A",9.0,9.0,1
"01JAN2012","31DEC2012","ANC 1A",2012,"1A",11,6.8,1
"01JAN2013","31DEC2013","ANC 1A",2013,"1A",7.5,7.7,1
"01JAN2014","31DEC2014","ANC 1A",2014,"1A",6.7,5.7,1
"01JAN2015","31DEC2015","ANC 1A",2015,"1A",6.9,4.8,1
"01JAN2016","31DEC2016","ANC 1A",2016,"1A",7.7,3.8,1
"01JAN2003","31DEC2003","ANC 1B",2003,"1B",8.9,5.9,1
"01JAN2004","31DEC2004","ANC 1B",2004,"1B",12,9.2,1
"01JAN2005","31DEC2005","ANC 1B",2005,"1B",9.4,7.9,1
"01JAN2006","31DEC2006","ANC 1B",2006,"1B",14,13,1
"01JAN2007","31DEC2007","ANC 1B",2007,"1B",12,13,1
"01JAN2008","31DEC2008","ANC 1B",2008,"1B",6.8,10,1
"01JAN2009","31DEC2009","ANC 1B",2009,"1B",10,11,1
"01JAN2010","31DEC2010","ANC 1B",2010,"1B",11,8.7,1
"01JAN2011","31DEC2011","ANC 1B",2011,"1B",9.0,3.9,1
"01JAN2012","31DEC2012","ANC 1B",2012,"1B",6.8,6.5,1
"01JAN2013","31DEC2013","ANC 1B",2013,"1B",8.8,4.1,1
"01JAN2014","31DEC2014","ANC 1B",2014,"1B",7.6,5.1,1
"01JAN2015","31DEC2015","ANC 1B",2015,"1B",5.6,2.8,1
"01JAN2016","31DEC2016","ANC 1B",2016,"1B",9.0,3.0,1
"01JAN2003","31DEC2003","ANC 1C",2003,"1C",9.1,4.5,1
"01JAN2004","31DEC2004","ANC 1C",2004,"1C",7.0,3.2,1
"01JAN2005","31DEC2005","ANC 1C",2005,"1C",8.4,3.5,1
"01JAN2006","31DEC2006","ANC 1C",2006,"1C",6.2,5.6,1
"01JAN2007","31DEC2007","ANC 1C",2007,"1C",6.4,6.4,1
"01JAN2008","31DEC2008","ANC 1C",2008,"1C",10,6.3,1
"01JAN2009","31DEC2009","ANC 1C",2009,"1C",6.6,3.6,1
"01JAN2010","31DEC2010","ANC 1C",2010,"1C",4.8,1.6,1
"01JAN2011","31DEC2011","ANC 1C",2011,"1C",9.1,2.9,1
"01JAN2012","31DEC2012","ANC 1C",2012,"1C",5.6,1.5,1
"01JAN2013","31DEC2013","ANC 1C",2013,"1C",7.9,1.7,1
"01JAN2014","31DEC2014","ANC 1C",2014,"1C",6.9,0.5,1
"01JAN2015","31DEC2015","ANC 1C",2015,"1C",5.2,0.4,1
"01JAN2016","31DEC2016","ANC 1C",2016,"1C",7.1,1.0,1
"01JAN2003","31DEC2003","ANC 1D",2003,"1D",8.2,2.3,1
"01JAN2004","31DEC2004","ANC 1D",2004,"1D",9.9,2.0,1
"01JAN2005","31DEC2005","ANC 1D",2005,"1D",4.4,6.0,1
"01JAN2006","31DEC2006","ANC 1D",2006,"1D",6.6,7.2,1
"01JAN2007","31DEC2007","ANC 1D",2007,"1D",9.0,6.2,1
"01JAN2008","31DEC2008","ANC 1D",2008,"1D",7.1,5.1,1
"01JAN2009","31DEC2009","ANC 1D",2009,"1D",8.6,6.6,1
"01JAN2010","31DEC2010","ANC 1D",2010,"1D",7.6,3.5,1
"01JAN2011","31DEC2011","ANC 1D",2011,"1D",8.5,2.0,1
"01JAN2012","31DEC2012","ANC 1D",2012,"1D",5.6,1.2,1
"01JAN2013","31DEC2013","ANC 1D",2013,"1D",4.5,3.2,1
"01JAN2014","31DEC2014","ANC 1D",2014,"1D",6.1,3.7,1
"01JAN2015","31DEC2015","ANC 1D",2015,"1D",6.1,3.3,1
"01JAN2016","31DEC2016","ANC 1D",2016,"1D",9.7,5.8,1
"01JAN2003","31DEC2003","ANC 2A",2003,"2A",9.3,0.0,1
"01JAN2004","31DEC2004","ANC 2A",2004,"2A",3.0,0.0,1
"01JAN2005","31DEC2005","ANC 2A",2005,"2A",9.4,3.1,1
"01JAN2006","31DEC2006","ANC 2A",2006,"2A",5.0,2.5,1
"01JAN2007","31DEC2007","ANC 2A",2007,"2A",8.9,2.2,1
"01JAN2008","31DEC2008","ANC 2A",2008,"2A",8.9,0.0,1
"01JAN2009","31DEC2009","ANC 2A",2009,"2A",6.6,0.0,1
"01JAN2010","31DEC2010","ANC 2A",2010,"2A",4.3,1.4,1
"01JAN2011","31DEC2011","ANC 2A",2011,"2A",12,1.2,1
"01JAN2012","31DEC2012","ANC 2A",2012,"2A",4.3,0.0,1
"01JAN2013","31DEC2013","ANC 2A",2013,"2A",9.5,0.0,1
"01JAN2014","31DEC2014","ANC 2A",2014,"2A",7.2,0.0,1
"01JAN2015","31DEC2015","ANC 2A",2015,"2A",1.4,0.0,1
"01JAN2016","31DEC2016","ANC 2A",2016,"2A",6.2,0.0,1
"01JAN2003","31DEC2003","ANC 2B",2003,"2B",9.6,0.9,1
"01JAN2004","31DEC2004","ANC 2B",2004,"2B",9.4,5.1,1
"01JAN2005","31DEC2005","ANC 2B",2005,"2B",8.8,1.6,1
"01JAN2006","31DEC2006","ANC 2B",2006,"2B",8.8,3.2,1
"01JAN2007","31DEC2007","ANC 2B",2007,"2B",6.9,2.3,1
"01JAN2008","31DEC2008","ANC 2B",2008,"2B",8.8,4.8,1
"01JAN2009","31DEC2009","ANC 2B",2009,"2B",8.3,0.0,1
"01JAN2010","31DEC2010","ANC 2B",2010,"2B",3.6,1.4,1
"01JAN2011","31DEC2011","ANC 2B",2011,"2B",9.4,0.0,1
"01JAN2012","31DEC2012","ANC 2B",2012,"2B",8.9,1.2,1
"01JAN2013","31DEC2013","ANC 2B",2013,"2B",6.7,0.6,1
"01JAN2014","31DEC2014","ANC 2B",2014,"2B",4.4,1.5,1
"01JAN2015","31DEC2015","ANC 2B",2015,"2B",11,0.0,1
"01JAN2016","31DEC2016","ANC 2B",2016,"2B",7.5,0.0,1
"01JAN2003","31DEC2003","ANC 2C",2003,"2C",8.3,8.3,1
"01JAN2004","31DEC2004","ANC 2C",2004,"2C",17,8.7,1
"01JAN2005","31DEC2005","ANC 2C",2005,"2C",14,0.0,1
"01JAN2006","31DEC2006","ANC 2C",2006,"2C",6.1,2.0,1
"01JAN2007","31DEC2007","ANC 2C",2007,"2C",8.3,0.0,1
"01JAN2008","31DEC2008","ANC 2C",2008,"2C",7.7,4.6,1
"01JAN2009","31DEC2009","ANC 2C",2009,"2C",17,1.9,1
"01JAN2010","31DEC2010","ANC 2C",2010,"2C",13,0.0,1
"01JAN2011","31DEC2011","ANC 2C",2011,"2C",11,2.2,1
"01JAN2012","31DEC2012","ANC 2C",2012,"2C",5.9,2.0,1
"01JAN2013","31DEC2013","ANC 2C",2013,"2C",8.2,0.0,1
"01JAN2014","31DEC2014","ANC 2C",2014,"2C",9.4,0.0,1
"01JAN2015","31DEC2015","ANC 2C",2015,"2C",10,0.0,1
"01JAN2016","31DEC2016","ANC 2C",2016,"2C",1.8,0.0,1
"01JAN2003","31DEC2003","ANC 2D",2003,"2D",8.3,0.0,1
"01JAN2004","31DEC2004","ANC 2D",2004,"2D",14,3.6,1
"01JAN2005","31DEC2005","ANC 2D",2005,"2D",4.5,0.0,1
"01JAN2006","31DEC2006","ANC 2D",2006,"2D",3.4,0.0,1
"01JAN2007","31DEC2007","ANC 2D",2007,"2D",9.1,0.0,1
"01JAN2008","31DEC2008","ANC 2D",2008,"2D",0.0,0.0,1
"01JAN2009","31DEC2009","ANC 2D",2009,"2D",11,0.0,1
"01JAN2010","31DEC2010","ANC 2D",2010,"2D",20,0.0,1
"01JAN2011","31DEC2011","ANC 2D",2011,"2D",0.0,0.0,1
"01JAN2012","31DEC2012","ANC 2D",2012,"2D",0.0,0.0,1
"01JAN2013","31DEC2013","ANC 2D",2013,"2D",4.2,0.0,1
"01JAN2014","31DEC2014","ANC 2D",2014,"2D",0.0,0.0,1
"01JAN2015","31DEC2015","ANC 2D",2015,"2D",0.0,0.0,1
"01JAN2016","31DEC2016","ANC 2D",2016,"2D",9.4,0.0,1
"01JAN2003","31DEC2003","ANC 2E",2003,"2E",6.7,0.0,1
"01JAN2004","31DEC2004","ANC 2E",2004,"2E",11,0.0,1
"01JAN2005","31DEC2005","ANC 2E",2005,"2E",4.2,0.0,1
