start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-00,31-Dec-00,"Georgetown, Burleith/Hillandale",2000,Cluster 4,5.7,0.4,1
1-Jan-01,31-Dec-01,"Georgetown, Burleith/Hillandale",2001,Cluster 4,4.1,0,1
1-Jan-02,31-Dec-02,"Georgetown, Burleith/Hillandale",2002,Cluster 4,2.7,0,1
1-Jan-03,31-Dec-03,"Georgetown, Burleith/Hillandale",2003,Cluster 4,5.7,0.3,1
1-Jan-04,31-Dec-04,"Georgetown, Burleith/Hillandale",2004,Cluster 4,10,0,1
1-Jan-05,31-Dec-05,"Georgetown, Burleith/Hillandale",2005,Cluster 4,5.2,0,1
1-Jan-06,31-Dec-06,"Georgetown, Burleith/Hillandale",2006,Cluster 4,8.3,0.3,1
1-Jan-07,31-Dec-07,"Georgetown, Burleith/Hillandale",2007,Cluster 4,3.2,0.3,1
1-Jan-08,31-Dec-08,"Georgetown, Burleith/Hillandale",2008,Cluster 4,5.3,0,1
1-Jan-09,31-Dec-09,"Georgetown, Burleith/Hillandale",2009,Cluster 4,4.4,0,1
1-Jan-10,31-Dec-10,"Georgetown, Burleith/Hillandale",2010,Cluster 4,3.2,0,1
1-Jan-11,31-Dec-11,"Georgetown, Burleith/Hillandale",2011,Cluster 4,6.6,0.7,1
1-Jan-98,31-Dec-98,"West End, Foggy Bottom, GWU",1998,Cluster 5,4.3,4.5,1
1-Jan-99,31-Dec-99,"West End, Foggy Bottom, GWU",1999,Cluster 5,7,4.1,1
1-Jan-00,31-Dec-00,"West End, Foggy Bottom, GWU",2000,Cluster 5,9.3,0,1
1-Jan-01,31-Dec-01,"West End, Foggy Bottom, GWU",2001,Cluster 5,9,0,1
1-Jan-02,31-Dec-02,"West End, Foggy Bottom, GWU",2002,Cluster 5,15,2.7,1
1-Jan-03,31-Dec-03,"West End, Foggy Bottom, GWU",2003,Cluster 5,11,0,1
1-Jan-04,31-Dec-04,"West End, Foggy Bottom, GWU",2004,Cluster 5,6.6,0,1
1-Jan-05,31-Dec-05,"West End, Foggy Bottom, GWU",2005,Cluster 5,13,4.6,1
1-Jan-06,31-Dec-06,"West End, Foggy Bottom, GWU",2006,Cluster 5,4.7,0,1
1-Jan-07,31-Dec-07,"West End, Foggy Bottom, GWU",2007,Cluster 5,5.7,2.4,1
1-Jan-08,31-Dec-08,"West End, Foggy Bottom, GWU",2008,Cluster 5,8.9,0,1
1-Jan-09,31-Dec-09,"West End, Foggy Bottom, GWU",2009,Cluster 5,5.6,0,1
1-Jan-10,31-Dec-10,"West End, Foggy Bottom, GWU",2010,Cluster 5,4.8,0.7,1
1-Jan-11,31-Dec-11,"West End, Foggy Bottom, GWU",2011,Cluster 5,11,0.5,1
1-Jan-98,31-Dec-98,"Dupont Circle, Connecticut Avenue/K Street",1998,Cluster 6,8.6,5.4,1
1-Jan-99,31-Dec-99,"Dupont Circle, Connecticut Avenue/K Street",1999,Cluster 6,5.1,4.4,1
1-Jan-00,31-Dec-00,"Dupont Circle, Connecticut Avenue/K Street",2000,Cluster 6,9.9,6.9,1
1-Jan-01,31-Dec-01,"Dupont Circle, Connecticut Avenue/K Street",2001,Cluster 6,7.6,3.7,1
1-Jan-02,31-Dec-02,"Dupont Circle, Connecticut Avenue/K Street",2002,Cluster 6,7.4,5.4,1
1-Jan-03,31-Dec-03,"Dupont Circle, Connecticut Avenue/K Street",2003,Cluster 6,8.4,1.4,1
1-Jan-04,31-Dec-04,"Dupont Circle, Connecticut Avenue/K Street",2004,Cluster 6,9.1,5.4,1
1-Jan-05,31-Dec-05,"Dupont Circle, Connecticut Avenue/K Street",2005,Cluster 6,8.9,1.7,1
1-Jan-06,31-Dec-06,"Dupont Circle, Connecticut Avenue/K Street",2006,Cluster 6,9.8,2.6,1
1-Jan-07,31-Dec-07,"Dupont Circle, Connecticut Avenue/K Street",2007,Cluster 6,6.8,3.7,1
1-Jan-08,31-Dec-08,"Dupont Circle, Connecticut Avenue/K Street",2008,Cluster 6,10,4.1,1
1-Jan-09,31-Dec-09,"Dupont Circle, Connecticut Avenue/K Street",2009,Cluster 6,9.3,1.9,1
1-Jan-10,31-Dec-10,"Dupont Circle, Connecticut Avenue/K Street",2010,Cluster 6,4.1,0.9,1
1-Jan-11,31-Dec-11,"Dupont Circle, Connecticut Avenue/K Street",2011,Cluster 6,11,0.9,1
1-Jan-98,31-Dec-98,"Shaw, Logan Circle",1998,Cluster 7,10,13,1
1-Jan-99,31-Dec-99,"Shaw, Logan Circle",1999,Cluster 7,10,12,1
1-Jan-00,31-Dec-00,"Shaw, Logan Circle",2000,Cluster 7,12,17,1
1-Jan-01,31-Dec-01,"Shaw, Logan Circle",2001,Cluster 7,8.4,12,1
1-Jan-02,31-Dec-02,"Shaw, Logan Circle",2002,Cluster 7,12,10,1
1-Jan-03,31-Dec-03,"Shaw, Logan Circle",2003,Cluster 7,7.8,6,1
1-Jan-04,31-Dec-04,"Shaw, Logan Circle",2004,Cluster 7,10,8.3,1
1-Jan-05,31-Dec-05,"Shaw, Logan Circle",2005,Cluster 7,10,6.9,1
1-Jan-06,31-Dec-06,"Shaw, Logan Circle",2006,Cluster 7,11,9.5,1
1-Jan-07,31-Dec-07,"Shaw, Logan Circle",2007,Cluster 7,9.6,9.8,1
1-Jan-08,31-Dec-08,"Shaw, Logan Circle",2008,Cluster 7,10,9.8,1
1-Jan-09,31-Dec-09,"Shaw, Logan Circle",2009,Cluster 7,10,9.1,1
1-Jan-10,31-Dec-10,"Shaw, Logan Circle",2010,Cluster 7,7.2,6.2,1
