"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN1998","31DEC1998","Cluster 6",1998,06,0.08752,0.04555,1
"01JAN1999","31DEC1999","Cluster 6",1999,06,0.03674,0.02677,1
"01JAN2000","31DEC2000","Cluster 6",2000,06,0.08353,0.03400,1
"01JAN2001","31DEC2001","Cluster 6",2001,06,0.07926,0.02814,1
"01JAN2002","31DEC2002","Cluster 6",2002,06,0.06576,0.03097,1
"01JAN2003","31DEC2003","Cluster 6",2003,06,0.07240,0.00899,1
"01JAN2004","31DEC2004","Cluster 6",2004,06,0.08996,0.02960,1
"01JAN2005","31DEC2005","Cluster 6",2005,06,0.09678,0.00636,1
"01JAN2006","31DEC2006","Cluster 6",2006,06,0.10430,0.00000,1
"01JAN2007","31DEC2007","Cluster 6",2007,06,0.06599,0.01717,1
"01JAN2008","31DEC2008","Cluster 6",2008,06,0.10101,0.02940,1
"01JAN2009","31DEC2009","Cluster 6",2009,06,0.08483,0.00000,1
"01JAN2010","31DEC2010","Cluster 6",2010,06,0.03413,0.00490,1
"01JAN2011","31DEC2011","Cluster 6",2011,06,0.11837,0.01192,1
"01JAN1998","31DEC1998","Cluster 7",1998,07,0.10078,0.13178,1
"01JAN1999","31DEC1999","Cluster 7",1999,07,0.10357,0.11786,1
"01JAN2000","31DEC2000","Cluster 7",2000,07,0.12222,0.16296,1
"01JAN2001","31DEC2001","Cluster 7",2001,07,0.08591,0.11301,1
"01JAN2002","31DEC2002","Cluster 7",2002,07,0.12928,0.10266,1
"01JAN2003","31DEC2003","Cluster 7",2003,07,0.08271,0.06015,1
"01JAN2004","31DEC2004","Cluster 7",2004,07,0.10112,0.08614,1
"01JAN2005","31DEC2005","Cluster 7",2005,07,0.10453,0.06643,1
"01JAN2006","31DEC2006","Cluster 7",2006,07,0.10403,0.09428,1
"01JAN2007","31DEC2007","Cluster 7",2007,07,0.09184,0.09831,1
"01JAN2008","31DEC2008","Cluster 7",2008,07,0.10127,0.09810,1
"01JAN2009","31DEC2009","Cluster 7",2009,07,0.10323,0.08710,1
