"start_date","end_date","zip","timeframe","zip_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN1998","31DEC1998","ZIP 20001",1998,20001,15,19,1
"01JAN1999","31DEC1999","ZIP 20001",1999,20001,16,18,1
"01JAN2000","31DEC2000","ZIP 20001",2000,20001,14,16,1
"01JAN2001","31DEC2001","ZIP 20001",2001,20001,16,15,1
"01JAN2002","31DEC2002","ZIP 20001",2002,20001,16,16,1
"01JAN2003","31DEC2003","ZIP 20001",2003,20001,11,12,1
"01JAN2004","31DEC2004","ZIP 20001",2004,20001,15,10,1
"01JAN2005","31DEC2005","ZIP 20001",2005,20001,13,11,1
"01JAN2006","31DEC2006","ZIP 20001",2006,20001,13,11,1
"01JAN2007","31DEC2007","ZIP 20001",2007,20001,13,11,1
"01JAN2008","31DEC2008","ZIP 20001",2008,20001,9.1,10,1
"01JAN2009","31DEC2009","ZIP 20001",2009,20001,11,11,1
"01JAN2010","31DEC2010","ZIP 20001",2010,20001,9.6,8.4,1
"01JAN2011","31DEC2011","ZIP 20001",2011,20001,10.0,6.5,1
"01JAN1998","31DEC1998","ZIP 20002",1998,20002,18,20,1
"01JAN1999","31DEC1999","ZIP 20002",1999,20002,17,18,1
"01JAN2000","31DEC2000","ZIP 20002",2000,20002,13,19,1
"01JAN2001","31DEC2001","ZIP 20002",2001,20002,14,16,1
"01JAN2002","31DEC2002","ZIP 20002",2002,20002,11,14,1
"01JAN2003","31DEC2003","ZIP 20002",2003,20002,11,16,1
"01JAN2004","31DEC2004","ZIP 20002",2004,20002,13,14,1
"01JAN2005","31DEC2005","ZIP 20002",2005,20002,11,11,1
"01JAN2006","31DEC2006","ZIP 20002",2006,20002,11,14,1
"01JAN2007","31DEC2007","ZIP 20002",2007,20002,12,12,1
"01JAN2008","31DEC2008","ZIP 20002",2008,20002,11,14,1
"01JAN2009","31DEC2009","ZIP 20002",2009,20002,10,12,1
"01JAN2010","31DEC2010","ZIP 20002",2010,20002,11,9.4,1
"01JAN2011","31DEC2011","ZIP 20002",2011,20002,11,9.5,1
"01JAN1998","31DEC1998","ZIP 20003",1998,20003,12,12,1
"01JAN1999","31DEC1999","ZIP 20003",1999,20003,13,14,1
"01JAN2000","31DEC2000","ZIP 20003",2000,20003,11,12,1
"01JAN2001","31DEC2001","ZIP 20003",2001,20003,8.7,12,1
"01JAN2002","31DEC2002","ZIP 20003",2002,20003,9.5,8.9,1
"01JAN2003","31DEC2003","ZIP 20003",2003,20003,8.3,8.4,1
"01JAN2004","31DEC2004","ZIP 20003",2004,20003,9.3,7.4,1
"01JAN2005","31DEC2005","ZIP 20003",2005,20003,11,7.6,1
"01JAN2006","31DEC2006","ZIP 20003",2006,20003,9.4,4.7,1
"01JAN2007","31DEC2007","ZIP 20003",2007,20003,9.4,7.4,1
"01JAN2008","31DEC2008","ZIP 20003",2008,20003,12,5.8,1
"01JAN2009","31DEC2009","ZIP 20003",2009,20003,6.2,5.7,1
"01JAN2010","31DEC2010","ZIP 20003",2010,20003,9.4,4.1,1
"01JAN2011","31DEC2011","ZIP 20003",2011,20003,9.3,5.2,1
"01JAN1998","31DEC1998","ZIP 20004",1998,20004,0.0,0.0,1
"01JAN1999","31DEC1999","ZIP 20004",1999,20004,0.0,0.0,1
"01JAN2000","31DEC2000","ZIP 20004",2000,20004,11,3.7,1
"01JAN2001","31DEC2001","ZIP 20004",2001,20004,18,4.4,1
"01JAN2002","31DEC2002","ZIP 20004",2002,20004,6.6,0.0,1
"01JAN2003","31DEC2003","ZIP 20004",2003,20004,0.0,0.0,1
"01JAN2004","31DEC2004","ZIP 20004",2004,20004,8.5,0.0,1
"01JAN2005","31DEC2005","ZIP 20004",2005,20004,9.8,0.0,1
"01JAN2006","31DEC2006","ZIP 20004",2006,20004,3.0,1.6,1
"01JAN2007","31DEC2007","ZIP 20004",2007,20004,0.0,0.0,1
"01JAN2008","31DEC2008","ZIP 20004",2008,20004,7.4,0.0,1
"01JAN2009","31DEC2009","ZIP 20004",2009,20004,18,0.0,1
"01JAN2010","31DEC2010","ZIP 20004",2010,20004,17,0.0,1
"01JAN2011","31DEC2011","ZIP 20004",2011,20004,11,0.0,1
"01JAN1998","31DEC1998","ZIP 20005",1998,20005,8.5,8.0,1
"01JAN1999","31DEC1999","ZIP 20005",1999,20005,11,10,1
"01JAN2000","31DEC2000","ZIP 20005",2000,20005,8.7,14,1
"01JAN2001","31DEC2001","ZIP 20005",2001,20005,6.9,9.3,1
"01JAN2002","31DEC2002","ZIP 20005",2002,20005,11,7.4,1
"01JAN2003","31DEC2003","ZIP 20005",2003,20005,8.2,1.7,1
"01JAN2004","31DEC2004","ZIP 20005",2004,20005,7.9,8.8,1
"01JAN2005","31DEC2005","ZIP 20005",2005,20005,7.3,4.4,1
"01JAN2006","31DEC2006","ZIP 20005",2006,20005,7.8,8.8,1
"01JAN2007","31DEC2007","ZIP 20005",2007,20005,6.1,6.5,1
"01JAN2008","31DEC2008","ZIP 20005",2008,20005,7.6,8.7,1
"01JAN2009","31DEC2009","ZIP 20005",2009,20005,13,6.2,1
"01JAN2010","31DEC2010","ZIP 20005",2010,20005,7.4,4.1,1
"01JAN2011","31DEC2011","ZIP 20005",2011,20005,7.8,2.4,1
"01JAN1998","31DEC1998","ZIP 20006",1998,20006,0.0,44,1
"01JAN1999","31DEC1999","ZIP 20006",1999,20006,0.0,10,1
"01JAN2000","31DEC2000","ZIP 20006",2000,20006,0.0,0.0,1
"01JAN2001","31DEC2001","ZIP 20006",2001,20006,21,0.0,1
"01JAN2002","31DEC2002","ZIP 20006",2002,20006,19,19,1
"01JAN2003","31DEC2003","ZIP 20006",2003,20006,25,0.0,1
"01JAN2004","31DEC2004","ZIP 20006",2004,20006,13,0.0,1
"01JAN2005","31DEC2005","ZIP 20006",2005,20006,0.0,0.0,1
"01JAN2006","31DEC2006","ZIP 20006",2006,20006,0.0,0.0,1
"01JAN2007","31DEC2007","ZIP 20006",2007,20006,0.0,17,1
"01JAN2008","31DEC2008","ZIP 20006",2008,20006,0.0,0.0,1
"01JAN2009","31DEC2009","ZIP 20006",2009,20006,0.0,0.0,1
"01JAN2010","31DEC2010","ZIP 20006",2010,20006,20,0.0,1
"01JAN2011","31DEC2011","ZIP 20006",2011,20006,17,0.0,1
"01JAN1998","31DEC1998","ZIP 20007",1998,20007,3.2,0.8,1
"01JAN1999","31DEC1999","ZIP 20007",1999,20007,3.6,0.4,1
"01JAN2000","31DEC2000","ZIP 20007",2000,20007,9.1,1.2,1
"01JAN2001","31DEC2001","ZIP 20007",2001,20007,4.6,0.5,1
"01JAN2002","31DEC2002","ZIP 20007",2002,20007,4.4,0.1,1
"01JAN2003","31DEC2003","ZIP 20007",2003,20007,4.5,0.5,1
"01JAN2004","31DEC2004","ZIP 20007",2004,20007,7.2,0.7,1
"01JAN2005","31DEC2005","ZIP 20007",2005,20007,8.5,0.0,1
"01JAN2006","31DEC2006","ZIP 20007",2006,20007,8.1,0.4,1
"01JAN2007","31DEC2007","ZIP 20007",2007,20007,7.0,0.4,1
"01JAN2008","31DEC2008","ZIP 20007",2008,20007,5.5,0.7,1
"01JAN2009","31DEC2009","ZIP 20007",2009,20007,5.0,0.0,1
"01JAN2010","31DEC2010","ZIP 20007",2010,20007,5.0,0.3,1
"01JAN2011","31DEC2011","ZIP 20007",2011,20007,5.7,0.3,1
"01JAN1998","31DEC1998","ZIP 20008",1998,20008,4.9,0.5,1
"01JAN1999","31DEC1999","ZIP 20008",1999,20008,6.2,0.6,1
"01JAN2000","31DEC2000","ZIP 20008",2000,20008,5.9,0.2,1
"01JAN2001","31DEC2001","ZIP 20008",2001,20008,7.2,0.8,1
"01JAN2002","31DEC2002","ZIP 20008",2002,20008,7.2,0.7,1
"01JAN2003","31DEC2003","ZIP 20008",2003,20008,6.0,0.0,1
"01JAN2004","31DEC2004","ZIP 20008",2004,20008,4.3,0.8,1
"01JAN2005","31DEC2005","ZIP 20008",2005,20008,8.2,0.1,1
"01JAN2006","31DEC2006","ZIP 20008",2006,20008,8.2,0.0,1
"01JAN2007","31DEC2007","ZIP 20008",2007,20008,7.5,1.3,1
