"start_date","end_date","psa2012","timeframe","psa2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2003","31DEC2003","PSA 206",2003,206,6.7,0.0,1
"01JAN2004","31DEC2004","PSA 206",2004,206,11,0.0,1
"01JAN2005","31DEC2005","PSA 206",2005,206,4.2,0.0,1
"01JAN2006","31DEC2006","PSA 206",2006,206,7.5,0.0,1
"01JAN2007","31DEC2007","PSA 206",2007,206,2.6,0.0,1
"01JAN2008","31DEC2008","PSA 206",2008,206,3.9,0.0,1
"01JAN2009","31DEC2009","PSA 206",2009,206,4.5,0.0,1
"01JAN2010","31DEC2010","PSA 206",2010,206,1.4,0.0,1
"01JAN2011","31DEC2011","PSA 206",2011,206,4.9,0.0,1
"01JAN2012","31DEC2012","PSA 206",2012,206,6.5,0.0,1
"01JAN2013","31DEC2013","PSA 206",2013,206,9.9,0.0,1
"01JAN2014","31DEC2014","PSA 206",2014,206,6.8,0.0,1
"01JAN2015","31DEC2015","PSA 206",2015,206,5.6,0.0,1
"01JAN2016","31DEC2016","PSA 206",2016,206,4.8,0.0,1
"01JAN2003","31DEC2003","PSA 207",2003,207,8.7,0.0,1
"01JAN2004","31DEC2004","PSA 207",2004,207,2.6,5.1,1
"01JAN2005","31DEC2005","PSA 207",2005,207,7.9,5.3,1
