"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2000,"ZIP 20052",20052,"01JAN2000","31DEC2000",54,56,17,44986,".",".",".",".","X","X","X"
2000,"ZIP 20057",20057,"01JAN2000","31DEC2000",71,"i",100,".",".",".",".",".","X","X","X"
2000,"ZIP 20059",20059,"01JAN2000","31DEC2000",40,60,38,46737,".",".",".",".","X","X","X"
2000,"ZIP 20064",20064,"01JAN2000","31DEC2000",19,11,9.3,76239,".",".",".",".","X","X","X"
2000,"ZIP 20332",20332,"01JAN2000","31DEC2000",2.5,2.4,0.0,82949,".",".",".",".","X","X","X"
2000,"ZIP 20336",20336,"01JAN2000","31DEC2000",2.5,2.4,0.0,82949,".",".",".",".","X","X","X"
1990,"ZIP 20001",20001,"01JAN1990","31DEC1990",26,28,37,62098,".",".",".",".","X","X","X"
1990,"ZIP 20002",20002,"01JAN1990","31DEC1990",17,22,21,78288,".",".",".",".","X","X","X"
1990,"ZIP 20003",20003,"01JAN1990","31DEC1990",18,32,24,111350,".",".",".",".","X","X","X"
1990,"ZIP 20004",20004,"01JAN1990","31DEC1990",52,58,68,39912,".",".",".",".","X","X","X"
1990,"ZIP 20005",20005,"01JAN1990","31DEC1990",22,20,29,76199,".",".",".",".","X","X","X"
1990,"ZIP 20006",20006,"01JAN1990","31DEC1990",40,35,7.3,131984,".",".",".",".","X","X","X"
1990,"ZIP 20007",20007,"01JAN1990","31DEC1990",13,8.5,6.0,245806,".",".",".",".","X","X","X"
1990,"ZIP 20008",20008,"01JAN1990","31DEC1990",4.5,0.6,4.8,246136,".",".",".",".","X","X","X"
1990,"ZIP 20009",20009,"01JAN1990","31DEC1990",19,35,29,82391,".",".",".",".","X","X","X"
1990,"ZIP 20010",20010,"01JAN1990","31DEC1990",19,24,23,69554,".",".",".",".","X","X","X"
1990,"ZIP 20011",20011,"01JAN1990","31DEC1990",9.2,11,13,93159,".",".",".",".","X","X","X"
1990,"ZIP 20012",20012,"01JAN1990","31DEC1990",5.9,4.9,6.8,140136,".",".",".",".","X","X","X"
