"timeframe","Cluster_tr2000","cluster_tr2000_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","Cluster 1",01,"01JAN2011","31DEC2015",6.9617,0.4032,5.1829,221075.26,1.4988,6.8257,4.1365,35695.67,".",".","."
"2012-16","Cluster 2",02,"01JAN2011","31DEC2015",15.9315,28.6528,21.7877,102546.55,2.0808,5.0784,4.9736,10354.99,".",".","."
"2012-16","Cluster 3",03,"01JAN2011","31DEC2015",13.6939,26.4532,27.6031,175234.05,3.6657,11.8984,10.7866,34522.89,".",".","."
"2012-16","Cluster 4",04,"01JAN2011","31DEC2015",13.7641,1.6285,4.9552,314122.96,4.1268,5.4265,4.2588,56891.82,".",".","."
"2012-16","Cluster 5",05,"01JAN2011","31DEC2015",26.5237,11.9182,17.4379,214278.61,4.7875,39.8335,12.5863,74463.49,".",".","."
"2012-16","Cluster 6",06,"01JAN2011","31DEC2015",11.1646,5.7629,5.3585,186582.82,2.3345,17.3925,5.9949,44754.23,".",".","."
"2012-16","Cluster 7",07,"01JAN2011","31DEC2015",13.3541,16.7544,32.9504,137080.14,2.0020,7.1674,8.0668,22048.33,".",".","."
"2012-16","Cluster 8",08,"01JAN2011","31DEC2015",18.3420,20.7394,20.6023,140553.87,4.7616,13.1317,9.5254,28886.03,".",".","."
"2012-16","Cluster 9",09,"01JAN2011","31DEC2015",17.2548,40.3537,10.7161,119936.46,3.0779,8.4172,5.5920,25158.24,".",".","."
"2012-16","Cluster 10",10,"01JAN2011","31DEC2015",5.6261,1.7154,5.6189,294840.76,1.9119,2.8986,3.5947,33224.23,".",".","."
"2012-16","Cluster 11",11,"01JAN2011","31DEC2015",4.8245,0.0001,4.7131,250635.77,1.6935,2.7732,3.2487,29081.85,".",".","."
"2012-16","Cluster 12",12,"01JAN2011","31DEC2015",7.1375,3.0162,4.3308,236377.61,2.1740,5.4540,4.5443,44567.96,".",".","."
"2012-16","Cluster 13",13,"01JAN2011","31DEC2015",10.8661,3.2393,0.9843,370567.21,3.2627,3.1094,1.8091,49791.53,".",".","."
"2012-16","Cluster 14",14,"01JAN2011","31DEC2015",16.4623,3.5106,6.4001,177794.73,3.9175,7.8337,4.2294,43895.84,".",".","."
"2012-16","Cluster 15",15,"01JAN2011","31DEC2015",6.0937,7.0859,1.9723,324531.98,1.8949,6.1989,2.6230,42333.77,".",".","."
"2012-16","Cluster 16",16,"01JAN2011","31DEC2015",4.0932,0.9504,7.1584,228653.56,2.1264,4.4510,4.3386,34457.33,".",".","."
"2012-16","Cluster 17",17,"01JAN2011","31DEC2015",14.9221,22.3822,12.2676,99125.72,3.0338,5.4434,3.8769,12571.46,".",".","."
"2012-16","Cluster 18",18,"01JAN2011","31DEC2015",11.6807,12.3608,14.8759,123059.93,1.8232,3.3618,3.1951,10932.43,".",".","."
"2012-16","Cluster 19",19,"01JAN2011","31DEC2015",14.2963,12.8061,14.0714,86204.13,2.9849,4.9994,5.7045,15311.15,".",".","."
"2012-16","Cluster 20",20,"01JAN2011","31DEC2015",5.8320,1.3713,10.7417,114579.45,1.8081,3.9585,4.7746,17634.83,".",".","."
"2012-16","Cluster 21",21,"01JAN2011","31DEC2015",16.9198,23.6048,15.2559,118152.08,2.2333,5.7749,4.3452,14135.08,".",".","."
"2012-16","Cluster 22",22,"01JAN2011","31DEC2015",19.6491,28.3923,21.7354,99658.72,5.1000,8.7058,12.9922,17831.91,".",".","."
"2012-16","Cluster 23",23,"01JAN2011","31DEC2015",27.5446,32.3123,17.3469,61988.26,4.1230,7.1491,5.3022,10696.13,".",".","."
"2012-16","Cluster 24",24,"01JAN2011","31DEC2015",15.6481,3.1239,21.9003,105703.19,3.1936,3.8302,5.4666,13679.77,".",".","."
"2012-16","Cluster 25",25,"01JAN2011","31DEC2015",10.3986,9.2269,14.5482,166223.28,1.5313,4.1149,4.7562,13776.95,".",".","."
"2012-16","Cluster 26",26,"01JAN2011","31DEC2015",7.4459,2.1413,8.5194,218903.35,1.7715,5.2347,3.9891,22773.91,".",".","."
"2012-16","Cluster 27",27,"01JAN2011","31DEC2015",22.0999,41.3886,26.1698,122495.39,6.6717,13.8696,10.4593,25313.61,".",".","."
"2012-16","Cluster 28",28,"01JAN2011","31DEC2015",44.1533,59.7588,29.4118,51935.09,7.8677,8.8087,13.8939,14225.40,".",".","."
"2012-16","Cluster 29",29,"01JAN2011","31DEC2015",42.7057,66.2338,15.6250,47763.96,11.6377,13.7360,9.4285,10909.40,".",".","."
"2012-16","Cluster 30",30,"01JAN2011","31DEC2015",32.9652,49.0015,16.5545,47093.06,7.0808,13.3718,6.7641,10935.65,".",".","."
