"timeframe","psa2012","psa2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2014-18","PSA 101",101,"01JAN2014","31DEC2018",15,0.0,29,240768,11,59,41,187666,"X","X","X"
"2014-18","PSA 102",102,"01JAN2014","31DEC2018",20,15,25,195924,6.2,21,13,58277,"X","X","X"
"2014-18","PSA 103",103,"01JAN2014","31DEC2018",21,18,22,119661,6.8,20,13,38243,"X","X","X"
"2014-18","PSA 104",104,"01JAN2014","31DEC2018",9.9,4.7,22,196997,2.4,7.0,9.2,31671,"X","X","X"
"2014-18","PSA 105",105,"01JAN2014","31DEC2018",17,38,13,134636,4.1,9.2,6.4,27199,"X","X","X"
"2014-18","PSA 106",106,"01JAN2014","31DEC2018",16,28,18,176907,5.5,11,9.4,34257,"X","X","X"
"2014-18","PSA 107",107,"01JAN2014","31DEC2018",4.5,1.0,4.4,228394,1.6,3.9,3.5,23028,"X","X","X"
"2014-18","PSA 108",108,"01JAN2014","31DEC2018",6.2,0.2,10,199019,1.6,3.9,5.6,21324,"X","X","X"
"2014-18","PSA 201",201,"01JAN2014","31DEC2018",4.3,2.2,5.8,278738,1.5,2.7,3.4,29723,"X","X","X"
"2014-18","PSA 202",202,"01JAN2014","31DEC2018",4.8,0.0,2.7,283546,1.6,2.8,3.4,36494,"X","X","X"
"2014-18","PSA 203",203,"01JAN2014","31DEC2018",6.8,1.4,6.7,280441,1.9,4.5,4.9,47655,"X","X","X"
"2014-18","PSA 204",204,"01JAN2014","31DEC2018",12,4.1,3.5,273723,2.2,4.6,2.7,33067,"X","X","X"
"2014-18","PSA 205",205,"01JAN2014","31DEC2018",8.9,4.3,3.6,370278,2.2,3.9,3.1,50105,"X","X","X"
"2014-18","PSA 206",206,"01JAN2014","31DEC2018",12,3.7,4.0,349227,4.1,6.6,4.0,68529,"X","X","X"
"2014-18","PSA 207",207,"01JAN2014","31DEC2018",24,0.0,12,214785,3.6,33,8.4,74021,"X","X","X"
"2014-18","PSA 208",208,"01JAN2014","31DEC2018",10,1.0,5.4,247169,2.0,12,5.3,56266,"X","X","X"
"2014-18","PSA 301",301,"01JAN2014","31DEC2018",6.0,5.0,13,213651,1.9,10,11,59272,"X","X","X"
"2014-18","PSA 302",302,"01JAN2014","31DEC2018",17,40,26,116091,4.2,9.5,9.3,20530,"X","X","X"
"2014-18","PSA 303",303,"01JAN2014","31DEC2018",4.8,3.3,3.0,228482,1.4,8.6,3.6,41247,"X","X","X"
"2014-18","PSA 304",304,"01JAN2014","31DEC2018",23,62,38,104448,7.4,18,16,26060,"X","X","X"
"2014-18","PSA 305",305,"01JAN2014","31DEC2018",9.4,17,32,259998,4.1,20,13,84950,"X","X","X"
"2014-18","PSA 306",306,"01JAN2014","31DEC2018",15,24,27,125459,6.0,21,17,42861,"X","X","X"
"2014-18","PSA 307",307,"01JAN2014","31DEC2018",13,12,26,170894,2.8,9.5,11,38744,"X","X","X"
"2014-18","PSA 308",308,"01JAN2014","31DEC2018",14,29,30,143097,5.1,14,10,29904,"X","X","X"
"2014-18","PSA 401",401,"01JAN2014","31DEC2018",8.4,8.9,7.6,165363,2.9,5.6,4.4,21020,"X","X","X"
"2014-18","PSA 402",402,"01JAN2014","31DEC2018",18,23,22,94529,4.8,6.7,8.0,14987,"X","X","X"
"2014-18","PSA 403",403,"01JAN2014","31DEC2018",13,14,13,118644,2.9,5.4,4.7,18693,"X","X","X"
"2014-18","PSA 404",404,"01JAN2014","31DEC2018",12,11,22,159361,3.8,6.5,8.2,24054,"X","X","X"
"2014-18","PSA 405",405,"01JAN2014","31DEC2018",11,3.5,17,109468,2.1,3.8,5.0,15207,"X","X","X"
"2014-18","PSA 406",406,"01JAN2014","31DEC2018",12,18,12,126994,3.6,6.9,5.0,19593,"X","X","X"
"2014-18","PSA 407",407,"01JAN2014","31DEC2018",8.2,2.6,13,138939,2.0,3.7,5.1,17458,"X","X","X"
"2014-18","PSA 408",408,"01JAN2014","31DEC2018",13,23,11,166240,5.2,14,14,36415,"X","X","X"
"2014-18","PSA 409",409,"01JAN2014","31DEC2018",17,39,19,120304,4.1,10,11,24348,"X","X","X"
"2014-18","PSA 501",501,"01JAN2014","31DEC2018",10,14,19,170033,3.1,14,8.2,29899,"X","X","X"
"2014-18","PSA 502",502,"01JAN2014","31DEC2018",19,22,20,122186,3.3,8.0,6.4,20229,"X","X","X"
"2014-18","PSA 503",503,"01JAN2014","31DEC2018",12,3.0,21,125860,2.9,3.5,5.8,21008,"X","X","X"
"2014-18","PSA 504",504,"01JAN2014","31DEC2018",12,5.0,15,144557,3.3,6.1,5.4,26417,"X","X","X"
"2014-18","PSA 505",505,"01JAN2014","31DEC2018",28,34,19,89291,6.0,7.8,11,23531,"X","X","X"
"2014-18","PSA 506",506,"01JAN2014","31DEC2018",20,28,23,88136,4.9,9.3,9.3,21870,"X","X","X"
