"timeframe","county","county_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2000,"Alexandria city, VA",51510,"01JAN2000","31DEC2000",8.9079,14.3162,8.9393,92900.03,".",".",".",".",".",".","."
2000,"Fairfax city, VA",51600,"01JAN2000","31DEC2000",5.7337,4.5109,2.0576,93244.50,".",".",".",".",".",".","."
2000,"Falls Church city, VA",51610,"01JAN2000","31DEC2000",4.1966,5.4733,4.1356,111711.19,".",".",".",".",".",".","."
2000,"Fredericksburg city, VA",51630,"01JAN2000","31DEC2000",15.2289,19.6041,8.7348,63756.54,".",".",".",".",".",".","."
2000,"Manassas city, VA",51683,"01JAN2000","31DEC2000",6.2837,8.1928,5.4329,80142.98,".",".",".",".",".",".","."
2000,"Manassas Park city, VA",51685,"01JAN2000","31DEC2000",5.2002,6.4874,11.1381,66667.53,".",".",".",".",".",".","."
2000,"Jefferson County, WV",54037,"01JAN2000","31DEC2000",10.3057,12.1562,9.3993,59748.48,".",".",".",".",".",".","."
1990,"District of Columbia, DC",11001,"01JAN1990","31DEC1990",16.8664,25.4884,17.2278,53049.45,".",".",".",".",".",".","."
1990,"Calvert County, MD",24009,"01JAN1990","31DEC1990",5.2471,6.8358,8.3691,55937.62,".",".",".",".",".",".","."
1990,"Charles County, MD",24017,"01JAN1990","31DEC1990",5.0207,5.6992,10.9410,53769.84,".",".",".",".",".",".","."
1990,"Frederick County, MD",24021,"01JAN1990","31DEC1990",4.8211,5.8255,9.2039,51299.89,".",".",".",".",".",".","."
1990,"Montgomery County, MD",24031,"01JAN1990","31DEC1990",4.2285,5.1474,4.5090,77069.73,".",".",".",".",".",".","."
1990,"Prince George's County, MD",24033,"01JAN1990","31DEC1990",5.8189,7.0121,7.3240,53293.23,".",".",".",".",".",".","."
1990,"Arlington County, VA",51013,"01JAN1990","31DEC1990",7.1577,8.8249,5.8269,66983.24,".",".",".",".",".",".","."
1990,"Clarke County, VA",51043,"01JAN1990","31DEC1990",8.6847,10.4917,15.8273,48577.97,".",".",".",".",".",".","."
1990,"Culpeper County, VA",51047,"01JAN1990","31DEC1990",8.6598,9.0811,15.7511,43440.10,".",".",".",".",".",".","."
1990,"Fairfax County, VA",51059,"01JAN1990","31DEC1990",3.5084,4.0665,3.8811,75723.99,".",".",".",".",".",".","."
1990,"Fauquier County, VA",51061,"01JAN1990","31DEC1990",4.1698,4.6511,7.9729,60009.10,".",".",".",".",".",".","."
1990,"Loudoun County, VA",51107,"01JAN1990","31DEC1990",3.0875,3.7399,8.7547,62218.83,".",".",".",".",".",".","."
1990,"Prince William County, VA",51153,"01JAN1990","31DEC1990",3.2466,4.0722,6.5288,56807.61,".",".",".",".",".",".","."
1990,"Rappahannock County, VA",51157,"01JAN1990","31DEC1990",10.7606,13.2829,11.5299,47013.79,".",".",".",".",".",".","."
