"timeframe","anc2012","anc2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2010-14","ANC 1B","1B","01JAN2010","31DEC2014",15,29,34,129614,2.7,8.4,8.8,20667,"X","X","X"
"2010-14","ANC 1C","1C","01JAN2010","31DEC2014",7.3,6.2,7.0,190750,1.8,11,5.6,37133,"X","X","X"
"2010-14","ANC 1D","1D","01JAN2010","31DEC2014",8.8,11,13,145513,3.1,10,9.4,29875,"X","X","X"
"2010-14","ANC 2A","2A","01JAN2010","31DEC2014",20,17,11,252306,3.8,69,8.3,89318,"X","X","X"
"2010-14","ANC 2B","2B","01JAN2010","31DEC2014",10,10.0,9.0,199343,2.2,18,6.5,49769,"X","X","X"
"2010-14","ANC 2C","2C","01JAN2010","31DEC2014",16,16,25,214332,5.6,31,13,64726,"X","X","X"
"2010-14","ANC 2D","2D","01JAN2010","31DEC2014",6.0,0.0,2.7,280747,2.9,18,4.4,84437,"X","X","X"
"2010-14","ANC 2E","2E","01JAN2010","31DEC2014",11,1.1,2.7,345757,3.0,5.0,3.7,60286,"X","X","X"
"2010-14","ANC 2F","2F","01JAN2010","31DEC2014",13,18,24,161052,3.5,15,10,39315,"X","X","X"
"2010-14","ANC 3B","3B","01JAN2010","31DEC2014",9.7,4.9,3.9,202646,3.5,8.8,3.8,46327,"X","X","X"
"2010-14","ANC 3C","3C","01JAN2010","31DEC2014",10,4.9,3.7,273854,2.3,5.9,3.6,43582,"X","X","X"
"2010-14","ANC 3D","3D","01JAN2010","31DEC2014",13,2.2,1.7,376446,3.3,3.2,2.2,48064,"X","X","X"
"2010-14","ANC 3E","3E","01JAN2010","31DEC2014",5.7,0.7,4.0,234730,2.0,3.1,3.7,33483,"X","X","X"
"2010-14","ANC 3F","3F","01JAN2010","31DEC2014",8.6,2.5,6.9,259876,2.5,5.6,5.2,52960,"X","X","X"
"2010-14","ANC 3G","3G","01JAN2010","31DEC2014",6.3,1.9,3.1,292777,2.0,3.0,3.0,32511,"X","X","X"
"2010-14","ANC 4A","4A","01JAN2010","31DEC2014",8.5,8.1,8.5,140763,2.2,3.8,3.2,14668,"X","X","X"
"2010-14","ANC 4B","4B","01JAN2010","31DEC2014",14,21,12,105175,3.3,6.1,3.6,11522,"X","X","X"
"2010-14","ANC 4C","4C","01JAN2010","31DEC2014",16,25,14,120483,3.5,6.7,4.7,18848,"X","X","X"
"2010-14","ANC 4D","4D","01JAN2010","31DEC2014",19,28,13,90525,5.3,7.8,5.1,14356,"X","X","X"
"2010-14","ANC 5A","5A","01JAN2010","31DEC2014",17,20,15,81574,3.7,6.6,5.3,10831,"X","X","X"
"2010-14","ANC 5B","5B","01JAN2010","31DEC2014",12,6.1,11,107244,3.8,5.7,4.8,14352,"X","X","X"
"2010-14","ANC 5C","5C","01JAN2010","31DEC2014",20,18,27,93243,4.2,7.0,6.4,11932,"X","X","X"
"2010-14","ANC 5D","5D","01JAN2010","31DEC2014",31,39,20,58707,4.5,7.2,5.7,9690,"X","X","X"
"2010-14","ANC 5E","5E","01JAN2010","31DEC2014",19,25,19,109132,2.6,6.5,5.9,14251,"X","X","X"
