"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2014-18","Cluster 15","Cluster 15","01JAN2014","31DEC2018",6.1,3.2,4.1,322166,1.8,5.4,4.1,48354,"X","X","X"
"2014-18","Cluster 16","Cluster 16","01JAN2014","31DEC2018",2.6,0.8,3.6,225275,1.5,3.7,3.4,32753,"X","X","X"
"2014-18","Cluster 17","Cluster 17","01JAN2014","31DEC2018",16,20,18,106998,3.2,5.1,5.2,12591,"X","X","X"
"2014-18","Cluster 18","Cluster 18","01JAN2014","31DEC2018",11,9.4,16,138692,1.8,3.3,3.7,11965,"X","X","X"
"2014-18","Cluster 19","Cluster 19","01JAN2014","31DEC2018",12,9.7,15,111960,2.6,4.6,5.6,16521,"X","X","X"
"2014-18","Cluster 20","Cluster 20","01JAN2014","31DEC2018",8.7,2.6,13,123602,2.5,4.2,5.2,19317,"X","X","X"
"2014-18","Cluster 21","Cluster 21","01JAN2014","31DEC2018",16,19,21,138952,2.2,6.9,4.8,16264,"X","X","X"
"2014-18","Cluster 22","Cluster 22","01JAN2014","31DEC2018",17,17,16,122320,3.1,5.2,5.1,18172,"X","X","X"
"2014-18","Cluster 23","Cluster 23","01JAN2014","31DEC2018",24,34,23,69848,4.1,7.9,7.0,12526,"X","X","X"
"2014-18","Cluster 24","Cluster 24","01JAN2014","31DEC2018",12,3.3,23,125837,3.2,4.2,6.8,25499,"X","X","X"
"2014-18","Cluster 25","Cluster 25","01JAN2014","31DEC2018",10,12,15,181013,1.8,4.9,5.0,17448,"X","X","X"
"2014-18","Cluster 26","Cluster 26","01JAN2014","31DEC2018",9.8,10,7.5,208360,2.5,5.0,3.2,16700,"X","X","X"
"2014-18","Cluster 27","Cluster 27","01JAN2014","31DEC2018",7.2,6.1,29,180807,3.8,14,17,63413,"X","X","X"
"2014-18","Cluster 28","Cluster 28","01JAN2014","31DEC2018",48,62,30,52109,7.3,9.0,13,16892,"X","X","X"
"2014-18","Cluster 29","Cluster 29","01JAN2014","31DEC2018",36,48,13,54243,13,20,9.3,16439,"X","X","X"
"2014-18","Cluster 30","Cluster 30","01JAN2014","31DEC2018",33,48,18,53623,6.9,11,7.7,14016,"X","X","X"
"2014-18","Cluster 31","Cluster 31","01JAN2014","31DEC2018",27,48,14,66838,6.3,9.2,5.8,11389,"X","X","X"
"2014-18","Cluster 32","Cluster 32","01JAN2014","31DEC2018",26,29,26,67057,5.6,7.8,8.4,13007,"X","X","X"
"2014-18","Cluster 33","Cluster 33","01JAN2014","31DEC2018",27,40,16,62490,4.2,6.0,5.5,9033,"X","X","X"
"2014-18","Cluster 34","Cluster 34","01JAN2014","31DEC2018",21,26,18,87049,3.2,7.6,4.6,11873,"X","X","X"
"2014-18","Cluster 35","Cluster 35","01JAN2014","31DEC2018",30,58,17,83145,9.8,13,12,25191,"X","X","X"
"2014-18","Cluster 36","Cluster 36","01JAN2014","31DEC2018",50,70,36,42417,7.0,6.6,17,10349,"X","X","X"
"2014-18","Cluster 37","Cluster 37","01JAN2014","31DEC2018",46,54,28,56956,7.2,7.4,13,25342,"X","X","X"
"2014-18","Cluster 38","Cluster 38","01JAN2014","31DEC2018",31,45,20,54738,6.1,6.8,8.3,8844,"X","X","X"
"2014-18","Cluster 39","Cluster 39","01JAN2014","31DEC2018",33,44,22,54585,3.4,4.2,4.6,5754,"X","X","X"
"2014-18","Cluster 40","Cluster 40","01JAN2014","31DEC2018",9.9,11,6.9,123261,11,31,18,106143,"X","X","X"
"2014-18","Cluster 41","Cluster 41","01JAN2014","31DEC2018",11,12,9.6,182687,8.5,17,19,105238,"X","X","X"
"2014-18","Cluster 43","Cluster 43","01JAN2014","31DEC2018",27,26,26,66013,27,26,36,46015,"X","X","X"
"2014-18","Cluster 44","Cluster 44","01JAN2014","31DEC2018",13,13,15,96952,5.4,5.2,22,16913,"X","X","X"
