"timeframe","county","TotPop","TotPop_m","county_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear"
2010,"Fairfax County, VA",1081726,".",51059,"01JAN2010","31DEC2010",24,9.8,".",9.7,55,16,19,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Fauquier County, VA",65203,".",51061,"01JAN2010","31DEC2010",25,13,".",9.1,82,6.4,1.8,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Loudoun County, VA",312311,".",51107,"01JAN2010","31DEC2010",31,6.5,".",8.0,63,12,17,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Prince William County, VA",402002,".",51153,"01JAN2010","31DEC2010",29,6.8,".",21,49,20,8.9,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Rappahannock County, VA",7373,".",51157,"01JAN2010","31DEC2010",20,19,".",5.2,91,3.1,0.7,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Spotsylvania County, VA",122397,".",51177,"01JAN2010","31DEC2010",28,9.9,".",16,72,7.6,3.1,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Stafford County, VA",128961,".",51179,"01JAN2010","31DEC2010",29,7.3,".",18,68,9.2,3.8,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Warren County, VA",37575,".",51187,"01JAN2010","31DEC2010",24,13,".",5.5,89,3.5,1.3,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Alexandria city, VA",139966,".",51510,"01JAN2010","31DEC2010",17,9.1,".",22,54,16,7.2,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Fairfax city, VA",22565,".",51600,"01JAN2010","31DEC2010",20,14,".",5.3,62,16,17,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Falls Church city, VA",12332,".",51610,"01JAN2010","31DEC2010",25,10,".",5.0,74,9.0,12,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Fredericksburg city, VA",24286,".",51630,"01JAN2010","31DEC2010",20,9.9,".",24,61,11,3.7,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Manassas city, VA",37821,".",51683,"01JAN2010","31DEC2010",28,6.9,".",15,48,31,5.7,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Manassas Park city, VA",14273,".",51685,"01JAN2010","31DEC2010",28,5.6,".",14,43,33,10,".",".",".",".",".",".",".",".",".","X","X","X"
2010,"Jefferson County, WV",53498,".",54037,"01JAN2010","31DEC2010",24,12,".",7.7,86,4.7,1.7,".",".",".",".",".",".",".",".",".","X","X","X"
2000,"District of Columbia, DC",572059,".",11001,"01JAN2000","31DEC2000",20,12,13,61,28,7.9,3.0,52,".",".",".",".",".",".",".",".","X","X","X"
2000,"Calvert County, MD",74465,".",24009,"01JAN2000","31DEC2000",30,8.9,2.2,13,84,1.4,1.2,17,".",".",".",".",".",".",".",".","X","X","X"
2000,"Charles County, MD",120546,".",24017,"01JAN2000","31DEC2000",29,7.8,2.9,27,68,2.2,2.1,24,".",".",".",".",".",".",".",".","X","X","X"
2000,"Frederick County, MD",195501,".",24021,"01JAN2000","31DEC2000",28,9.6,4.0,6.8,89,2.4,2.1,15,".",".",".",".",".",".",".",".","X","X","X"
2000,"Montgomery County, MD",873673,".",24031,"01JAN2000","31DEC2000",25,11,27,16,60,11,12,18,".",".",".",".",".",".",".",".","X","X","X"
2000,"Prince George's County, MD",800962,".",24033,"01JAN2000","31DEC2000",27,7.7,14,64,25,7.1,4.2,35,".",".",".",".",".",".",".",".","X","X","X"
2000,"Arlington County, VA",189058,".",51013,"01JAN2000","31DEC2000",16,9.1,28,9.9,61,19,9.5,19,".",".",".",".",".",".",".",".","X","X","X"
