"timeframe","zip","TotPop","TotPop_m","zip_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2013-17","ZIP 20001",47231,1345,20001,"01JAN2012","31DEC2016",11,8.3,14,43,37,9.9,7.1,46,1.3,0.8,1.3,2.0,1.4,1.7,0.9,7.3,"X","X","X",1
"2013-17","ZIP 20002",60294,1559,20002,"01JAN2012","31DEC2016",15,9.2,8.5,46,42,6.3,3.1,38,1.0,0.7,0.9,1.8,1.1,0.9,0.6,4.8,"X","X","X",1
"2013-17","ZIP 20003",30647,927,20003,"01JAN2012","31DEC2016",14,9.4,6.0,30,58,6.2,2.4,24,1.4,0.9,0.9,2.0,1.5,1.1,0.5,6.0,"X","X","X",1
"2013-17","ZIP 20004",1756,214,20004,"01JAN2012","31DEC2016",5.0,9.5,23,7.8,62,7.7,20,0.0,3.1,4.3,5.5,7.9,4.4,4.8,5.6,24,"X","X","X",1
"2013-17","ZIP 20005",13701,818,20005,"01JAN2012","31DEC2016",7.2,6.9,24,14,56,18,8.9,3.1,2.7,1.6,3.9,2.8,2.9,5.3,2.2,8.2,"X","X","X",1
"2013-17","ZIP 20006",2719,492,20006,"01JAN2012","31DEC2016",1.0,1.1,16,12,64,8.3,12,0.0,1.5,1.5,5.3,9.9,13,2.8,3.9,5843,"X","X","X",1
"2013-17","ZIP 20007",27234,1049,20007,"01JAN2012","31DEC2016",13,15,21,5.5,74,9.7,7.2,20,1.4,1.4,2.1,2.0,2.0,1.8,1.5,6.4,"X","X","X",1
"2013-17","ZIP 20008",29464,1074,20008,"01JAN2012","31DEC2016",13,17,19,6.9,72,12,6.7,13,1.7,1.4,2.5,1.9,2.5,2.1,1.6,5.6,"X","X","X",1
"2013-17","ZIP 20009",54069,1523,20009,"01JAN2012","31DEC2016",10.0,8.0,20,16,59,15,5.8,32,1.1,0.8,1.6,1.6,1.6,1.8,0.9,7.6,"X","X","X",1
"2013-17","ZIP 20010",30891,1360,20010,"01JAN2012","31DEC2016",16,8.6,28,27,37,29,3.4,36,1.7,1.1,2.7,2.8,1.9,3.4,0.8,7.0,"X","X","X",1
"2013-17","ZIP 20011",68133,1889,20011,"01JAN2012","31DEC2016",19,14,24,57,17,21,2.4,33,1.1,0.7,1.8,1.6,0.9,2.0,0.5,4.3,"X","X","X",1
"2013-17","ZIP 20012",15662,837,20012,"01JAN2012","31DEC2016",21,15,19,57,22,18,1.7,29,2.6,1.6,3.6,2.3,1.7,4.5,0.9,7.5,"X","X","X",1
"2013-17","ZIP 20015",16364,522,20015,"01JAN2012","31DEC2016",25,21,14,8.0,74,10,4.3,11,2.2,2.0,2.6,1.6,2.6,3.0,1.2,4.6,"X","X","X",1
"2013-17","ZIP 20016",34695,1035,20016,"01JAN2012","31DEC2016",18,17,20,5.5,73,11,6.2,6.6,1.4,1.3,2.0,1.3,1.8,2.0,1.1,3.1,"X","X","X",1
"2013-17","ZIP 20017",17701,858,20017,"01JAN2012","31DEC2016",18,18,8.1,64,23,8.8,1.8,38,2.1,1.7,1.8,2.5,2.1,3.3,0.9,8.1,"X","X","X",1
"2013-17","ZIP 20018",20384,928,20018,"01JAN2012","31DEC2016",20,18,8.8,78,12,7.1,1.0,47,2.2,1.6,2.0,2.6,1.7,1.8,0.5,7.8,"X","X","X",1
"2013-17","ZIP 20019",61222,2086,20019,"01JAN2012","31DEC2016",26,12,3.8,94,0.9,3.5,0.3,75,1.5,0.9,1.0,0.8,0.3,1.3,0.2,2.5,"X","X","X",1
"2013-17","ZIP 20020",56836,1732,20020,"01JAN2012","31DEC2016",28,11,2.9,92,2.6,3.2,0.6,76,1.6,0.8,0.6,1.5,0.5,1.0,0.3,2.6,"X","X","X",1
"2013-17","ZIP 20024",12426,611,20024,"01JAN2012","31DEC2016",10,17,13,44,42,5.8,4.0,46,2.1,2.3,3.0,3.9,2.8,1.8,2.0,12,"X","X","X",1
"2013-17","ZIP 20032",37707,1556,20032,"01JAN2012","31DEC2016",28,9.3,3.3,95,1.8,2.0,0.1,75,1.7,0.8,0.8,1.4,0.5,0.9,0.2,2.8,"X","X","X",1
"2013-17","ZIP 20036",4656,372,20036,"01JAN2012","31DEC2016",4.3,10,22,5.0,71,10,11,23,3.4,3.1,5.6,2.5,6.2,3.7,3.7,48,"X","X","X",1
"2013-17","ZIP 20037",14337,855,20037,"01JAN2012","31DEC2016",3.3,12,29,6.9,66,12,11,22,1.6,2.1,4.2,2.4,4.4,2.6,2.2,31,"X","X","X",1
"2013-17","ZIP 20052",1286,341,20052,"01JAN2012","31DEC2016",1.0,0.9,16,12,64,8.2,12,"i",2.2,2.1,7.7,15,19,4.1,5.7,".","X","X","X",1
"2013-17","ZIP 20057",3656,566,20057,"01JAN2012","31DEC2016",1.3,0.0,16,7.4,64,12,13,"i",1.8,1.1,3.8,2.6,8.0,3.3,3.8,".","X","X","X",1
"2013-17","ZIP 20059",345,125,20059,"01JAN2012","31DEC2016",9.7,6.4,7.1,60,26,9.4,2.2,54,12,10,9.7,32,17,26,3.8,76,"X","X","X",1
"2013-17","ZIP 20064",4368,488,20064,"01JAN2012","31DEC2016",17,12,23,45,30,19,3.5,29,4.3,2.9,6.8,7.9,5.0,8.9,2.3,16,"X","X","X",1
"2013-17","ZIP 20332",1734,234,20332,"01JAN2012","31DEC2016",36,0.6,5.3,24,52,15,2.2,6.4,6.8,1.8,3.6,7.8,9.4,9.0,2.6,7.9,"X","X","X",1
"2013-17","ZIP 20336",2872,302,20336,"01JAN2012","31DEC2016",36,0.6,5.3,24,52,15,2.2,6.4,5.3,1.4,2.8,6.1,7.3,7.0,2.0,6.2,"X","X","X",1
2010,"ZIP 20001",39296,".",20001,"01JAN2010","31DEC2010",12,7.8,".",55,29,8.3,7.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20002",51252,".",20002,"01JAN2010","31DEC2010",17,9.9,".",61,32,4.5,2.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20003",26751,".",20003,"01JAN2010","31DEC2010",12,8.4,".",37,53,5.2,3.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20004",1622,".",20004,"01JAN2010","31DEC2010",3.6,8.8,".",7.8,74,6.7,11,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20005",13335,".",20005,"01JAN2010","31DEC2010",6.0,6.9,".",16,56,19,9.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20006",2705,".",20006,"01JAN2010","31DEC2010",0.9,1.9,".",7.8,72,7.8,13,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20007",27076,".",20007,"01JAN2010","31DEC2010",11,11,".",3.7,81,7.1,7.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20008",27890,".",20008,"01JAN2010","31DEC2010",9.1,13,".",5.9,77,7.7,8.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20009",49464,".",20009,"01JAN2010","31DEC2010",9.2,6.7,".",21,56,15,6.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20010",27848,".",20010,"01JAN2010","31DEC2010",15,8.1,".",33,32,30,4.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20011",60810,".",20011,"01JAN2010","31DEC2010",19,15,".",66,11,21,1.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20012",13361,".",20012,"01JAN2010","31DEC2010",17,18,".",65,21,11,2.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20015",15449,".",20015,"01JAN2010","31DEC2010",21,21,".",10.0,77,6.4,5.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20016",32411,".",20016,"01JAN2010","31DEC2010",15,16,".",5.0,79,7.3,7.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20017",15589,".",20017,"01JAN2010","31DEC2010",17,19,".",74,17,6.6,1.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20018",16955,".",20018,"01JAN2010","31DEC2010",19,19,".",87,5.7,5.8,1.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20019",54031,".",20019,"01JAN2010","31DEC2010",27,12,".",96,0.8,2.4,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20020",49816,".",20020,"01JAN2010","31DEC2010",28,11,".",96,1.7,1.4,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20024",11455,".",20024,"01JAN2010","31DEC2010",13,14,".",56,33,5.2,5.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20032",33147,".",20032,"01JAN2010","31DEC2010",28,8.8,".",97,1.0,1.4,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20036",4764,".",20036,"01JAN2010","31DEC2010",1.9,6.9,".",9.2,71,7.9,12,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20037",14544,".",20037,"01JAN2010","31DEC2010",1.9,11,".",7.5,73,6.1,12,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20052",1277,".",20052,"01JAN2010","31DEC2010",0.2,0.4,".",6.4,86,0.2,7.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20057",3888,".",20057,"01JAN2010","31DEC2010",0.4,0.6,".",7.4,70,7.0,15,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20059",306,".",20059,"01JAN2010","31DEC2010",7.8,3.9,".",82,8.5,4.9,2.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20064",3669,".",20064,"01JAN2010","31DEC2010",4.7,5.8,".",33,55,6.8,4.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20332",1134,".",20332,"01JAN2010","31DEC2010",22,0.4,".",28,52,13,5.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ZIP 20336",1878,".",20336,"01JAN2010","31DEC2010",37,0.5,".",26,55,13,6.1,".",".",".",".",".",".",".",".",".","X","X","X",1
