"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2013-17","PSA 407",13994,823,407,"01JAN2012","31DEC2016",17,13,20,56,21,18,2.1,26,2.0,1.6,3.7,3.5,1.8,4.0,0.9,8.2,"X","X","X",1
"2013-17","PSA 408",12488,920,408,"01JAN2012","31DEC2016",18,7.8,25,14,51,27,2.2,23,3.3,1.7,3.9,4.5,3.2,5.8,1.0,11,"X","X","X",1
"2013-17","PSA 409",11108,792,409,"01JAN2012","31DEC2016",16,7.3,30,33,31,30,3.5,41,2.4,1.5,4.7,4.7,2.8,5.6,1.3,10,"X","X","X",1
"2013-17","PSA 501",9476,558,501,"01JAN2012","31DEC2016",9.8,8.9,9.0,44,43,6.1,4.3,25,2.1,2.0,1.7,4.4,3.7,1.9,1.2,14,"X","X","X",1
"2013-17","PSA 502",13652,814,502,"01JAN2012","31DEC2016",15,10,12,60,25,9.2,2.1,55,2.0,1.5,2.2,3.6,2.1,2.5,1.1,9.9,"X","X","X",1
"2013-17","PSA 503",11933,675,503,"01JAN2012","31DEC2016",18,22,8.1,81,9.3,7.3,0.7,45,2.5,2.2,2.5,3.2,1.9,2.3,0.5,11,"X","X","X",1
"2013-17","PSA 504",7664,570,504,"01JAN2012","31DEC2016",16,19,9.9,58,27,10,2.4,28,2.9,2.9,3.6,4.6,3.3,4.4,1.7,10.0,"X","X","X",1
"2013-17","PSA 505",7203,604,505,"01JAN2012","31DEC2016",25,9.6,9.4,79,12,5.7,1.3,61,4.2,2.0,3.1,4.8,3.1,2.7,0.9,10,"X","X","X",1
"2013-17","PSA 506",8359,593,506,"01JAN2012","31DEC2016",16,11,9.4,71,19,4.3,3.5,61,2.9,1.8,3.0,4.2,4.0,1.7,2.3,9.9,"X","X","X",1
"2013-17","PSA 507",12981,772,507,"01JAN2012","31DEC2016",21,9.8,9.1,75,15,6.6,1.3,56,2.9,1.4,2.6,4.3,1.8,2.7,0.7,9.6,"X","X","X",1
"2013-17","PSA 601",8287,665,601,"01JAN2012","31DEC2016",26,13,2.4,95,1.2,2.5,0.0,82,4.4,1.8,1.3,2.2,0.7,2.2,0.4,5.9,"X","X","X",1
"2013-17","PSA 602",11049,932,602,"01JAN2012","31DEC2016",24,15,4.0,93,1.7,3.2,0.3,79,3.2,3.0,1.6,2.9,1.0,2.6,0.4,5.8,"X","X","X",1
"2013-17","PSA 603",12773,1245,603,"01JAN2012","31DEC2016",28,12,3.2,96,0.0,3.8,0.2,78,3.7,1.9,3.4,13,0.2,4.0,0.4,5.5,"X","X","X",1
"2013-17","PSA 604",14861,869,604,"01JAN2012","31DEC2016",28,9.7,4.3,92,1.1,4.8,0.2,69,2.8,1.3,2.1,7.6,0.6,3.3,0.3,5.2,"X","X","X",1
"2013-17","PSA 605",10434,669,605,"01JAN2012","31DEC2016",19,17,2.1,92,1.7,1.6,1.9,63,2.9,1.8,1.1,2.7,0.8,1.1,1.6,8.3,"X","X","X",1
"2013-17","PSA 606",6514,586,606,"01JAN2012","31DEC2016",21,19,2.9,85,5.8,7.1,0.6,72,5.1,3.8,1.4,6.1,2.3,4.8,0.7,16,"X","X","X",1
"2013-17","PSA 607",6435,557,607,"01JAN2012","31DEC2016",20,12,3.1,89,5.1,4.0,0.4,73,5.1,2.3,1.5,6.4,2.4,2.4,0.5,11,"X","X","X",1
"2013-17","PSA 608",9152,719,608,"01JAN2012","31DEC2016",25,13,5.6,95,0.4,3.0,0.4,73,3.8,2.2,1.9,2.3,0.4,1.8,0.4,4.2,"X","X","X",1
