"timeframe","Geo2010","TotPop","geo2010_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","ucounty","indc"
"2012-16","DC Tract 16",4455,11001001600,"01JAN2011","31DEC2015",21,21,11,64,27,6.6,0.6,21,3.7,3.4,3.4,4.7,3.1,4.7,0.8,9.9,".",".",".","District of Columbia",1
"2012-16","DC Tract 17.02",3039,11001001702,"01JAN2011","31DEC2015",15,15,13,46,37,13,1.2,19,4.2,3.2,6.8,4.7,3.5,8.1,1.2,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 18.03",4059,11001001803,"01JAN2011","31DEC2015",24,11,52,59,6.3,29,0.3,18,4.3,2.6,6.8,6.5,2.2,6.3,0.6,10.0,".",".",".","District of Columbia",1
"2012-16","DC Tract 18.04",5682,11001001804,"01JAN2011","31DEC2015",23,9.4,40,62,3.6,32,1.4,39,4.8,2.3,6.3,4.4,1.7,11,1.9,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 19.01",3981,11001001901,"01JAN2011","31DEC2015",21,16,18,67,11,16,4.2,30,4.1,2.7,8.2,4.5,3.3,7.3,4.2,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 19.02",2343,11001001902,"01JAN2011","31DEC2015",16,18,11,69,8.5,18,0.9,41,4.2,2.9,3.8,8.2,3.1,5.8,0.8,24,".",".",".","District of Columbia",1
"2012-16","DC Tract 20.01",2959,11001002001,"01JAN2011","31DEC2015",20,17,31,43,21,30,0.7,16,4.0,3.1,6.7,6.7,5.5,6.9,0.9,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 20.02",3934,11001002002,"01JAN2011","31DEC2015",22,14,23,54,20,21,1.9,38,4.9,3.2,6.2,9.3,4.5,7.0,1.5,19,".",".",".","District of Columbia",1
"2012-16","DC Tract 21.01",5660,11001002101,"01JAN2011","31DEC2015",21,12,37,61,6.4,29,3.4,38,6.4,3.1,9.9,4.8,3.3,8.1,2.4,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 21.02",5076,11001002102,"01JAN2011","31DEC2015",17,12,20,70,8.9,17,0.7,50,3.7,2.2,6.0,4.5,2.3,5.6,0.7,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 22.01",3641,11001002201,"01JAN2011","31DEC2015",18,13,20,67,16,14,2.2,44,4.1,3.4,6.1,6.8,4.9,4.3,1.9,20,".",".",".","District of Columbia",1
"2012-16","DC Tract 22.02",3845,11001002202,"01JAN2011","31DEC2015",24,8.7,25,60,6.3,29,2.5,46,4.4,2.1,6.8,10,3.0,6.1,3.0,17,".",".",".","District of Columbia",1
"2012-16","DC Tract 23.01",3379,11001002301,"01JAN2011","31DEC2015",18,11,15,58,23,12,2.2,15,4.4,2.6,6.8,7.1,5.0,6.6,1.5,9.0,".",".",".","District of Columbia",1
"2012-16","DC Tract 23.02",1722,11001002302,"01JAN2011","31DEC2015",4.5,35,9.9,44,43,2.2,6.0,14,3.2,8.2,5.8,11,14,2.3,5.8,31,".",".",".","District of Columbia",1
"2012-16","DC Tract 24",4298,11001002400,"01JAN2011","31DEC2015",13,11,21,50,23,21,2.3,41,2.9,2.4,6.3,2.0,2.9,8.4,1.2,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 25.01",2986,11001002501,"01JAN2011","31DEC2015",19,15,25,42,25,30,0.8,31,3.6,3.8,8.2,6.6,3.2,9.5,0.8,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 25.02",6042,11001002502,"01JAN2011","31DEC2015",18,8.2,25,37,18,38,3.7,28,4.7,3.0,5.0,8.5,3.2,6.2,1.9,17,".",".",".","District of Columbia",1
"2012-16","DC Tract 26",2627,11001002600,"01JAN2011","31DEC2015",19,17,16,38,43,8.4,5.0,18,3.9,2.8,3.8,3.6,4.8,3.7,2.8,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 27.01",5856,11001002701,"01JAN2011","31DEC2015",20,9.6,32,17,42,34,2.2,26,5.4,2.5,5.4,5.7,6.8,13,1.1,20,".",".",".","District of Columbia",1
"2012-16","DC Tract 27.02",6376,11001002702,"01JAN2011","31DEC2015",14,6.1,22,9.4,59,27,2.1,28,3.2,2.5,5.8,3.0,2.4,7.4,1.6,19,".",".",".","District of Columbia",1
"2012-16","DC Tract 28.01",3882,11001002801,"01JAN2011","31DEC2015",20,7.9,36,40,20,34,4.6,43,5.7,2.9,7.1,8.0,3.9,7.9,3.0,19,".",".",".","District of Columbia",1
"2012-16","DC Tract 28.02",4514,11001002802,"01JAN2011","31DEC2015",20,9.2,38,25,25,43,7.1,65,5.0,2.8,7.3,3.3,4.1,8.6,2.8,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 29",4352,11001002900,"01JAN2011","31DEC2015",14,4.9,26,27,41,26,2.9,28,3.5,1.5,5.0,6.4,3.4,4.9,1.6,11,".",".",".","District of Columbia",1
"2012-16","DC Tract 30",3356,11001003000,"01JAN2011","31DEC2015",16,9.4,12,46,41,9.4,2.6,69,4.1,2.5,3.6,7.0,4.8,3.9,1.8,17,".",".",".","District of Columbia",1
