"timeframe","Anc2012","TotPop","TotPop_m","anc2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2012-16","ANC 6E",16796,847,"6E","01JAN2012","31DEC2016",15,9.0,14,49,31,9.5,7.8,62,2.6,1.3,2.6,4.0,1.8,2.8,1.6,10,"X","X","X",1
"2012-16","ANC 7B",15879,855,"7B","01JAN2012","31DEC2016",20,16,2.0,90,3.3,4.2,0.4,71,2.7,1.8,0.8,2.2,1.1,2.2,0.3,7.6,"X","X","X",1
"2012-16","ANC 7C",14486,969,"7C","01JAN2012","31DEC2016",25,13,7.2,95,0.7,3.4,0.3,69,2.8,2.1,2.4,2.1,0.4,1.7,0.3,6.3,"X","X","X",1
"2012-16","ANC 7D",14878,810,"7D","01JAN2012","31DEC2016",24,13,3.6,91,3.2,4.0,0.2,76,2.8,1.4,1.3,2.1,0.8,2.3,0.3,5.5,"X","X","X",1
"2012-16","ANC 7E",14848,811,"7E","01JAN2012","31DEC2016",27,11,2.7,96,0.9,2.0,0.2,72,2.6,1.2,1.4,0.8,0.4,1.4,0.3,5.3,"X","X","X",1
"2012-16","ANC 7F",15737,1100,"7F","01JAN2012","31DEC2016",24,8.9,3.9,94,0.8,4.0,0.2,81,3.2,1.5,2.4,1.1,0.4,2.9,0.4,5.1,"X","X","X",1
"2012-16","ANC 8A",16651,902,"8A","01JAN2012","31DEC2016",27,9.6,3.5,92,3.3,2.3,1.0,71,2.6,1.3,1.3,2.6,1.2,1.7,1.0,4.7,"X","X","X",1
"2012-16","ANC 8B",15798,904,"8B","01JAN2012","31DEC2016",31,7.5,2.5,95,1.1,2.1,0.5,84,3.0,1.2,1.2,2.1,0.5,1.7,0.7,3.2,"X","X","X",1
"2012-16","ANC 8C",16052,864,"8C","01JAN2012","31DEC2016",30,8.1,3.1,84,8.9,4.4,0.4,65,2.6,1.2,1.0,2.8,1.6,1.9,0.4,5.2,"X","X","X",1
"2012-16","ANC 8D",17625,1157,"8D","01JAN2012","31DEC2016",29,6.4,2.9,85,9.6,2.2,0.4,64,2.5,1.0,1.1,3.5,1.5,0.9,0.4,6.3,"X","X","X",1
"2012-16","ANC 8E",16993,988,"8E","01JAN2012","31DEC2016",32,8.5,3.5,95,1.4,2.1,0.0,78,2.6,1.2,1.4,2.3,0.6,1.7,0.2,4.9,"X","X","X",1
2010,"ANC 1A",23733,".","1A","01JAN2010","31DEC2010",17,7.8,".",39,24,32,3.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 1B",23835,".","1B","01JAN2010","31DEC2010",11,5.4,".",48,32,14,4.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"ANC 1C",16435,".","1C","01JAN2010","31DEC2010",7.0,7.6,".",12,68,13,6.7,".",".",".",".",".",".",".",".",".","X","X","X",1
