"timeframe","cluster2017","TotPop","TotPop_m","cluster2017_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2014-18","Cluster 36",8757,714,"Cluster 36","01JAN2014","31DEC2018",33,11,1.0,95,1.5,0.2,0.0,83,4.1,2.2,0.8,3.1,0.7,0.3,0.3,4.2,"X","X","X",1
"2014-18","Cluster 37",8394,686,"Cluster 37","01JAN2014","31DEC2018",36,6.6,3.7,93,1.1,4.5,0.4,86,3.6,1.7,1.7,4.0,0.7,3.3,0.5,3.8,"X","X","X",1
"2014-18","Cluster 38",13604,1010,"Cluster 38","01JAN2014","31DEC2018",31,8.1,4.3,92,1.9,3.1,0.8,77,3.6,1.5,1.9,3.1,0.9,2.7,0.8,5.3,"X","X","X",1
"2014-18","Cluster 39",32360,1468,"Cluster 39","01JAN2014","31DEC2018",28,9.9,2.6,95,1.5,2.1,0.1,75,1.8,1.1,0.9,1.7,0.5,1.0,0.2,3.4,"X","X","X",1
"2014-18","Cluster 40",446,206,"Cluster 40","01JAN2014","31DEC2018",20,14,23,49,15,31,2.4,38,13,8.2,20,18,9.1,26,4.0,62,"X","X","X",1
"2014-18","Cluster 41",1061,225,"Cluster 41","01JAN2014","31DEC2018",18,17,26,34,36,21,4.2,28,8.2,7.7,14,11,12,14,5.5,29,"X","X","X",1
"2014-18","Cluster 43",856,276,"Cluster 43","01JAN2014","31DEC2018",26,12,2.5,92,3.7,3.8,0.0,75,12,11,8.4,19,4.4,11,0.9,27,"X","X","X",1
"2014-18","Cluster 44",6785,547,"Cluster 44","01JAN2014","31DEC2018",34,2.9,5.4,46,36,11,1.7,20,3.6,1.5,2.3,6.5,4.1,3.7,1.1,7.8,"X","X","X",1
"2014-18","Cluster 46",335,146,"Cluster 46","01JAN2014","31DEC2018",17,20,9.7,78,8.4,9.1,1.4,40,16,13,18,16,11,20,6.3,73,"X","X","X",1
"2010-14","Cluster 01",18775,868,"Cluster 1","01JAN2010","31DEC2014",6.9,9.3,19,8.7,71,12,6.1,7.8,1.3,1.3,2.8,1.4,2.5,2.4,1.5,7.3,"X","X","X",1
"2010-14","Cluster 02",51117,1752,"Cluster 2","01JAN2010","31DEC2014",15,6.9,25,34,34,26,3.4,49,1.3,0.7,2.0,2.1,1.5,2.6,0.7,5.4,"X","X","X",1
"2010-14","Cluster 03",13528,754,"Cluster 3","01JAN2010","31DEC2014",7.5,7.3,14,40,43,10,3.5,22,1.6,1.6,3.1,3.9,3.4,3.6,1.3,12,"X","X","X",1
"2010-14","Cluster 04",15380,1164,"Cluster 4","01JAN2010","31DEC2014",10,9.4,18,4.0,79,6.8,7.4,12,1.7,1.3,2.9,1.4,2.4,2.1,1.7,9.8,"X","X","X",1
"2010-14","Cluster 05",16321,1301,"Cluster 5","01JAN2010","31DEC2014",1.6,10,20,8.2,67,8.5,13,24,1.0,1.8,3.0,2.4,4.2,2.2,2.4,51,"X","X","X",1
"2010-14","Cluster 06",20269,840,"Cluster 6","01JAN2010","31DEC2014",4.3,7.4,19,7.1,72,8.2,9.2,17,1.1,1.2,2.6,1.3,2.5,1.9,1.9,18,"X","X","X",1
"2010-14","Cluster 07",19326,833,"Cluster 7","01JAN2010","31DEC2014",9.3,7.0,20,26,47,16,7.3,28,1.7,1.3,2.8,2.3,2.6,3.6,1.6,7.4,"X","X","X",1
"2010-14","Cluster 08",17536,838,"Cluster 8","01JAN2010","31DEC2014",10,9.9,19,33,43,9.9,12,50,2.2,1.5,2.4,3.5,1.9,2.5,1.8,15,"X","X","X",1
