"timeframe","ward2012","TotPop","TotPop_m","ward2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
1990,"Ward 7",78966,".",7,"01JAN1990","31DEC1990",25,13,1.4,96,2.4,0.9,0.2,64,".",".",".",".",".",".",".",".","X","X","X",1
1990,"Ward 8",86437,".",8,"01JAN1990","31DEC1990",32,6.3,1.5,92,6.4,1.1,0.5,67,".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 1","X",".",1,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.8,-31,-3.2,1
2010,"Ward 2","X",".",2,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",21,-6.1,12,1
2010,"Ward 3","X",".",3,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.7,16,7.8,1
2010,"Ward 4","X",".",4,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.0,-0.9,-15,1
2010,"Ward 5","X",".",5,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.8,-17,-5.1,1
2010,"Ward 6","X",".",6,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.2,-19,-6.2,1
2010,"Ward 7","X",".",7,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.5,-7.1,-5.3,1
2010,"Ward 8","X",".",8,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.5,-16,21,1
2000,"Ward 1","X",".",1,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.0,-2.4,-26,1
2000,"Ward 2","X",".",2,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.6,5.1,-8.2,1
2000,"Ward 3","X",".",3,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.5,5.0,-13,1
2000,"Ward 4","X",".",4,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.9,5.5,0.8,1
2000,"Ward 5","X",".",5,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-14,-6.8,-17,1
2000,"Ward 6","X",".",6,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-6.1,-2.1,-3.9,1
2000,"Ward 7","X",".",7,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-11,-2.8,-3.6,1
2000,"Ward 8","X",".",8,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-14,-5.3,-9.3,1

