"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","PctNocomputer_m","Pctcellularonly_m","Pctnointernet_m","indc"
"2013-17","Cluster 20",20,"01JAN2012","31DEC2016",98,83,69,15.2220,6.57415,19.4923,4.8,6.8,0.0,0.03443,0.02606,0.03727,1
"2013-17","Cluster 21",21,"01JAN2012","31DEC2016",95,66,70,13.5732,4.84427,17.5428,3.0,3.8,0.0,0.01916,0.01180,0.02021,1
"2013-17","Cluster 22",22,"01JAN2012","31DEC2016",98,74,69,13.5668,5.86720,18.9789,4.4,6.1,0.0,0.02318,0.01958,0.03186,1
"2013-17","Cluster 23",23,"01JAN2012","31DEC2016",95,54,51,21.5931,5.99420,34.1559,3.7,4.6,0.0,0.03107,0.01750,0.03376,1
"2013-17","Cluster 24",24,"01JAN2012","31DEC2016",97,74,64,23.7595,3.70112,28.9198,5.6,7.6,0.0,0.03868,0.01855,0.04372,1
"2013-17","Cluster 25",25,"01JAN2012","31DEC2016",98,74,81,6.7178,4.31734,9.5863,2.5,3.3,0.0,0.01181,0.01041,0.01399,1
"2013-17","Cluster 26",26,"01JAN2012","31DEC2016",98,77,80,5.1536,4.43133,8.9327,2.5,3.3,0.0,0.01139,0.01050,0.01626,1
"2013-17","Cluster 27",27,"01JAN2012","31DEC2016",99,67,81,7.9487,6.81319,9.3040,5.0,7.3,0.0,0.02474,0.03177,0.02653,1
"2013-17","Cluster 28",28,"01JAN2012","31DEC2016",98,52,49,21.8363,9.56794,34.5064,6.1,7.9,0.1,0.05512,0.03778,0.06212,1
"2013-17","Cluster 29",29,"01JAN2012","31DEC2016",98,60,36,16.5746,7.73481,35.9116,9.5,13,0.1,0.07254,0.05351,0.09630,1
"2013-17","Cluster 30",30,"01JAN2012","31DEC2016",98,46,37,27.3560,6.35295,39.4932,5.5,7.1,0.1,0.06197,0.02993,0.05981,1
"2013-17","Cluster 31",31,"01JAN2012","31DEC2016",96,60,41,23.6954,7.60698,36.1135,5.0,6.1,0.0,0.03283,0.02688,0.03877,1
"2013-17","Cluster 32",32,"01JAN2012","31DEC2016",96,55,40,29.3152,4.84336,41.7990,5.4,6.2,0.0,0.04390,0.02152,0.04880,1
