"timeframe","geo2010","geo2010_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","Pctnocomputer_m","Pctcellularonly_m","Pctnointernet_m","Pctcomputer","Pctinternet","Pctcomputer_m","Pctinternet_m","ucounty","indc"
"2014-18","DC Tract 1",11001000100,"01JAN2014","31DEC2018",99,81,91,0.7656,5.5,0.7656,7.4,10,3.4,1.189,3.0,1.1894,99,99,1.2,1.2,"District of Columbia",1
"2014-18","DC Tract 2.01",11001000201,"01JAN2014","31DEC2018","i","i","i","I","i","I",".",".",".",".",".",".",".",".",".",".","District of Columbia",1
"2014-18","DC Tract 2.02",11001000202,"01JAN2014","31DEC2018",95,84,79,1.8554,10,4.6065,6.7,10,5.4,1.718,4.3,3.5544,98,95,1.7,3.6,"District of Columbia",1
"2014-18","DC Tract 3",11001000300,"01JAN2014","31DEC2018",98,82,92,2.1589,5.1,1.5071,7.0,9.8,4.1,2.034,3.6,1.7502,98,98,2.0,1.8,"District of Columbia",1
"2014-18","DC Tract 4",11001000400,"01JAN2014","31DEC2018",100,80,85,3.7217,5.2,5.5016,10,13,5.7,3.220,3.5,4.8314,96,94,3.2,4.8,"District of Columbia",1
"2014-18","DC Tract 5.01",11001000501,"01JAN2014","31DEC2018",99,66,94,0.0000,4.4,0.9004,5.2,10,2.2,0.636,2.8,1.4287,100,99,0.6,1.4,"District of Columbia",1
"2014-18","DC Tract 5.02",11001000502,"01JAN2014","31DEC2018",99,77,91,3.3142,2.7,3.3142,7.2,9.9,3.8,2.222,2.0,2.2221,97,97,2.2,2.2,"District of Columbia",1
"2014-18","DC Tract 6",11001000600,"01JAN2014","31DEC2018",100,79,84,4.0092,3.4,7.2350,7.0,9.6,5.9,2.988,2.9,4.9165,96,93,3.0,4.9,"District of Columbia",1
"2014-18","DC Tract 7.01",11001000701,"01JAN2014","31DEC2018",97,75,92,4.0437,2.7,4.3093,6.7,9.0,3.8,2.650,1.7,2.5609,96,96,2.7,2.6,"District of Columbia",1
"2014-18","DC Tract 7.02",11001000702,"01JAN2014","31DEC2018",96,56,79,3.3959,4.3,5.5853,8.8,10,8.2,2.937,4.6,3.5485,97,94,2.9,3.5,"District of Columbia",1
