"timeframe","psa2012","psa2012_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","Pctnocomputer_m","Pctcellularonly_m","Pctnointernet_m","Pctcomputer","Pctinternet","Pctcomputer_m","Pctinternet_m","indc"
"2014-18","PSA 101",101,"01JAN2014","31DEC2018",98,50,82,3.4733,7.5,6.3311,11,15,8.1,5.38657,8.0,6.47629,97,94,5.4,6.5,1
"2014-18","PSA 102",102,"01JAN2014","31DEC2018",96,52,75,9.0345,6.0,15.2231,4.6,6.0,4.3,3.36256,2.8,4.06682,91,85,3.4,4.1,1
"2014-18","PSA 103",103,"01JAN2014","31DEC2018",96,51,73,12.2948,4.0,19.4697,4.9,6.3,5.0,3.91132,2.0,4.73214,88,81,3.9,4.7,1
"2014-18","PSA 104",104,"01JAN2014","31DEC2018",98,69,85,5.0420,4.2,6.4743,3.4,4.8,2.6,1.36322,1.5,1.64213,95,94,1.4,1.6,1
"2014-18","PSA 105",105,"01JAN2014","31DEC2018",97,60,74,6.9567,5.5,12.8332,4.1,5.1,3.4,2.07237,1.7,2.92571,93,87,2.1,2.9,1
"2014-18","PSA 106",106,"01JAN2014","31DEC2018",99,68,81,5.3638,5.3,9.5386,3.5,5.7,3.0,1.77022,1.8,2.62011,95,90,1.8,2.6,1
"2014-18","PSA 107",107,"01JAN2014","31DEC2018",99,79,85,3.2669,4.0,4.3599,3.2,4.4,2.1,1.39423,1.2,1.49950,97,96,1.4,1.5,1
"2014-18","PSA 108",108,"01JAN2014","31DEC2018",99,82,84,4.9665,4.3,6.9854,4.0,5.1,2.5,1.66126,1.3,1.84632,95,93,1.7,1.8,1
"2014-18","PSA 201",201,"01JAN2014","31DEC2018",99,83,82,10.0668,3.7,10.6245,4.1,6.1,2.8,2.71536,1.8,2.73846,90,89,2.7,2.7,1
"2014-18","PSA 202",202,"01JAN2014","31DEC2018",99,82,87,5.2735,3.0,6.6552,4.7,7.3,3.1,2.28242,1.7,2.49085,95,93,2.3,2.5,1
"2014-18","PSA 203",203,"01JAN2014","31DEC2018",98,76,86,3.5328,3.7,6.1709,4.0,5.8,2.9,1.55686,1.9,2.19192,96,94,1.6,2.2,1
"2014-18","PSA 204",204,"01JAN2014","31DEC2018",98,72,88,2.5856,4.6,3.9669,3.0,4.1,2.1,0.97568,1.4,1.31488,97,96,1.0,1.3,1
"2014-18","PSA 205",205,"01JAN2014","31DEC2018",99,91,90,2.9410,4.5,2.2357,3.6,5.2,2.3,1.53981,1.6,1.11674,97,98,1.5,1.1,1
"2014-18","PSA 206",206,"01JAN2014","31DEC2018",98,82,88,1.3972,7.0,2.2006,4.8,6.8,2.8,1.07571,2.4,1.46944,99,98,1.1,1.5,1
"2014-18","PSA 207",207,"01JAN2014","31DEC2018",98,41,81,2.8242,6.3,6.8687,3.8,5.4,3.3,1.60473,2.5,2.29641,97,93,1.6,2.3,1
"2014-18","PSA 208",208,"01JAN2014","31DEC2018",98,50,84,2.3886,5.9,4.2199,3.7,4.4,2.7,1.30816,1.8,1.65923,98,96,1.3,1.7,1
"2014-18","PSA 301",301,"01JAN2014","31DEC2018",97,46,84,3.1794,4.4,6.4150,5.0,5.3,3.5,1.60555,1.9,2.65240,97,94,1.6,2.7,1
"2014-18","PSA 302",302,"01JAN2014","31DEC2018",95,56,68,10.1332,6.1,18.2662,4.8,5.7,4.1,2.88974,2.3,3.91663,90,82,2.9,3.9,1
"2014-18","PSA 303",303,"01JAN2014","31DEC2018",98,54,84,3.3234,9.0,5.8385,3.6,4.4,2.9,1.52465,2.2,1.91018,97,94,1.5,1.9,1
"2014-18","PSA 304",304,"01JAN2014","31DEC2018",98,50,74,14.8504,7.3,17.3147,6.0,5.7,3.9,4.68359,3.1,4.96004,85,83,4.7,5.0,1
"2014-18","PSA 305",305,"01JAN2014","31DEC2018",99,67,87,4.8031,4.8,5.5909,6.9,8.6,5.1,2.34264,3.1,2.27993,95,94,2.3,2.3,1
"2014-18","PSA 306",306,"01JAN2014","31DEC2018",98,61,66,12.8806,4.0,21.8829,9.8,11,8.8,4.88254,2.9,7.90086,87,78,4.9,7.9,1
"2014-18","PSA 307",307,"01JAN2014","31DEC2018",99,47,77,6.7500,5.5,14.4285,3.8,4.6,3.2,1.75075,2.0,2.81437,93,86,1.8,2.8,1
