"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
1990,"ZIP 20005",20005,"01JAN1990","31DEC1990",23.1716,".",".",".",".",".",".","."
1990,"ZIP 20006",20006,"01JAN1990","31DEC1990",2.6432,".",".",".",".",".",".","."
1990,"ZIP 20007",20007,"01JAN1990","31DEC1990",4.8638,".",".",".",".",".",".","."
1990,"ZIP 20008",20008,"01JAN1990","31DEC1990",6.3519,".",".",".",".",".",".","."
1990,"ZIP 20009",20009,"01JAN1990","31DEC1990",26.2359,".",".",".",".",".",".","."
1990,"ZIP 20010",20010,"01JAN1990","31DEC1990",38.4876,".",".",".",".",".",".","."
1990,"ZIP 20011",20011,"01JAN1990","31DEC1990",28.2173,".",".",".",".",".",".","."
1990,"ZIP 20012",20012,"01JAN1990","31DEC1990",16.3808,".",".",".",".",".",".","."
1990,"ZIP 20015",20015,"01JAN1990","31DEC1990",5.0940,".",".",".",".",".",".","."
1990,"ZIP 20016",20016,"01JAN1990","31DEC1990",5.7459,".",".",".",".",".",".","."
1990,"ZIP 20017",20017,"01JAN1990","31DEC1990",25.6012,".",".",".",".",".",".","."
1990,"ZIP 20018",20018,"01JAN1990","31DEC1990",33.8801,".",".",".",".",".",".","."
1990,"ZIP 20019",20019,"01JAN1990","31DEC1990",39.7319,".",".",".",".",".",".","."
1990,"ZIP 20020",20020,"01JAN1990","31DEC1990",35.0775,".",".",".",".",".",".","."
1990,"ZIP 20024",20024,"01JAN1990","31DEC1990",14.1802,".",".",".",".",".",".","."
1990,"ZIP 20032",20032,"01JAN1990","31DEC1990",40.9116,".",".",".",".",".",".","."
1990,"ZIP 20036",20036,"01JAN1990","31DEC1990",10.0540,".",".",".",".",".",".","."
1990,"ZIP 20037",20037,"01JAN1990","31DEC1990",4.8687,".",".",".",".",".",".","."
1990,"ZIP 20052",20052,"01JAN1990","31DEC1990",2.6432,".",".",".",".",".",".","."
1990,"ZIP 20057",20057,"01JAN1990","31DEC1990",4.3333,".",".",".",".",".",".","."
1990,"ZIP 20059",20059,"01JAN1990","31DEC1990",42.6307,".",".",".",".",".",".","."
1990,"ZIP 20064",20064,"01JAN1990","31DEC1990",23.0325,".",".",".",".",".",".","."
1990,"ZIP 20332",20332,"01JAN1990","31DEC1990",4.7397,".",".",".",".",".",".","."
1990,"ZIP 20336",20336,"01JAN1990","31DEC1990",4.7397,".",".",".",".",".",".","."
2001,"ZIP 20001",20001,"01JAN2001","31DEC2001",".",".",6163,117,6046,2,17,19
2002,"ZIP 20001",20001,"01JAN2002","31DEC2002",".",".",5975,148,5827,2,17,19
2003,"ZIP 20001",20001,"01JAN2003","31DEC2003",".",".",5733,101,5632,1,16,17
2004,"ZIP 20001",20001,"01JAN2004","31DEC2004",".",".",5881,216,5665,2,17,19
2005,"ZIP 20001",20001,"01JAN2005","31DEC2005",".",".",5255,115,5140,1,17,18
2006,"ZIP 20001",20001,"01JAN2006","31DEC2006",".",".",4888,204,4684,3,16,19
2007,"ZIP 20001",20001,"01JAN2007","31DEC2007",".",".",4460,280,4180,3,16,19
2008,"ZIP 20001",20001,"01JAN2008","31DEC2008",".",".",3963,1194,2769,5,9,14
2009,"ZIP 20001",20001,"01JAN2009","31DEC2009",".",".",3966,1496,2470,5,8,13
2010,"ZIP 20001",20001,"01JAN2010","31DEC2010",".",".",3776,1630,2146,6,7,13
2011,"ZIP 20001",20001,"01JAN2011","31DEC2011",".",".",3706,1309,2397,5,8,13
2012,"ZIP 20001",20001,"01JAN2012","31DEC2012",".",".",3738,1449,2289,5,8,13
2013,"ZIP 20001",20001,"01JAN2013","31DEC2013",".",".",4249,1901,2348,7,7,14
2001,"ZIP 20002",20002,"01JAN2001","31DEC2001",".",".",10099,2130,7969,7,24,31
2002,"ZIP 20002",20002,"01JAN2002","31DEC2002",".",".",9606,1938,7668,6,24,30
2003,"ZIP 20002",20002,"01JAN2003","31DEC2003",".",".",9847,2932,6915,7,21,28
2004,"ZIP 20002",20002,"01JAN2004","31DEC2004",".",".",9696,2755,6941,7,23,30
2005,"ZIP 20002",20002,"01JAN2005","31DEC2005",".",".",9485,2663,6822,7,24,31
2006,"ZIP 20002",20002,"01JAN2006","31DEC2006",".",".",9215,2566,6649,7,24,31
2007,"ZIP 20002",20002,"01JAN2007","31DEC2007",".",".",9470,2576,6894,6,25,31
2008,"ZIP 20002",20002,"01JAN2008","31DEC2008",".",".",8783,2388,6395,7,23,30
2009,"ZIP 20002",20002,"01JAN2009","31DEC2009",".",".",8082,2231,5851,6,21,27
2010,"ZIP 20002",20002,"01JAN2010","31DEC2010",".",".",8407,2465,5942,6,22,28
