"timeframe","psa2012","psa2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
"2013-17","PSA 101",101,"01JAN2012","31DEC2016",5.0,6.4,"X","X","X","X","X","X"
"2013-17","PSA 102",102,"01JAN2012","31DEC2016",9.6,3.1,"X","X","X","X","X","X"
"2013-17","PSA 103",103,"01JAN2012","31DEC2016",9.7,3.3,"X","X","X","X","X","X"
"2013-17","PSA 104",104,"01JAN2012","31DEC2016",4.5,1.4,"X","X","X","X","X","X"
"2013-17","PSA 105",105,"01JAN2012","31DEC2016",8.7,2.0,"X","X","X","X","X","X"
"2013-17","PSA 106",106,"01JAN2012","31DEC2016",5.6,2.0,"X","X","X","X","X","X"
"2013-17","PSA 107",107,"01JAN2012","31DEC2016",1.9,1.1,"X","X","X","X","X","X"
"2013-17","PSA 108",108,"01JAN2012","31DEC2016",7.8,1.9,"X","X","X","X","X","X"
"2013-17","PSA 201",201,"01JAN2012","31DEC2016",2.3,1.3,"X","X","X","X","X","X"
"2013-17","PSA 202",202,"01JAN2012","31DEC2016",1.2,1.3,"X","X","X","X","X","X"
"2013-17","PSA 203",203,"01JAN2012","31DEC2016",1.4,1.0,"X","X","X","X","X","X"
"2013-17","PSA 204",204,"01JAN2012","31DEC2016",2.8,1.2,"X","X","X","X","X","X"
"2013-17","PSA 205",205,"01JAN2012","31DEC2016",2.0,1.2,"X","X","X","X","X","X"
"2013-17","PSA 206",206,"01JAN2012","31DEC2016",0.9,1.5,"X","X","X","X","X","X"
"2013-17","PSA 207",207,"01JAN2012","31DEC2016",2.9,2.0,"X","X","X","X","X","X"
"2013-17","PSA 208",208,"01JAN2012","31DEC2016",1.8,1.3,"X","X","X","X","X","X"
"2013-17","PSA 301",301,"01JAN2012","31DEC2016",3.3,1.6,"X","X","X","X","X","X"
"2013-17","PSA 302",302,"01JAN2012","31DEC2016",19,3.4,"X","X","X","X","X","X"
"2013-17","PSA 303",303,"01JAN2012","31DEC2016",5.6,1.7,"X","X","X","X","X","X"
"2013-17","PSA 304",304,"01JAN2012","31DEC2016",12,3.2,"X","X","X","X","X","X"
"2013-17","PSA 305",305,"01JAN2012","31DEC2016",6.2,2.5,"X","X","X","X","X","X"
"2013-17","PSA 306",306,"01JAN2012","31DEC2016",6.8,3.8,"X","X","X","X","X","X"
"2013-17","PSA 307",307,"01JAN2012","31DEC2016",9.3,2.9,"X","X","X","X","X","X"
"2013-17","PSA 308",308,"01JAN2012","31DEC2016",11,2.8,"X","X","X","X","X","X"
"2013-17","PSA 401",401,"01JAN2012","31DEC2016",7.1,2.2,"X","X","X","X","X","X"
"2013-17","PSA 402",402,"01JAN2012","31DEC2016",14,2.8,"X","X","X","X","X","X"
"2013-17","PSA 403",403,"01JAN2012","31DEC2016",17,3.2,"X","X","X","X","X","X"
"2013-17","PSA 404",404,"01JAN2012","31DEC2016",20,3.8,"X","X","X","X","X","X"
"2013-17","PSA 405",405,"01JAN2012","31DEC2016",9.4,2.0,"X","X","X","X","X","X"
"2013-17","PSA 406",406,"01JAN2012","31DEC2016",10,3.1,"X","X","X","X","X","X"
"2013-17","PSA 407",407,"01JAN2012","31DEC2016",11,2.5,"X","X","X","X","X","X"
"2013-17","PSA 408",408,"01JAN2012","31DEC2016",13,3.9,"X","X","X","X","X","X"
"2013-17","PSA 409",409,"01JAN2012","31DEC2016",19,4.0,"X","X","X","X","X","X"
"2013-17","PSA 501",501,"01JAN2012","31DEC2016",5.1,1.8,"X","X","X","X","X","X"
"2013-17","PSA 502",502,"01JAN2012","31DEC2016",14,2.7,"X","X","X","X","X","X"
