"timeframe","anc2012","anc2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2000,"ANC 2A","2A","01JAN2000","31DEC2000",5.1,".","X","X","X","X","X","X"
2000,"ANC 2B","2B","01JAN2000","31DEC2000",8.8,".","X","X","X","X","X","X"
2000,"ANC 2C","2C","01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
2000,"ANC 2D","2D","01JAN2000","31DEC2000",5.2,".","X","X","X","X","X","X"
2000,"ANC 2E","2E","01JAN2000","31DEC2000",2.1,".","X","X","X","X","X","X"
2000,"ANC 2F","2F","01JAN2000","31DEC2000",25,".","X","X","X","X","X","X"
2000,"ANC 3B","3B","01JAN2000","31DEC2000",3.4,".","X","X","X","X","X","X"
2000,"ANC 3C","3C","01JAN2000","31DEC2000",5.4,".","X","X","X","X","X","X"
2000,"ANC 3D","3D","01JAN2000","31DEC2000",2.0,".","X","X","X","X","X","X"
2000,"ANC 3E","3E","01JAN2000","31DEC2000",3.7,".","X","X","X","X","X","X"
2000,"ANC 3F","3F","01JAN2000","31DEC2000",3.6,".","X","X","X","X","X","X"
2000,"ANC 3G","3G","01JAN2000","31DEC2000",7.0,".","X","X","X","X","X","X"
2000,"ANC 4A","4A","01JAN2000","31DEC2000",17,".","X","X","X","X","X","X"
2000,"ANC 4B","4B","01JAN2000","31DEC2000",20,".","X","X","X","X","X","X"
2000,"ANC 4C","4C","01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
2000,"ANC 4D","4D","01JAN2000","31DEC2000",28,".","X","X","X","X","X","X"
2000,"ANC 5A","5A","01JAN2000","31DEC2000",19,".","X","X","X","X","X","X"
2000,"ANC 5B","5B","01JAN2000","31DEC2000",19,".","X","X","X","X","X","X"
2000,"ANC 5C","5C","01JAN2000","31DEC2000",29,".","X","X","X","X","X","X"
2000,"ANC 5D","5D","01JAN2000","31DEC2000",39,".","X","X","X","X","X","X"
2000,"ANC 5E","5E","01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
2000,"ANC 6A","6A","01JAN2000","31DEC2000",24,".","X","X","X","X","X","X"
2000,"ANC 6B","6B","01JAN2000","31DEC2000",13,".","X","X","X","X","X","X"
2000,"ANC 6C","6C","01JAN2000","31DEC2000",17,".","X","X","X","X","X","X"
2000,"ANC 6D","6D","01JAN2000","31DEC2000",23,".","X","X","X","X","X","X"
2000,"ANC 6E","6E","01JAN2000","31DEC2000",38,".","X","X","X","X","X","X"
2000,"ANC 7B","7B","01JAN2000","31DEC2000",20,".","X","X","X","X","X","X"
2000,"ANC 7C","7C","01JAN2000","31DEC2000",35,".","X","X","X","X","X","X"
2000,"ANC 7D","7D","01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
2000,"ANC 7E","7E","01JAN2000","31DEC2000",32,".","X","X","X","X","X","X"
2000,"ANC 7F","7F","01JAN2000","31DEC2000",32,".","X","X","X","X","X","X"
2000,"ANC 8A","8A","01JAN2000","31DEC2000",31,".","X","X","X","X","X","X"
2000,"ANC 8B","8B","01JAN2000","31DEC2000",35,".","X","X","X","X","X","X"
2000,"ANC 8C","8C","01JAN2000","31DEC2000",36,".","X","X","X","X","X","X"
2000,"ANC 8D","8D","01JAN2000","31DEC2000",26,".","X","X","X","X","X","X"
2000,"ANC 8E","8E","01JAN2000","31DEC2000",39,".","X","X","X","X","X","X"
1990,"ANC 1A","1A","01JAN1990","31DEC1990",48,".","X","X","X","X","X","X"
1990,"ANC 1B","1B","01JAN1990","31DEC1990",43,".","X","X","X","X","X","X"
1990,"ANC 1C","1C","01JAN1990","31DEC1990",17,".","X","X","X","X","X","X"
1990,"ANC 1D","1D","01JAN1990","31DEC1990",27,".","X","X","X","X","X","X"
1990,"ANC 2A","2A","01JAN1990","31DEC1990",5.0,".","X","X","X","X","X","X"
1990,"ANC 2B","2B","01JAN1990","31DEC1990",13,".","X","X","X","X","X","X"
1990,"ANC 2C","2C","01JAN1990","31DEC1990",40,".","X","X","X","X","X","X"
1990,"ANC 2D","2D","01JAN1990","31DEC1990",6.5,".","X","X","X","X","X","X"
1990,"ANC 2E","2E","01JAN1990","31DEC1990",4.4,".","X","X","X","X","X","X"
1990,"ANC 2F","2F","01JAN1990","31DEC1990",26,".","X","X","X","X","X","X"
1990,"ANC 3B","3B","01JAN1990","31DEC1990",6.1,".","X","X","X","X","X","X"
1990,"ANC 3C","3C","01JAN1990","31DEC1990",6.7,".","X","X","X","X","X","X"
1990,"ANC 3D","3D","01JAN1990","31DEC1990",4.5,".","X","X","X","X","X","X"
1990,"ANC 3E","3E","01JAN1990","31DEC1990",5.4,".","X","X","X","X","X","X"
1990,"ANC 3F","3F","01JAN1990","31DEC1990",6.6,".","X","X","X","X","X","X"
1990,"ANC 3G","3G","01JAN1990","31DEC1990",5.1,".","X","X","X","X","X","X"
1990,"ANC 4A","4A","01JAN1990","31DEC1990",17,".","X","X","X","X","X","X"
1990,"ANC 4B","4B","01JAN1990","31DEC1990",24,".","X","X","X","X","X","X"
1990,"ANC 4C","4C","01JAN1990","31DEC1990",36,".","X","X","X","X","X","X"
1990,"ANC 4D","4D","01JAN1990","31DEC1990",31,".","X","X","X","X","X","X"
1990,"ANC 5A","5A","01JAN1990","31DEC1990",21,".","X","X","X","X","X","X"
1990,"ANC 5B","5B","01JAN1990","31DEC1990",23,".","X","X","X","X","X","X"
1990,"ANC 5C","5C","01JAN1990","31DEC1990",37,".","X","X","X","X","X","X"
1990,"ANC 5D","5D","01JAN1990","31DEC1990",48,".","X","X","X","X","X","X"
1990,"ANC 5E","5E","01JAN1990","31DEC1990",37,".","X","X","X","X","X","X"
1990,"ANC 6A","6A","01JAN1990","31DEC1990",33,".","X","X","X","X","X","X"
1990,"ANC 6B","6B","01JAN1990","31DEC1990",21,".","X","X","X","X","X","X"
1990,"ANC 6C","6C","01JAN1990","31DEC1990",22,".","X","X","X","X","X","X"
1990,"ANC 6D","6D","01JAN1990","31DEC1990",20,".","X","X","X","X","X","X"
1990,"ANC 6E","6E","01JAN1990","31DEC1990",51,".","X","X","X","X","X","X"
1990,"ANC 7B","7B","01JAN1990","31DEC1990",24,".","X","X","X","X","X","X"
1990,"ANC 7C","7C","01JAN1990","31DEC1990",44,".","X","X","X","X","X","X"
1990,"ANC 7D","7D","01JAN1990","31DEC1990",39,".","X","X","X","X","X","X"
1990,"ANC 7E","7E","01JAN1990","31DEC1990",38,".","X","X","X","X","X","X"
1990,"ANC 7F","7F","01JAN1990","31DEC1990",38,".","X","X","X","X","X","X"
1990,"ANC 8A","8A","01JAN1990","31DEC1990",37,".","X","X","X","X","X","X"
1990,"ANC 8B","8B","01JAN1990","31DEC1990",42,".","X","X","X","X","X","X"
1990,"ANC 8C","8C","01JAN1990","31DEC1990",42,".","X","X","X","X","X","X"
1990,"ANC 8D","8D","01JAN1990","31DEC1990",27,".","X","X","X","X","X","X"
1990,"ANC 8E","8E","01JAN1990","31DEC1990",46,".","X","X","X","X","X","X"
2001,"ANC 1A","1A","01JAN2001","31DEC2001","X","X",3023,372,2651,3.0,5.0,8.0
2002,"ANC 1A","1A","01JAN2002","31DEC2002","X","X",2287,245,2042,2.0,4.0,6.0
2003,"ANC 1A","1A","01JAN2003","31DEC2003","X","X",2273,297,1976,2.0,4.0,6.0
2004,"ANC 1A","1A","01JAN2004","31DEC2004","X","X",2400,565,1835,4.0,4.0,8.0
2005,"ANC 1A","1A","01JAN2005","31DEC2005","X","X",2860,748,2112,6.0,5.0,11
2006,"ANC 1A","1A","01JAN2006","31DEC2006","X","X",3082,877,2205,6.0,4.0,10
2007,"ANC 1A","1A","01JAN2007","31DEC2007","X","X",3140,1019,2121,6.0,4.0,10
