"timeframe","county","county_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present","CITY_nf"
2000,"Fauquier County, VA",51061,"01JAN2000","31DEC2000",15,".","X","X","X","X","X","X",
2000,"Loudoun County, VA",51107,"01JAN2000","31DEC2000",7.5,".","X","X","X","X","X","X",
2000,"Prince William County, VA",51153,"01JAN2000","31DEC2000",11,".","X","X","X","X","X","X",
2000,"Rappahannock County, VA",51157,"01JAN2000","31DEC2000",24,".","X","X","X","X","X","X",
2000,"Spotsylvania County, VA",51177,"01JAN2000","31DEC2000",16,".","X","X","X","X","X","X",
2000,"Stafford County, VA",51179,"01JAN2000","31DEC2000",11,".","X","X","X","X","X","X",
2000,"Warren County, VA",51187,"01JAN2000","31DEC2000",25,".","X","X","X","X","X","X",
2000,"Alexandria city, VA",51510,"01JAN2000","31DEC2000",13,".","X","X","X","X","X","X",
2000,"Fairfax city, VA",51600,"01JAN2000","31DEC2000",11,".","X","X","X","X","X","X",
2000,"Falls Church city, VA",51610,"01JAN2000","31DEC2000",4.1,".","X","X","X","X","X","X",
2000,"Fredericksburg city, VA",51630,"01JAN2000","31DEC2000",20,".","X","X","X","X","X","X",
2000,"Manassas city, VA",51683,"01JAN2000","31DEC2000",19,".","X","X","X","X","X","X",
2000,"Manassas Park city, VA",51685,"01JAN2000","31DEC2000",24,".","X","X","X","X","X","X",
2000,"Jefferson County, WV",54037,"01JAN2000","31DEC2000",21,".","X","X","X","X","X","X",
1990,"District of Columbia, DC",11001,"01JAN1990","31DEC1990",27,".","X","X","X","X","X","X",
1990,"Calvert County, MD",24009,"01JAN1990","31DEC1990",21,".","X","X","X","X","X","X",
1990,"Charles County, MD",24017,"01JAN1990","31DEC1990",19,".","X","X","X","X","X","X",
1990,"Frederick County, MD",24021,"01JAN1990","31DEC1990",20,".","X","X","X","X","X","X",
1990,"Montgomery County, MD",24031,"01JAN1990","31DEC1990",9.4,".","X","X","X","X","X","X",
1990,"Prince George's County, MD",24033,"01JAN1990","31DEC1990",17,".","X","X","X","X","X","X",
1990,"Arlington County, VA",51013,"01JAN1990","31DEC1990",13,".","X","X","X","X","X","X",
1990,"Clarke County, VA",51043,"01JAN1990","31DEC1990",25,".","X","X","X","X","X","X",
1990,"Culpeper County, VA",51047,"01JAN1990","31DEC1990",33,".","X","X","X","X","X","X",
1990,"Fairfax County, VA",51059,"01JAN1990","31DEC1990",8.6,".","X","X","X","X","X","X",
1990,"Fauquier County, VA",51061,"01JAN1990","31DEC1990",21,".","X","X","X","X","X","X",
1990,"Loudoun County, VA",51107,"01JAN1990","31DEC1990",13,".","X","X","X","X","X","X",
1990,"Prince William County, VA",51153,"01JAN1990","31DEC1990",12,".","X","X","X","X","X","X",
1990,"Rappahannock County, VA",51157,"01JAN1990","31DEC1990",33,".","X","X","X","X","X","X",
1990,"Spotsylvania County, VA",51177,"01JAN1990","31DEC1990",23,".","X","X","X","X","X","X",
1990,"Stafford County, VA",51179,"01JAN1990","31DEC1990",19,".","X","X","X","X","X","X",
1990,"Warren County, VA",51187,"01JAN1990","31DEC1990",35,".","X","X","X","X","X","X",
1990,"Alexandria city, VA",51510,"01JAN1990","31DEC1990",13,".","X","X","X","X","X","X",
1990,"Fairfax city, VA",51600,"01JAN1990","31DEC1990",12,".","X","X","X","X","X","X",
1990,"Falls Church city, VA",51610,"01JAN1990","31DEC1990",9.0,".","X","X","X","X","X","X",
1990,"Fredericksburg city, VA",51630,"01JAN1990","31DEC1990",26,".","X","X","X","X","X","X",
1990,"Manassas city, VA",51683,"01JAN1990","31DEC1990",16,".","X","X","X","X","X","X",
1990,"Manassas Park city, VA",51685,"01JAN1990","31DEC1990",29,".","X","X","X","X","X","X",
1990,"Jefferson County, WV",54037,"01JAN1990","31DEC1990",32,".","X","X","X","X","X","X",
2001,"District of Columbia, DC",,"01JAN2001","31DEC2001","X","X",76860,10679,66181,40,165,205,1
2002,"District of Columbia, DC",,"01JAN2002","31DEC2002","X","X",75985,11452,64533,38,166,204,1
2003,"District of Columbia, DC",,"01JAN2003","31DEC2003","X","X",75452,13715,61737,42,167,209,1
2004,"District of Columbia, DC",,"01JAN2004","31DEC2004","X","X",74247,15497,58750,55,170,225,1
2005,"District of Columbia, DC",,"01JAN2005","31DEC2005","X","X",72731,17473,55258,69,171,240,1
2006,"District of Columbia, DC",,"01JAN2006","31DEC2006","X","X",72215,19733,52482,82,162,244,1
2007,"District of Columbia, DC",,"01JAN2007","31DEC2007","X","X",71373,21947,49426,90,159,249,1
2008,"District of Columbia, DC",,"01JAN2008","31DEC2008","X","X",71276,25729,45547,103,135,238,1
2009,"District of Columbia, DC",,"01JAN2009","31DEC2009","X","X",72809,27660,45149,99,133,232,1
2010,"District of Columbia, DC",,"01JAN2010","31DEC2010","X","X",72956,28898,44058,97,130,227,1
2011,"District of Columbia, DC",,"01JAN2011","31DEC2011","X","X",77302,31562,45740,103,127,230,1
2012,"District of Columbia, DC",,"01JAN2012","31DEC2012","X","X",80804,34674,46130,108,125,233,1
2013,"District of Columbia, DC",,"01JAN2013","31DEC2013","X","X",83573,36565,47008,115,114,229,1
2014,"District of Columbia, DC",,"01JAN2014","31DEC2014","X","X",85403,37653,47750,117,114,231,1

