"timeframe","ward2012","ward2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2008,"Ward 3",3,"01JAN2008","31DEC2008","X","X",4977,205,4772,1.0,10,11
2009,"Ward 3",3,"01JAN2009","31DEC2009","X","X",5130,0.0,5130,0.0,10,10
2010,"Ward 3",3,"01JAN2010","31DEC2010","X","X",5463,0.0,5463,0.0,10,10
2011,"Ward 3",3,"01JAN2011","31DEC2011","X","X",5843,0.0,5843,0.0,10,10
2012,"Ward 3",3,"01JAN2012","31DEC2012","X","X",6144,0.0,6144,0.0,10,10
2013,"Ward 3",3,"01JAN2013","31DEC2013","X","X",6339,0.0,6339,0.0,10,10
2001,"Ward 4",4,"01JAN2001","31DEC2001","X","X",10080,1558,8522,7.0,20,27
2002,"Ward 4",4,"01JAN2002","31DEC2002","X","X",9968,1471,8497,7.0,21,28
2003,"Ward 4",4,"01JAN2003","31DEC2003","X","X",10046,1971,8075,8.0,21,29
2004,"Ward 4",4,"01JAN2004","31DEC2004","X","X",9290,1696,7594,7.0,21,28
2005,"Ward 4",4,"01JAN2005","31DEC2005","X","X",8879,2027,6852,10,20,30
2006,"Ward 4",4,"01JAN2006","31DEC2006","X","X",8867,2295,6572,11,19,30
2007,"Ward 4",4,"01JAN2007","31DEC2007","X","X",9234,2828,6406,16,19,35
2008,"Ward 4",4,"01JAN2008","31DEC2008","X","X",9915,3570,6345,19,17,36
2009,"Ward 4",4,"01JAN2009","31DEC2009","X","X",10296,3810,6486,16,18,34
2010,"Ward 4",4,"01JAN2010","31DEC2010","X","X",10540,3591,6949,15,17,32
2011,"Ward 4",4,"01JAN2011","31DEC2011","X","X",10704,3895,6809,15,17,32
2012,"Ward 4",4,"01JAN2012","31DEC2012","X","X",11991,4878,7113,18,17,35
2013,"Ward 4",4,"01JAN2013","31DEC2013","X","X",12903,5476,7427,19,16,35
2001,"Ward 5",5,"01JAN2001","31DEC2001","X","X",9892,1161,8731,5.0,28,33
2002,"Ward 5",5,"01JAN2002","31DEC2002","X","X",10787,1766,9021,6.0,29,35
2003,"Ward 5",5,"01JAN2003","31DEC2003","X","X",9457,1581,7876,5.0,27,32
2004,"Ward 5",5,"01JAN2004","31DEC2004","X","X",10760,2972,7788,10,30,40
2005,"Ward 5",5,"01JAN2005","31DEC2005","X","X",10689,3170,7519,11,30,41
2006,"Ward 5",5,"01JAN2006","31DEC2006","X","X",10952,3513,7439,12,31,43
2007,"Ward 5",5,"01JAN2007","31DEC2007","X","X",11324,4233,7091,14,30,44
2008,"Ward 5",5,"01JAN2008","31DEC2008","X","X",11588,5482,6106,21,20,41
2009,"Ward 5",5,"01JAN2009","31DEC2009","X","X",11666,5609,6057,18,20,38
2010,"Ward 5",5,"01JAN2010","31DEC2010","X","X",11289,5695,5594,18,20,38
2011,"Ward 5",5,"01JAN2011","31DEC2011","X","X",11706,6259,5447,19,18,37
2012,"Ward 5",5,"01JAN2012","31DEC2012","X","X",11540,6347,5193,16,18,34
2013,"Ward 5",5,"01JAN2013","31DEC2013","X","X",11201,6611,4590,20,16,36
2001,"Ward 6",6,"01JAN2001","31DEC2001","X","X",12530,2135,10395,8.0,27,35
2002,"Ward 6",6,"01JAN2002","31DEC2002","X","X",11665,1657,10008,6.0,27,33
2003,"Ward 6",6,"01JAN2003","31DEC2003","X","X",11922,2536,9386,8.0,24,32
2004,"Ward 6",6,"01JAN2004","31DEC2004","X","X",11245,2184,9061,7.0,25,32
2005,"Ward 6",6,"01JAN2005","31DEC2005","X","X",10458,2426,8032,9.0,26,35
2006,"Ward 6",6,"01JAN2006","31DEC2006","X","X",10016,2734,7282,10,24,34
2007,"Ward 6",6,"01JAN2007","31DEC2007","X","X",9662,2670,6992,9.0,24,33
2008,"Ward 6",6,"01JAN2008","31DEC2008","X","X",8886,2964,5922,10,21,31
2009,"Ward 6",6,"01JAN2009","31DEC2009","X","X",8426,3144,5282,11,19,30
2010,"Ward 6",6,"01JAN2010","31DEC2010","X","X",8867,3442,5425,13,19,32
2011,"Ward 6",6,"01JAN2011","31DEC2011","X","X",9414,3708,5706,14,20,34
2012,"Ward 6",6,"01JAN2012","31DEC2012","X","X",9894,3758,6136,15,19,34
2013,"Ward 6",6,"01JAN2013","31DEC2013","X","X",10720,3993,6727,15,18,33
2001,"Ward 7",7,"01JAN2001","31DEC2001","X","X",12623,2455,10168,6.0,25,31
2002,"Ward 7",7,"01JAN2002","31DEC2002","X","X",12430,2677,9753,5.0,25,30
2003,"Ward 7",7,"01JAN2003","31DEC2003","X","X",12854,3079,9775,5.0,29,34
2004,"Ward 7",7,"01JAN2004","31DEC2004","X","X",12608,3280,9328,7.0,29,36
2005,"Ward 7",7,"01JAN2005","31DEC2005","X","X",12814,4099,8715,9.0,29,38
2006,"Ward 7",7,"01JAN2006","31DEC2006","X","X",12236,4655,7581,11,25,36
2007,"Ward 7",7,"01JAN2007","31DEC2007","X","X",11811,4990,6821,12,25,37
2008,"Ward 7",7,"01JAN2008","31DEC2008","X","X",12070,5773,6297,16,24,40
2009,"Ward 7",7,"01JAN2009","31DEC2009","X","X",11941,5971,5970,17,24,41
2010,"Ward 7",7,"01JAN2010","31DEC2010","X","X",11662,6204,5458,16,24,40
2011,"Ward 7",7,"01JAN2011","31DEC2011","X","X",12216,6267,5949,16,21,37
2012,"Ward 7",7,"01JAN2012","31DEC2012","X","X",12249,6497,5752,17,20,37
2013,"Ward 7",7,"01JAN2013","31DEC2013","X","X",11758,6274,5484,17,16,33
2001,"Ward 8",8,"01JAN2001","31DEC2001","X","X",14610,1074,13536,3.0,30,33
2002,"Ward 8",8,"01JAN2002","31DEC2002","X","X",14694,1296,13398,3.0,30,33
2003,"Ward 8",8,"01JAN2003","31DEC2003","X","X",14163,1447,12716,3.0,31,34
2004,"Ward 8",8,"01JAN2004","31DEC2004","X","X",13157,1465,11692,3.0,31,34
2005,"Ward 8",8,"01JAN2005","31DEC2005","X","X",12956,1668,11288,5.0,32,37
2006,"Ward 8",8,"01JAN2006","31DEC2006","X","X",12379,1687,10692,7.0,30,37
2007,"Ward 8",8,"01JAN2007","31DEC2007","X","X",12175,2197,9978,9.0,30,39
2008,"Ward 8",8,"01JAN2008","31DEC2008","X","X",11807,2808,8999,11,25,36
2009,"Ward 8",8,"01JAN2009","31DEC2009","X","X",12068,3532,8536,16,23,39
2010,"Ward 8",8,"01JAN2010","31DEC2010","X","X",12217,4356,7861,16,21,37
2011,"Ward 8",8,"01JAN2011","31DEC2011","X","X",13255,5273,7982,19,21,40
2012,"Ward 8",8,"01JAN2012","31DEC2012","X","X",14052,6388,7664,20,21,41
2013,"Ward 8",8,"01JAN2013","31DEC2013","X","X",15018,6944,8074,22,19,41

